Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Pembelian Aset Tetap,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,5356978824.000000,,,,,,,2120446869.000000,7477425693.000000,,,,,,1067479270.000000,12665821273.000000,66459535718.000000,,191316662443.000000,271509498704.000000,278986924397.000000,,,12758907554.000000,7489647257.000000,,1476076000.000000,,,1476076000.000000,95213620.000000,3050592111.000000,,,,647378566.000000,,647378566.000000,12758907554.000000,8653358313.000000,,,,,8209133853.000000,,8209133853.000000,,444224460.000000,8653358313.000000,21412265867.000000,,220000000000.000000,,2529774734.000000,35044883796.000000,,257574658530.000000,278986924397.000000,2200000000.000000
12M 2017,,,34239520472.000000,24300000000.000000,20053722368.000000,20053722368.000000,,20053722368.000000,96401098.000000,7861655682.000000,86551299620.000000,,,,,,2269766908.000000,223864908467.000000,66459535718.000000,,11280732011.000000,303874943104.000000,390426242724.000000,,,22377022688.000000,7385629664.000000,13139934240.000000,449589745.000000,,,449589745.000000,650062354.000000,29514223.000000,,,,722292462.000000,,722292462.000000,22377022688.000000,8071904954.000000,,,,,7486841391.000000,,7486841391.000000,,585063563.000000,8071904954.000000,30448927642.000000,,275000000000.000000,46574881122.000000,3271727188.000000,35130706772.000000,,359977315082.000000,390426242724.000000,2750000000.000000
12M 2018,,,20116067380.000000,6500000000.000000,34453325427.000000,30953325427.000000,3500000000.000000,34453325427.000000,83240383.000000,23726335186.000000,84878968376.000000,,,,,,3055648861.000000,272967326567.000000,66459535718.000000,,43460958599.000000,385943469745.000000,470822438121.000000,,,61318883592.000000,12416582302.000000,17836202819.000000,28449777123.000000,,,28449777123.000000,812763430.000000,253596862.000000,,750006000.000000,66199687.000000,733755369.000000,,1549961056.000000,61318883592.000000,47174108036.000000,,,39249994000.000000,117735269.000000,6779938840.000000,,46147668109.000000,,1026439927.000000,47174108036.000000,108492991628.000000,,275000000000.000000,46574881122.000000,5332865858.000000,35433780972.000000,-12081459.000000,362329446493.000000,470822438121.000000,2750000000.000000
12M 2019,,,5436552864.000000,,6402192933.000000,2902192933.000000,3500000000.000000,6402192933.000000,5519705627.000000,24155048722.000000,41513500146.000000,,,,,,4385691475.000000,402998504545.000000,66459535718.000000,,44680189359.000000,518523921097.000000,560037421243.000000,,,71548126685.000000,7492558448.000000,1324875135.000000,48438992285.000000,,,48438992285.000000,504498575.000000,1776355281.000000,,3102608000.000000,72455713.000000,834327377.000000,8001455871.000000,12010846961.000000,71548126685.000000,135584369217.000000,,,101413492000.000000,45279556.000000,6011450433.000000,26085254129.000000,133555476118.000000,,2028893099.000000,135584369217.000000,207132495902.000000,,275000000000.000000,46574881122.000000,-3839228492.000000,46273427904.000000,-11104155193.000000,352904925341.000000,560037421243.000000,2750000000.000000
12M 2020,,,339874760.000000,,2827478020.000000,1684713767.000000,1142764253.000000,2827478020.000000,18466622.000000,10018956543.000000,13204775945.000000,,,,,,2497704910.000000,249930976866.000000,66459535718.000000,69389223381.000000,42301567659.000000,430579008534.000000,443783784479.000000,,,20643035189.000000,7497364883.000000,,1969532285.000000,,,1969532285.000000,1438803450.000000,8714157017.000000,,,,1023177554.000000,,1023177554.000000,20643035189.000000,65562987171.000000,57593889501.000000,,,,5431776965.000000,,5431776965.000000,,2537320705.000000,65562987171.000000,86206022360.000000,,275000000000.000000,46574881122.000000,-2131241555.000000,48759892572.000000,-10625770020.000000,357577762119.000000,443783784479.000000,2750000000.000000
12M 2021,,,331494093.000000,,27572024850.000000,26429260597.000000,1142764253.000000,27572024850.000000,8492736.000000,8323495800.000000,36235507479.000000,,,,,,1237773368.000000,320930598485.000000,66459535718.000000,,42160547909.000000,430788455480.000000,467023962959.000000,,,34310355438.000000,8954238276.000000,2160000000.000000,4638208425.000000,,,4638208425.000000,5213288169.000000,12610807023.000000,,,,733813545.000000,,733813545.000000,34310355438.000000,67200474122.000000,58839514117.000000,,,,5817807386.000000,,5817807386.000000,,2543152619.000000,67200474122.000000,101510829560.000000,,275000000000.000000,46574881122.000000,4433143033.000000,50130879264.000000,-10625770020.000000,365513133399.000000,467023962959.000000,2750000000.000000
12M 2022,,,4057964472.000000,,22622280288.000000,21619516035.000000,1002764253.000000,22622280288.000000,243762880.000000,12723219777.000000,39647227417.000000,,,,,,1135695397.000000,339635133800.000000,66459535718.000000,,34162319049.000000,441392683964.000000,481039911381.000000,,,39127989837.000000,8970700970.000000,180000000.000000,,837675420.000000,3068933005.000000,3906608425.000000,6242101568.000000,19828578874.000000,,,,,,,39127989837.000000,69476383532.000000,49179688540.000000,,,,5661003912.000000,,5661003912.000000,,14635691080.000000,69476383532.000000,108604373369.000000,,275000000000.000000,46574881122.000000,10446908668.000000,51039518241.000000,-10625770020.000000,372435538011.000000,481039911380.000000,2750000000.000000
12M 2023,,,747990132.000000,,7354188461.000000,7354188461.000000,,7354188461.000000,,7361209636.000000,15463388229.000000,,2565255500.000000,240000000.000000,2325255500.000000,2565255500.000000,1190970922.000000,340129625305.000000,66459535718.000000,,46201204050.000000,456546591495.000000,472009979724.000000,,,33996813616.000000,8975261313.000000,80000000.000000,,2337675420.000000,,2337675420.000000,5739953103.000000,15806565616.000000,,,,1057358164.000000,,1057358164.000000,33996813616.000000,103635807292.000000,84280207221.000000,,,,4361513454.000000,,4361513454.000000,,14994086617.000000,103635807292.000000,137632620908.000000,,275000000000.000000,46574881122.000000,2039940296.000000,21388307417.000000,-10625770020.000000,334377358815.000000,472009979723.000000,2750000000.000000
