Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok Dan Lainnya,Penerimaan Dari Restitusi Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Pembayaran Uang Muka Pembelian Tanah,Penambahan Aset Dalam Pembangunan,Penambahan Uang Muka Untuk Investasi,Uang Muka Dibayar Untuk Pembangunan Proyek Tenaga Surya,Penambahan Uang Muka Jangka Panjang,Penempatan Investasi Jangka Pendek,Penambahan Aset Hak Guna,Penambahan Aset Tidak Berwujud,Hasil Penjualan Investasi Pada Entitas Anak,Penerimaan Bunga,Kenaikan Piutang Pihak Berelasi,Arus Kas Keluar Bersih Pada Tanggal Akuisisi Entitas Anak,Penambahan (Pengurangan) Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Pembayaran Pinjaman Lainnya,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penambahan (Pengurangan) Utang Lain-Lain Pihak Berelasi,Penambahan Utang Pihak Berelasi Non Usaha Jangka Pendek,Pembayaran Utang Pihak Berelasi Non Usaha Jangka Pendek,Penambahan Utang Pihak Berelasi Non Usaha Jangka Panjang,Pembayaran Utang Pihak Berelasi Non Usaha Jangka Panjang,Penambahan (Penurunan) Utang Pihak Ketiga Non Usaha Jangka Pendek,Pembayaran Utang Pembelian Aset Tetap Jangka Panjang,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Bunga,Pembayaran Biaya Emisi,Penerimaan Utang Pembiayaan Jangka Panjang,Transaksi Dengan Kepentingan Nonpengendali,Penerimaan Dari Peningkatan Modal Saham Entitas Anak,Penerimaan Hasil Penerbitan Tambahan Modal Saham,Penambahan Deposito Yang Dibatasi Penggunaannya,Pencairan Deposito Yang Dibatasi Penggunaannya,Pencairan Pinjaman Yang Dapat Dikonversi,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Perubahan Pada Deposito Yang Dibatasi Penggunaannya,Kas Dan Setara Kas Akhir Periode
12M 2016,-3272368070.000000,11034660014.000000,-584276007.000000,-13524913081.000000,,-197838996.000000,-3272368070.000000,-221201473491.000000,888000000.000000,-1302084.000000,,,,,,,,,,16411576.000000,,-216760524267.000000,-5344058716.000000,-221201473491.000000,219026923389.000000,119446965.000000,,,,,534698598.000000,,,,,,,,-1027222174.000000,,,,,219400000000.000000,,,,,,219026923389.000000,-5446918172.000000,10805119940.000000,-1222944.000000,,5356978824.000000
12M 2017,-16508982964.000000,17866591246.000000,-4961868941.000000,-29213117836.000000,,-200587433.000000,-16508982964.000000,-52493960395.000000,,-27675588839.000000,,,,,,-24300000000.000000,,,,2080730734.000000,,,-2599102290.000000,-52493960395.000000,97885485007.000000,1885834807.000000,-1989852400.000000,,,,-996486255.000000,,,,,,-647378566.000000,,-1945513701.000000,-8425118878.000000,,,4000000.000000,110000000000.000000,,,,,,97885485007.000000,28882541648.000000,5356978824.000000,,,34239520472.000000
12M 2018,-9720379919.000000,34688719916.000000,-5675046598.000000,-38359056899.000000,,-374996338.000000,-9720379919.000000,-54402302014.000000,,-49599600218.000000,,-9977204857.000000,,,-13676116724.000000,17800000000.000000,,,,1236294785.000000,,,-185675000.000000,-54402302014.000000,69575287451.000000,5990952638.000000,-960000000.000000,,40000000000.000000,,28000187378.000000,,,,,,-695439644.000000,-125431580.000000,-2635181341.000000,,,,200000.000000,,,,,,,69575287451.000000,5452605518.000000,34239520472.000000,,-19576058610.000000,20116067380.000000
12M 2019,-6414830484.000000,51864177917.000000,-6190368070.000000,-51704575451.000000,,-384064880.000000,-6414830484.000000,-126690403478.000000,,-127899643498.000000,,,,,-5381394875.000000,6500000000.000000,,,,1272872291.000000,,,-1182237396.000000,-126690403478.000000,117602928935.000000,955976146.000000,-880000000.000000,,59516100000.000000,,19989215162.000000,,,,,,-667916399.000000,-66199687.000000,-6116726307.000000,,34086710000.000000,10545770020.000000,240000000.000000,,,,,,,117602928935.000000,-15502305027.000000,20116067380.000000,,822790511.000000,5436552864.000000
12M 2020,-9671894325.000000,10742458663.000000,-5405735245.000000,-15008617743.000000,,,-9671894325.000000,-5153852577.000000,,-6557807251.000000,,,,,-701403000.000000,,,-323856950.000000,1250000000.000000,1091304627.000000,-63008753.000000,,150918750.000000,-5153852577.000000,9729068798.000000,679971552.000000,-981000000.000000,,,-1572640000.000000,16723446898.000000,,,,,,-508558560.000000,,-4612151092.000000,,,,,,,,,,,9729068798.000000,-5096678104.000000,5436552864.000000,,,339874760.000000
12M 2021,695073629.000000,13945612024.000000,-3713783428.000000,-9154789315.000000,,-381965652.000000,695073629.000000,-1682065934.000000,,-2462697613.000000,,,,,2101000.000000,,,,,639611929.000000,,,138918750.000000,-1682065934.000000,978611638.000000,4274711214.000000,-2512002938.000000,,,,5050274951.000000,,,,,,-924431908.000000,,-4909939681.000000,,,,,,,,,,,978611638.000000,-8380667.000000,339874760.000000,,,331494093.000000
12M 2022,6647344218.000000,18565614085.000000,-3360914350.000000,-8436108044.000000,,-121247473.000000,6647344218.000000,-1918231191.000000,,,,,,,-1584800000.000000,,,,,400873809.000000,,,-734305000.000000,-1918231191.000000,-1002642648.000000,1118612693.000000,-1102150000.000000,,,,,8999735249.000000,,,-9659825577.000000,,-156803474.000000,,-202211539.000000,,,,,,,,,,,-1002642648.000000,3726470379.000000,331494093.000000,,,4057964472.000000
12M 2023,-2457424091.000000,15242092768.000000,-4413042550.000000,-12855532446.000000,,-430941863.000000,-2457424091.000000,-14805137362.000000,,,,,,,-12893885001.000000,,,,,293494644.000000,,,-2204747005.000000,-14805137362.000000,13952587113.000000,1114052350.000000,-1109492007.000000,,,,,-3068933005.000000,,,18479314946.000000,,-242132294.000000,,-1220222877.000000,,,,,,,,,,,13952587113.000000,-3309974340.000000,4057964472.000000,,,747990132.000000
