Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Keuntungan Transaksi Mata Uang Asing,Keuntungan (Rugi) Atas Transaksi Derivatif,Kenaikan Nilai Wajar Aset Keuangan,Keuntungan Dari Penjualan Aset-Aset Keuangan,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,19301181000000.000000,18616168000000.000000,685013000000.000000,,19301181000000.000000,-6944833000000.000000,-6940345000000.000000,-4488000000.000000,-6944833000000.000000,12356348000000.000000,-4688441000000.000000,,2538897000000.000000,686996000000.000000,,,1441000000.000000,-15870000000.000000,650718000000.000000,3862182000000.000000,,-1754149000000.000000,-3283965000000.000000,-3332376000000.000000,,-180133000000.000000,-8550623000000.000000,-4688441000000.000000,7667907000000.000000,52136000000.000000,5974000000.000000,,46162000000.000000,52136000000.000000,7720043000000.000000,-1943904000000.000000,-2342474000000.000000,398570000000.000000,-1943904000000.000000,5776139000000.000000,,,,,5776139000000.000000,5776139000000.000000,,5776139000000.000000,,,,
12M 2009,22931153000000.000000,22079920000000.000000,851233000000.000000,,22931153000000.000000,-8031428000000.000000,-8029233000000.000000,-2195000000.000000,-8031428000000.000000,14899725000000.000000,-6380842000000.000000,,2761088000000.000000,600443000000.000000,,,-16497000000.000000,45933000000.000000,940878000000.000000,4331845000000.000000,,-2242533000000.000000,-4186617000000.000000,-4066016000000.000000,,-217521000000.000000,-10712687000000.000000,-6380842000000.000000,8518883000000.000000,426209000000.000000,9756000000.000000,,416453000000.000000,426209000000.000000,8945092000000.000000,-2137850000000.000000,-2539930000000.000000,402080000000.000000,-2137850000000.000000,6807242000000.000000,,,,,6807242000000.000000,6807242000000.000000,,6807242000000.000000,,,,
12M 2010,20660602000000.000000,20660602000000.000000,,,20660602000000.000000,-7723774000000.000000,-7723774000000.000000,,-7723774000000.000000,12936828000000.000000,-2536638000000.000000,,3999326000000.000000,,110837000000.000000,,1749503000000.000000,,1499834000000.000000,7359500000000.000000,,333066000000.000000,-4544611000000.000000,-4795466000000.000000,-13809000000.000000,-875318000000.000000,-9896138000000.000000,-2536638000000.000000,10400190000000.000000,253079000000.000000,9673000000.000000,64088000000.000000,179318000000.000000,253079000000.000000,10653269000000.000000,-2173996000000.000000,-2255244000000.000000,81248000000.000000,-2173996000000.000000,8479273000000.000000,,,,,8479273000000.000000,8479273000000.000000,,8479273000000.000000,,,,
12M 2011,24566852000000.000000,24566852000000.000000,,,24566852000000.000000,-7730157000000.000000,-7730157000000.000000,,-7730157000000.000000,16836695000000.000000,-3539920000000.000000,,4556046000000.000000,,515111000000.000000,74023000000.000000,558034000000.000000,,1510164000000.000000,7213378000000.000000,,-559209000000.000000,-5204359000000.000000,-5468543000000.000000,,478813000000.000000,-10753298000000.000000,-3539920000000.000000,13296775000000.000000,321983000000.000000,7007000000.000000,85559000000.000000,229417000000.000000,321983000000.000000,13618758000000.000000,-2800960000000.000000,-2628781000000.000000,-172179000000.000000,-2800960000000.000000,10817798000000.000000,-47589000000.000000,-47589000000.000000,-47589000000.000000,10770209000000.000000,10817798000000.000000,10819309000000.000000,-1511000000.000000,10817798000000.000000,10770209000000.000000,10771720000000.000000,-1511000000.000000,10770209000000.000000
12M 2012,34945120000000.000000,28885290000000.000000,5455094000000.000000,604736000000.000000,34945120000000.000000,-7648937000000.000000,-7647167000000.000000,-1770000000.000000,-7648937000000.000000,27296183000000.000000,-13040615000000.000000,,,,,,,,317773000000.000000,317773000000.000000,,-498670000000.000000,-6154966000000.000000,-6450204000000.000000,,-254548000000.000000,-13358388000000.000000,-13040615000000.000000,14255568000000.000000,430478000000.000000,,,,430478000000.000000,14686046000000.000000,-2967586000000.000000,-3141702000000.000000,174116000000.000000,-2967586000000.000000,11718460000000.000000,180063000000.000000,180063000000.000000,180063000000.000000,11898523000000.000000,11718460000000.000000,11721717000000.000000,-3257000000.000000,11718460000000.000000,11898523000000.000000,11901780000000.000000,-3257000000.000000,11898523000000.000000
12M 2013,41106887000000.000000,34277149000000.000000,6309874000000.000000,519864000000.000000,41106887000000.000000,-7852020000000.000000,-7852009000000.000000,-11000000.000000,-7852020000000.000000,33254867000000.000000,-16176200000000.000000,,,,,,,,470940000000.000000,470940000000.000000,,-2015678000000.000000,-6864614000000.000000,-7386260000000.000000,,-380588000000.000000,-16647140000000.000000,-16176200000000.000000,17078667000000.000000,736939000000.000000,,,,736939000000.000000,17815606000000.000000,-3559367000000.000000,-3973278000000.000000,413911000000.000000,-3559367000000.000000,14256239000000.000000,-1251927000000.000000,-1251927000000.000000,-1251927000000.000000,13004312000000.000000,14256239000000.000000,14253831000000.000000,2408000000.000000,14256239000000.000000,13004312000000.000000,13001904000000.000000,2408000000.000000,13004312000000.000000
12M 2014,51893723000000.000000,43771256000000.000000,7289551000000.000000,832916000000.000000,51893723000000.000000,-11749080000000.000000,-11744562000000.000000,-4518000000.000000,-11749080000000.000000,40144643000000.000000,-19639870000000.000000,,,,,,,,906027000000.000000,906027000000.000000,,-2239578000000.000000,-8670906000000.000000,-8931363000000.000000,,-704050000000.000000,-20545897000000.000000,-19639870000000.000000,20504773000000.000000,236348000000.000000,,,,236348000000.000000,20741121000000.000000,-4229451000000.000000,-4548974000000.000000,319523000000.000000,-4229451000000.000000,16511670000000.000000,413501000000.000000,413501000000.000000,413501000000.000000,16925171000000.000000,16511670000000.000000,16485858000000.000000,25812000000.000000,16511670000000.000000,16925171000000.000000,16899359000000.000000,25812000000.000000,16925171000000.000000
12M 2015,57548714000000.000000,47081728000000.000000,8359919000000.000000,2107067000000.000000,57548714000000.000000,-11217072000000.000000,-11212932000000.000000,-4140000000.000000,-11217072000000.000000,46331642000000.000000,-23674528000000.000000,,,,,,,,1544530000000.000000,1544530000000.000000,,-3504995000000.000000,-9728509000000.000000,-10874770000000.000000,,-1110784000000.000000,-25219058000000.000000,-23674528000000.000000,22657114000000.000000,,,,,,22657114000000.000000,-4621346000000.000000,-5021659000000.000000,400313000000.000000,-4621346000000.000000,18035768000000.000000,-344263000000.000000,-344263000000.000000,-344263000000.000000,17691505000000.000000,18035768000000.000000,18018653000000.000000,17115000000.000000,18035768000000.000000,17691505000000.000000,17673517000000.000000,17988000000.000000,17691505000000.000000
12M 2016,59830367000000.000000,50425826000000.000000,9404541000000.000000,,59830367000000.000000,-10350578000000.000000,-10346736000000.000000,-3842000000.000000,-10350578000000.000000,49479789000000.000000,-23640589000000.000000,,,,,,,,4299631000000.000000,4299631000000.000000,,-4561274000000.000000,-10629884000000.000000,-11228563000000.000000,,-1520499000000.000000,-27940220000000.000000,-23640589000000.000000,25839200000000.000000,,,,,,25839200000000.000000,-5206919000000.000000,-5593753000000.000000,386834000000.000000,-5206919000000.000000,20632281000000.000000,6772464000000.000000,6772464000000.000000,6772464000000.000000,27404745000000.000000,20632281000000.000000,20605736000000.000000,26545000000.000000,20632281000000.000000,27404745000000.000000,27378282000000.000000,26463000000.000000,27404745000000.000000
12M 2017,64155939000000.000000,53767939000000.000000,10388000000000.000000,,64155939000000.000000,-11943627000000.000000,-11941465000000.000000,-2162000000.000000,-11943627000000.000000,52212312000000.000000,-23053569000000.000000,,,,,,,,4769371000000.000000,4769371000000.000000,,-2632619000000.000000,-11335155000000.000000,-12305650000000.000000,,-1549516000000.000000,-27822940000000.000000,-23053569000000.000000,29158743000000.000000,,,,,,29158743000000.000000,-5837593000000.000000,-5762403000000.000000,-75190000000.000000,-5837593000000.000000,23321150000000.000000,754591000000.000000,754591000000.000000,754591000000.000000,24075741000000.000000,23321150000000.000000,23309994000000.000000,11156000000.000000,23321150000000.000000,24075741000000.000000,24063606000000.000000,12135000000.000000,24075741000000.000000
