Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,12.26,,0.08,,,0.0
12M 2009,,,,,,,,,25.23,12.23,0.09,0.08,,,0.0
12M 2010,,,,,,,,,9.28,6.27,0.07,0.07,,,0.0
12M 2011,,,,,,,,,6.51,6.21,0.07,0.07,,,0.0
12M 2012,,,,,,,,,6.62,5.85,0.08,0.08,,,0.0
12M 2013,,,,,,,,,5.94,5.65,0.09,0.08,,,0.0
12M 2014,,,,,,,,,6.37,6.1,0.1,0.1,,,0.0
12M 2015,,,,,,,,,6.2,6.04,0.1,0.1,,,0.0
12M 2016,,,,,,,,,4.48,3.62,0.09,0.09,,,0.0
12M 2017,,,,,,,,,3.79,3.81,0.09,0.09,,,0.0
12M 2018,,,,,,,,,3.8,3.81,0.09,0.08,,,0.0
12M 2019,,,,,,,,,3.85,3.85,0.09,0.09,,,0.0
12M 2020,,,,,,,,,3.67,3.62,0.08,0.08,,,0.0
12M 2021,,,,,,,,,3.64,3.68,0.07,0.07,,,0.0
12M 2022,,,,,,,,,3.79,3.8,0.07,0.07,,,0.0
12M 2023,,,,,,,,,4.04,3.96,0.08,0.07,,,0.0
12M 2024,,,,,,,,,4.1,4.1,0.08,0.08,,,0.0
