Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Pendapatan Bunga, Provisi Dan Komisi",Pendapatan Operasional Lainnya,"Pembayaran Beban Bunga, Provisi Dan Komisi",Pembayaran Imbalan Pasca-Kerja,(Beban) Pendapatan Dari Transaksi Valuta Asing - Bersih,Beban Operasional Lainnya,Pendapatan Non-Operasional - Bersih,Pembayaran Pajak Penghasilan,Pembayaran Tantiem Dewan Komisaris Dan Direksi,Kenaikan/Penurunan Lainnya Yang Mempengaruhi Kas:,Penempatan Pada Bank Indonesia Dan Bank-Bank Lain Yang Jatuh Tempo Lebih Dari 3 Bulan Sejak Tanggal Perolehan,Surat-Surat Berharga Untuk Tujuan Diperdagangkan,Obligasi Pemerintah Untuk Tujuan Diperdagangkan,Aset Keuangan Untuk Diperdagangkan,Tagihan Akseptasi,Wesel Tagih,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Kredit Yang Diberikan,Piutang Pembiayaan Konsumen,Investasi Sewa Pembiayaan Bersih,Pembiayaan Syariah,Aset Lain-Lain,Liabilitas Segera,Simpanan Dari Nasabah,Dana Simpanan Syariah,Simpanan Dari Bank-Bank Lain,Utang Akseptasi,Beban Yang Masih Harus Dibayar Dan Liabilitas Lain-Lain,Dana Syirkah Temporer,Surat-Surat Berharga Yang Diterbitkan,Surat Berharga Yang Dijual Dengan Janji Dibeli Kembali,Dana Investasi Revenue Sharing,Liabilitas Lain-Lain,Total Kenaikan/Penurunan Lainnya Yang Mempengaruhi Kas:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembelian Efek-Efek Untuk Tujuan Investasi,Penerimaan Dari Efek-Efek Tujuan Investasi Yang Jatuh Tempo Selama Periode Berjalan,Penjualan Efek-Efek Untuk Tujuan Investasi,Penerimaan Dividen Kas Dari Efek-Efek Untuk Tujuan Investasi,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Dan Setara Kas Yang Diakuisisi",Penempatan Sertifikat Deposito,Penerimaan Dari Sertifikat Deposito Yang Jatuh Tempo Selama Tahun Berjalan,Perolehan Aset Tetap,Perolehan Aset Sewa Guna,Hasil Penjualan Aset Tetap,Hasil Penjualan Penyertaan Dalam Saham,Pembelian Penyertaan Dalam Saham,Penerimaan Dari Penjualan Investasi Jangka Panjang,Pembelian Obligasi Pemerintah Yang Tersedia Untuk Dijual,Penerimaan Dari Obligasi Pemerintah Yang Tersedia Untuk Dijual Yang Dijual Dan Jatuh Tempo Selama Periode Berjalan,Pembelian Obligasi Pemerintah Untuk Dimiliki Hingga Jatuh Tempo,Pembelian Surat-Surat Berharga Yang Tersedia Untuk Dijual,Penerimaan Dari Surat-Surat Berharga Yang Tersedia Untuk Dijual Yang Jatuh Tempo Dan Yang Dijual Selama Periode Berjalan,Pembelian Surat-Surat Berharga Untuk Dimiliki Hingga Jatuh Tempo,Penerimaan Dari Surat-Surat Berharga Untuk Dimiliki Hingga Jatuh Tempo Yang Jatuh Tempo Selama Periode Berjalan,Pembelian Surat-Surat Berharga Yang Diklasifikasikan Sebagai Pinjaman Yang Diberikan Dan Piutang,Penerimaan Dari Surat-Surat Berharga Yang Diklasifikasikan Sebagai Pinjaman Yang Diberikan Dan Piutang,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan Efek-Efek Utang Yang Diterbitkan,Penerimaan Dari Obligasi Subordinasi,Penurunan (Kenaikan) Pinjaman Yang Diterima - Bersih,Penerimaan Dari Penambahan Kepemilikan Dari Non-Pengendali,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Tambahan Setoran Modal Kepada Entitas Anak,Pembayaran Dividen Kas,Hasil Penjualan Saham Treasuri,Pembayaran Tantieme Dewan Komisaris Dan Direksi,Pembelian Kembali Saham Beredar,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-1743764000000.000000,16915774000000.000000,3243649000000.000000,-6937316000000.000000,,-4995685000000.000000,-6730833000000.000000,48949000000.000000,-2251332000000.000000,,,1433831000000.000000,-268095000000.000000,390002000000.000000,,-549930000000.000000,,,-28914778000000.000000,-69974000000.000000,16376000000.000000,,573186000000.000000,205837000000.000000,23344452000000.000000,,2413264000000.000000,,,,3960000000.000000,49892000000.000000,,335007000000.000000,-1036970000000.000000,-1743764000000.000000,4205004000000.000000,,,,51000000.000000,,,,-1014455000000.000000,,13780000000.000000,,-25824000000.000000,,-1810483000000.000000,17821531000000.000000,-9403737000000.000000,-162861000000.000000,1297445000000.000000,-6248349000000.000000,3737906000000.000000,,,4205004000000.000000,-2858995000000.000000,,,-635670000000.000000,,,,-1549623000000.000000,,-56113000000.000000,-617589000000.000000,-2858995000000.000000,-397755000000.000000,28854335000000.000000,,28456580000000.000000
12M 2009,-18660401000000.000000,19127371000000.000000,3703399000000.000000,-8016223000000.000000,,7492116000000.000000,-8008750000000.000000,417023000000.000000,-2772529000000.000000,,,-333125000000.000000,-45916424000000.000000,147144000000.000000,,-138565000000.000000,,-669336000000.000000,-12940868000000.000000,-501086000000.000000,10551000000.000000,,250397000000.000000,-284287000000.000000,31219015000000.000000,,-1849219000000.000000,,,,-109795000000.000000,-49892000000.000000,,562682000000.000000,-30602808000000.000000,-18660401000000.000000,25805983000000.000000,,,,108000000.000000,,,,-930497000000.000000,,11045000000.000000,,-212490000000.000000,,-8310109000000.000000,11854425000000.000000,-6530064000000.000000,-26193767000000.000000,15401446000000.000000,-154418115000000.000000,195134001000000.000000,,,25805983000000.000000,-3201329000000.000000,,,282008000000.000000,,,,-3411135000000.000000,,-72202000000.000000,,-3201329000000.000000,3944253000000.000000,28456580000000.000000,,32400833000000.000000
12M 2010,2711962000000.000000,20412733000000.000000,7206932000000.000000,-7715163000000.000000,,1984543000000.000000,-8855748000000.000000,167076000000.000000,-2037009000000.000000,-85085000000.000000,,-6988500000000.000000,-73674000000.000000,-18577000000.000000,,-77817000000.000000,,-2466999000000.000000,-30768658000000.000000,-1069862000000.000000,-2726000000.000000,-446420000000.000000,-18741000000.000000,164367000000.000000,31258163000000.000000,96608000000.000000,331512000000.000000,,,460165000000.000000,720458000000.000000,,,534384000000.000000,-8366317000000.000000,2711962000000.000000,-4999306000000.000000,,,,140000000.000000,,,,-1118823000000.000000,,13389000000.000000,,-38932000000.000000,24366000000.000000,-696107000000.000000,6315571000000.000000,-3912071000000.000000,-13582155000000.000000,8292020000000.000000,-1172139000000.000000,901509000000.000000,-2010438000000.000000,1984364000000.000000,-4999306000000.000000,-3022702000000.000000,,,-281612000000.000000,,,,-2741090000000.000000,,,,-3022702000000.000000,-5310046000000.000000,92106012000000.000000,,86795966000000.000000
12M 2011,-37228553000000.000000,24204371000000.000000,6247264000000.000000,-7696113000000.000000,,1002669000000.000000,-10046471000000.000000,229417000000.000000,-2751678000000.000000,-105990000000.000000,,-28840553000000.000000,-316276000000.000000,-138578000000.000000,,-135024000000.000000,,-18064828000000.000000,-48707452000000.000000,-532414000000.000000,-6729000000.000000,-306969000000.000000,-85273000000.000000,875736000000.000000,46070729000000.000000,52019000000.000000,597409000000.000000,,,255343000000.000000,362228000000.000000,,,608610000000.000000,-48312022000000.000000,-37228553000000.000000,3316909000000.000000,,,,225000000.000000,,,,-1727384000000.000000,,24191000000.000000,,-205083000000.000000,,-2864649000000.000000,11121507000000.000000,-938856000000.000000,-18414934000000.000000,17643428000000.000000,-862000000000.000000,220350000000.000000,-2967801000000.000000,2287915000000.000000,3316909000000.000000,-2773338000000.000000,,,-7883000000.000000,,,,-2765455000000.000000,,,,-2773338000000.000000,-36684982000000.000000,86795966000000.000000,-934935000000.000000,49176049000000.000000
12M 2012,27715044000000.000000,34231828000000.000000,347117000000.000000,-7692146000000.000000,-228178000000.000000,-1557056000000.000000,-11238594000000.000000,190522000000.000000,-3084948000000.000000,-162261000000.000000,,37283917000000.000000,,,1165555000000.000000,-2184483000000.000000,-605581000000.000000,-13247371000000.000000,-54132447000000.000000,-1028276000000.000000,-95558000000.000000,-366959000000.000000,-1454558000000.000000,,48599248000000.000000,84185000000.000000,-1094414000000.000000,1796174000000.000000,1875824000000.000000,313504000000.000000,,,,,16908760000000.000000,27715044000000.000000,2052255000000.000000,-23631358000000.000000,28876712000000.000000,,1884000000.000000,,,,-3211877000000.000000,,16894000000.000000,,,,,,,,,,,,,2052255000000.000000,-1300874000000.000000,1039867000000.000000,,-312820000000.000000,,,50000000000.000000,-2769413000000.000000,691492000000.000000,,,-1300874000000.000000,28466425000000.000000,49176049000000.000000,-747872000000.000000,76894602000000.000000
12M 2013,-4189827000000.000000,40463212000000.000000,612641000000.000000,-7790809000000.000000,-234193000000.000000,-11224484000000.000000,-12749715000000.000000,75980000000.000000,-3913875000000.000000,-175815000000.000000,,1364963000000.000000,,,282823000000.000000,1253079000000.000000,-400825000000.000000,-6607636000000.000000,-52130025000000.000000,-757831000000.000000,-79241000000.000000,-444778000000.000000,1251099000000.000000,,47110182000000.000000,17333000000.000000,1249964000000.000000,-1300053000000.000000,-476714000000.000000,414891000000.000000,,,,,-9252769000000.000000,-4189827000000.000000,-4612390000000.000000,-18268301000000.000000,15556338000000.000000,985508000000.000000,1305000000.000000,26574000000.000000,,,-2937296000000.000000,,23482000000.000000,,,,,,,,,,,,,-4612390000000.000000,83951000000.000000,610970000000.000000,,372934000000.000000,,,27500000000.000000,-2859981000000.000000,1932528000000.000000,,,83951000000.000000,-8718266000000.000000,76894602000000.000000,-1020009000000.000000,67156327000000.000000
12M 2014,35136527000000.000000,50279319000000.000000,1061919000000.000000,-11653738000000.000000,-1084181000000.000000,-813189000000.000000,-15724334000000.000000,231491000000.000000,-4573173000000.000000,-213762000000.000000,,3621000000.000000,,,-315387000000.000000,-1441591000000.000000,-550074000000.000000,14766508000000.000000,-34315786000000.000000,-94995000000.000000,16320000000.000000,-744767000000.000000,-62881000000.000000,,39071373000000.000000,46686000000.000000,473331000000.000000,158504000000.000000,106717000000.000000,508596000000.000000,,,,,17626175000000.000000,35136527000000.000000,-25053743000000.000000,-49735172000000.000000,27283429000000.000000,,1430000000.000000,47693000000.000000,,,-2661220000000.000000,,10097000000.000000,,,,,,,,,,,,,-25053743000000.000000,-2743308000000.000000,-628946000000.000000,,907514000000.000000,,,60000000000.000000,-3081876000000.000000,,,,-2743308000000.000000,7339476000000.000000,67156327000000.000000,-19908000000.000000,74475895000000.000000
12M 2015,29459026000000.000000,54590864000000.000000,1532994000000.000000,-11320613000000.000000,-1427104000000.000000,2405144000000.000000,-19160735000000.000000,,-5022385000000.000000,-247256000000.000000,,-22155000000.000000,,,191547000000.000000,164979000000.000000,894179000000.000000,25774564000000.000000,-39703557000000.000000,-727630000000.000000,-8074000000.000000,-898909000000.000000,-1537618000000.000000,,21477153000000.000000,54835000000.000000,266025000000.000000,-323007000000.000000,1655877000000.000000,849908000000.000000,,,,,8108117000000.000000,29459026000000.000000,18935842000000.000000,-60322065000000.000000,82584300000000.000000,,1575000000.000000,,-2288410000000.000000,1485000000000.000000,-2533375000000.000000,,8817000000.000000,,,,,,,,,,,,,18935842000000.000000,-4754155000000.000000,317065000000.000000,,-1337605000000.000000,,38602000000.000000,,-3772217000000.000000,,,,-4754155000000.000000,43640713000000.000000,74475895000000.000000,544633000000.000000,118661241000000.000000
12M 2016,45667484000000.000000,57248921000000.000000,2062231000000.000000,-10313905000000.000000,-1510616000000.000000,1763810000000.000000,-20631629000000.000000,,-5681162000000.000000,-269600000000.000000,,-30300000000.000000,,,-3335070000000.000000,454808000000.000000,-1311522000000.000000,-2034498000000.000000,-29288974000000.000000,-1066291000000.000000,14322000000.000000,-562567000000.000000,818537000000.000000,,56467413000000.000000,13088000000.000000,744889000000.000000,-187791000000.000000,1638789000000.000000,664601000000.000000,,,,,22999434000000.000000,45667484000000.000000,-60596377000000.000000,-138127963000000.000000,82343696000000.000000,29497000000.000000,1071000000.000000,,-3939435000000.000000,1745000000000.000000,-2728366000000.000000,,80123000000.000000,,,,,,,,,,,,,-60596377000000.000000,-3662059000000.000000,-488794000000.000000,,1045215000000.000000,,96146000000.000000,,-4314626000000.000000,,,,-3662059000000.000000,-18590952000000.000000,118661241000000.000000,249564000000.000000,100319853000000.000000
12M 2017,9658627000000.000000,62896141000000.000000,2554654000000.000000,-11900029000000.000000,-1488730000000.000000,200959000000.000000,-22390235000000.000000,,-5778687000000.000000,-308114000000.000000,,-549529000000.000000,,,-522860000000.000000,-2970148000000.000000,-2759868000000.000000,-6712029000000.000000,-52854462000000.000000,-635341000000.000000,-19526000000.000000,-817728000000.000000,-2500050000000.000000,,50981817000000.000000,113943000000.000000,857472000000.000000,1613329000000.000000,2136940000000.000000,510708000000.000000,,,,,-14127332000000.000000,9658627000000.000000,-20620020000000.000000,-90070128000000.000000,70914740000000.000000,35500000000.000000,1025000000.000000,-269936000000.000000,,,-1736651000000.000000,,505430000000.000000,,,,,,,,,,,,,-20620020000000.000000,-6655698000000.000000,-1721672000000.000000,,252050000000.000000,,-38523000000.000000,30000000000.000000,-5177553000000.000000,,,,-6655698000000.000000,-17617091000000.000000,100319853000000.000000,674677000000.000000,83377439000000.000000
