Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Obligasi Pemerintah,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Piutang Pembiayaan Konsumen,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Liabilitas Bank Lain,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Surat Berharga Yang Diterbitkan,Pinjaman Yang Diterima,Liabilitas Pajak Tangguhan,Obligasi Subordinasi,Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,10798921000000.000000,9668608000000.000000,4936408000000.000000,,4936408000000.000000,39810702000000.000000,,824211000000.000000,111960125000000.000000,-2757475000000.000000,110026861000000.000000,1409286000000.000000,770686000000.000000,2644785000000.000000,,65503599000000.000000,245569856000000.000000,,,1121603000000.000000,209528921000000.000000,41489000000.000000,209487432000000.000000,209528921000000.000000,,4048142000000.000000,3109382000000.000000,535742000000.000000,448325000000.000000,,,,3498431000000.000000,222290546000000.000000,,1540938000000.000000,3895933000000.000000,18338392000000.000000,392036000000.000000,17946356000000.000000,18338392000000.000000,,-495953000000.000000,23279310000000.000000,245569856000000.000000,24655010000.000000
12M 2009,,8865151000000.000000,11511278000000.000000,5259335000000.000000,,5259335000000.000000,42494673000000.000000,,688590000000.000000,123212679000000.000000,-4305608000000.000000,119595661000000.000000,1902262000000.000000,1046739000000.000000,2971269000000.000000,,88745926000000.000000,282392294000000.000000,,,841266000000.000000,245139946000000.000000,49125000000.000000,245090821000000.000000,245139946000000.000000,,2488707000000.000000,2031512000000.000000,425947000000.000000,730333000000.000000,,,,2877890000000.000000,254535601000000.000000,,1540938000000.000000,3895933000000.000000,22587283000000.000000,392036000000.000000,22195247000000.000000,22587283000000.000000,,-167461000000.000000,27856693000000.000000,282392294000000.000000,24655010000.000000
12M 2010,,9639057000000.000000,20585480000000.000000,61326849000000.000000,,61326849000000.000000,40698422000000.000000,,969561000000.000000,152953596000000.000000,-3906411000000.000000,150016746000000.000000,2973425000000.000000,3406957000000.000000,951767000000.000000,,34820366000000.000000,324419069000000.000000,,,1005633000000.000000,277530635000000.000000,36609000000.000000,277494026000000.000000,277530635000000.000000,,2896477000000.000000,2550557000000.000000,1119782000000.000000,448721000000.000000,,,460165000000.000000,4299255000000.000000,290311225000000.000000,,1540938000000.000000,3895933000000.000000,28528020000000.000000,460108000000.000000,28067912000000.000000,28528020000000.000000,,142953000000.000000,34107844000000.000000,324419069000000.000000,24655010000.000000
12M 2011,,10355620000000.000000,31881075000000.000000,43010506000000.000000,,43010506000000.000000,33459395000000.000000,,792018000000.000000,201462909000000.000000,-3814573000000.000000,198440354000000.000000,3498699000000.000000,4144659000000.000000,798382000000.000000,,56319663000000.000000,381908353000000.000000,,,1989624000000.000000,323427592000000.000000,836835000000.000000,322590757000000.000000,323427592000000.000000,,3466962000000.000000,4043322000000.000000,1481018000000.000000,449188000000.000000,,,715507000000.000000,4307800000000.000000,339881013000000.000000,,1540938000000.000000,3895933000000.000000,36581874000000.000000,544901000000.000000,36036973000000.000000,36581874000000.000000,24424000000.000000,-15829000000.000000,42027340000000.000000,381908353000000.000000,24655010000.000000
12M 2012,,11054208000000.000000,33848000000000.000000,28802130000000.000000,,28802130000000.000000,,,549450000000.000000,252211007000000.000000,,252760457000000.000000,4487552000000.000000,6406625000000.000000,919802000000.000000,,104715423000000.000000,442994197000000.000000,,,,370274199000000.000000,1484745000000.000000,368789454000000.000000,370274199000000.000000,,2330295000000.000000,5839495000000.000000,2521877000000.000000,128018000000.000000,,,1029011000000.000000,8973360000000.000000,391096255000000.000000,,1540938000000.000000,4396429000000.000000,45534178000000.000000,653094000000.000000,44881084000000.000000,45534178000000.000000,71167000000.000000,355230000000.000000,51897942000000.000000,442994197000000.000000,24655010000.000000
12M 2013,,16284142000000.000000,35269077000000.000000,12254043000000.000000,,12254043000000.000000,,,475559000000.000000,306203573000000.000000,,306679132000000.000000,5229338000000.000000,7440017000000.000000,1779493000000.000000,,111369331000000.000000,496304573000000.000000,,,,409485763000000.000000,987860000000.000000,408497903000000.000000,409485763000000.000000,,3301039000000.000000,4539442000000.000000,3132847000000.000000,500952000000.000000,,,1443902000000.000000,9933950000000.000000,432337895000000.000000,,1540938000000.000000,5564552000000.000000,56928028000000.000000,770311000000.000000,56157717000000.000000,56928028000000.000000,101075000000.000000,-167915000000.000000,63966678000000.000000,496304573000000.000000,24655010000.000000
12M 2014,,19577571000000.000000,38875175000000.000000,11502178000000.000000,,11502178000000.000000,,,552914000000.000000,339306154000000.000000,,339859068000000.000000,6973228000000.000000,8844930000000.000000,1962039000000.000000,,124829703000000.000000,552423892000000.000000,,,,447905756000000.000000,1119576000000.000000,446786180000000.000000,447905756000000.000000,,3754260000000.000000,4697946000000.000000,2503900000000.000000,3080942000000.000000,,,1952498000000.000000,10607973000000.000000,474503275000000.000000,,1540938000000.000000,5564552000000.000000,70332010000000.000000,912850000000.000000,69419160000000.000000,70332010000000.000000,237531000000.000000,245586000000.000000,77920617000000.000000,552423892000000.000000,24655010000.000000
12M 2015,,17849460000000.000000,37774577000000.000000,56259099000000.000000,,56259099000000.000000,,,946945000000.000000,377669347000000.000000,,378616292000000.000000,7407519000000.000000,9712021000000.000000,3225988000000.000000,,83527814000000.000000,594372770000000.000000,,,,473666215000000.000000,1227133000000.000000,472439082000000.000000,473666215000000.000000,,4156053000000.000000,4374939000000.000000,2820965000000.000000,1743337000000.000000,,,2802406000000.000000,15183915000000.000000,504747830000000.000000,,1540938000000.000000,5564552000000.000000,81995065000000.000000,1077708000000.000000,80917357000000.000000,81995065000000.000000,255519000000.000000,268866000000.000000,89624940000000.000000,594372770000000.000000,24655010000.000000
12M 2016,,15943854000000.000000,40596730000000.000000,35363890000000.000000,,35363890000000.000000,,,2869952000000.000000,400521269000000.000000,,403391221000000.000000,8207469000000.000000,16990835000000.000000,3548734000000.000000,,152696020000000.000000,676738753000000.000000,,,,530133625000000.000000,8099416000000.000000,522034209000000.000000,530133625000000.000000,,4900942000000.000000,4187148000000.000000,2332171000000.000000,2788552000000.000000,,,3467007000000.000000,16214249000000.000000,564023694000000.000000,,1540938000000.000000,5564552000000.000000,98503180000000.000000,1257895000000.000000,97245285000000.000000,98503180000000.000000,281982000000.000000,6824407000000.000000,112715059000000.000000,676738753000000.000000,24655010000.000000
12M 2017,,16754289000000.000000,43472752000000.000000,18969682000000.000000,,18969682000000.000000,,,3568627000000.000000,450696329000000.000000,,454264956000000.000000,8506983000000.000000,16868949000000.000000,3219241000000.000000,,188262819000000.000000,750319671000000.000000,,,,581115442000000.000000,3290867000000.000000,577824575000000.000000,581115442000000.000000,,5758414000000.000000,5800477000000.000000,610499000000.000000,3040602000000.000000,,,3977715000000.000000,18614828000000.000000,618917977000000.000000,,1540938000000.000000,5548977000000.000000,115998322000000.000000,1463952000000.000000,114534370000000.000000,115998322000000.000000,98139000000.000000,8215318000000.000000,131401694000000.000000,750319671000000.000000,24655010000.000000
