Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2020,0.13,0.13,8.49,9.85,0.0,0.0,8.47,0.86,8.85
12M 2021,2.58,1.92,0.11,1.28,0.0,0.0,0.1,0.09,0.28
12M 2022,9.86,8.44,0.04,1.11,0.0,0.0,-0.22,0.03,0.11
12M 2023,9.35,4.49,0.04,1.07,0.0,0.0,-0.0,0.04,0.07
12M 2024,9.06,5.45,0.05,1.07,0.0,0.0,0.01,0.05,0.07
