Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Pajak,Pembayaran Beban Operasional Lainnya,Penerimaan Bunga,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Yang Diberikan Kepada Pihak Lain,Penerimaan Dari Pelunasan Uang Muka Yang Diberikan Kepada Pihak Lain,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penempatan Uang Muka Pembelian Aset Hak Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Kepada Pihak Berelasi,Pemberian Pinjaman Kepada Pihak Berelasi,Penerimaan Pinjaman Dari Lembaga Pembiayaan,Pembayaran Pinjaman Kepada Lembaga Pembiayaan,Pembayaran Bunga Pinjaman Bank,Pembayaran Untuk Persiapan Penawaran Umum Perdana,Setoran Modal Saham,Pembayaran Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-692102319.000000,1966372294.000000,-1343878342.000000,-616445617.000000,-537909823.000000,-160240831.000000,,,-692102319.000000,-9257342438.000000,-7260000000.000000,110144472.000000,-2107486910.000000,,,-9257342438.000000,9880085133.000000,649912583.000000,-63579194.000000,10513317184.000000,-1066821450.000000,,,,-152743990.000000,,,,9880085133.000000,-69359624.000000,85723808.000000,16364184.000000
12M 2021,-4126248255.000000,2001458100.000000,-4644098996.000000,-1145934400.000000,-85446882.000000,-252226077.000000,,,-4126248255.000000,-893721500.000000,,10000000.000000,-901921500.000000,-1800000.000000,,-893721500.000000,5251173012.000000,1755662586.000000,-1764165119.000000,16730000000.000000,-10270635599.000000,,,,-225688856.000000,-984000000.000000,,10000000.000000,5251173012.000000,231203257.000000,16364182.000000,247567439.000000
12M 2022,-13464478863.000000,20470092174.000000,-31344086308.000000,-1477078465.000000,-407233412.000000,-706172852.000000,,,-13464478863.000000,-4820010000.000000,-3080000000.000000,7260000000.000000,-1610000000.000000,-7390010000.000000,,-4820010000.000000,29905504744.000000,12779221019.000000,-12785556919.000000,,,-646875000.000000,1143620033.000000,,-232626419.000000,,32400000000.000000,-2752277970.000000,29905504744.000000,11621015881.000000,247567440.000000,11868583321.000000
12M 2023,2048745599.000000,11178983908.000000,-3937864510.000000,-3764125193.000000,-610877116.000000,-881488400.000000,86442758.000000,-22325848.000000,2048745599.000000,-10648799678.000000,-300000000.000000,1230000000.000000,-4030228249.000000,-1230000000.000000,-6318571429.000000,-10648799678.000000,-1472236056.000000,6740144526.000000,-6702761111.000000,646875000.000000,-757307111.000000,,4781438391.000000,-5925058424.000000,-255567327.000000,,,,-1472236056.000000,-10072290135.000000,11868583322.000000,1796293187.000000
12M 2024,466504490.000000,6085078664.000000,-3016345714.000000,-1945716845.000000,-12771267.000000,-639239272.000000,115.000000,-4501191.000000,466504490.000000,-511500000.000000,,,,-61500000.000000,-450000000.000000,-511500000.000000,-334078597.000000,4919475509.000000,-4954220893.000000,,,,,,-299333213.000000,,,,-334078597.000000,-379074107.000000,1796293187.000000,1417219080.000000
