Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,1900118905.000000,-825461064.000000,1074657841.000000,-1706639361.000000,-137823498.000000,-1568815863.000000,-1706639361.000000,-631981520.000000,-242869614.000000,6472039.000000,-209831116.000000,-39510537.000000,-242869614.000000,-874851134.000000,217442024.000000,,217442024.000000,217442024.000000,-657409110.000000,,-657409110.000000,-657409109.000000,-657409109.000000,,-657409109.000000,-657409109.000000,-657409109.000000,,-657409109.000000
12M 2021,6531239273.000000,-2858349139.000000,3672890134.000000,-2626135977.000000,-47597150.000000,-2578538827.000000,-2626135977.000000,1046754157.000000,-494844066.000000,8886.000000,-369977243.000000,-124875709.000000,-494844066.000000,551910091.000000,-225935130.000000,,-225935130.000000,-225935130.000000,325974961.000000,-15342600.000000,310632361.000000,325974961.000000,325974961.000000,,325974961.000000,310632361.000000,310632361.000000,,310632361.000000
12M 2022,19848779618.000000,-14036991984.000000,5811787634.000000,-3061214335.000000,-16660281.000000,-3044554054.000000,-3061214335.000000,2750573299.000000,-325746938.000000,867681.000000,-243496034.000000,-83118585.000000,-325746938.000000,2424826361.000000,-617995388.000000,-417607520.000000,-200387868.000000,-617995388.000000,1806830973.000000,-3020160.000000,1803810813.000000,1806830973.000000,1806830973.000000,,1806830973.000000,1803810813.000000,1803810813.000000,,1803810813.000000
12M 2023,14775328996.000000,-10924923106.000000,3850405890.000000,-8807512898.000000,,-8807512898.000000,-8807512898.000000,-4957107008.000000,-191452008.000000,1094018.000000,-277893175.000000,85347149.000000,-191452008.000000,-5148559016.000000,1095719105.000000,,1095719105.000000,1095719105.000000,-4052839911.000000,31084560.000000,-4021755351.000000,-4052839911.000000,-4052839911.000000,,-4052839911.000000,-4021755351.000000,-4021755351.000000,,-4021755351.000000
12M 2024,9016469130.000000,-7062535036.000000,1953934094.000000,-9400111254.000000,,-9400111254.000000,-9400111254.000000,-7446177160.000000,-312334322.000000,115.000000,-303834404.000000,-8500033.000000,-312334322.000000,-7758511482.000000,1714068702.000000,,1714068702.000000,1714068702.000000,-6044442780.000000,79172340.000000,-5965270440.000000,-6044442780.000000,-6044442780.000000,,-6044442780.000000,-5965270440.000000,-5965270440.000000,,-5965270440.000000
