Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,16364182.000000,47114584.000000,,47114584.000000,47114584.000000,,,,,,183148690.000000,246627456.000000,,2355837942.000000,,573394158.000000,7270000000.000000,10199232100.000000,10445859556.000000,,,1934836539.000000,1736889080.000000,,,146273659.000000,146273659.000000,,3608500.000000,,48065300.000000,1934836539.000000,7450089599.000000,,7270635599.000000,179454000.000000,7450089599.000000,9384926138.000000,,510000000.000000,3000000000.000000,-2449066583.000000,,-2449066583.000000,-2449066583.000000,,1060933417.000000,10445859555.000000,1020.000000
12M 2021,,,247567440.000000,5113992161.000000,,5113992161.000000,5113992161.000000,,,,,2258300358.000000,1191650794.000000,8811510753.000000,,2478148027.000000,,356747834.000000,7717959481.000000,10552855342.000000,19364366095.000000,,,3410283647.000000,1728386547.000000,,,437586701.000000,437586701.000000,188436653.000000,1055873746.000000,,,3410283647.000000,842516669.000000,4961406.000000,,837555263.000000,842516669.000000,4252800316.000000,,17250000000.000000,,-2123091622.000000,,-2123091622.000000,-2123091622.000000,-15342600.000000,15111565778.000000,19364366094.000000,2157000000.000000
12M 2022,,,11868583322.000000,5004076430.000000,,5004076430.000000,5004076430.000000,646875000.000000,,,646875000.000000,5475397939.000000,15105912267.000000,38100844958.000000,,3295990197.000000,7390010000.000000,152250399.000000,1488907744.000000,12327158340.000000,50428003298.000000,,,3864234418.000000,1722050647.000000,,,1270002.000000,1270002.000000,436504169.000000,303667039.000000,1143620033.000000,257122528.000000,3864234418.000000,984670263.000000,,,984670263.000000,984670263.000000,4848904681.000000,,21570000000.000000,24343722030.000000,-316260652.000000,,-316260652.000000,-316260652.000000,-18362760.000000,45579098618.000000,50428003299.000000,1725000000.000000
12M 2023,,,1796293187.000000,8297306604.000000,,8297306604.000000,8297306604.000000,,,,,11630435200.000000,640998005.000000,22365032996.000000,,7849504442.000000,7542508748.000000,1239202064.000000,5468605295.000000,22099820549.000000,44464853545.000000,,,2392532278.000000,1759434062.000000,,,244530352.000000,244530352.000000,13406636.000000,273161228.000000,,102000000.000000,2392532278.000000,514978000.000000,,,514978000.000000,514978000.000000,2907510278.000000,,21570000000.000000,24343722030.000000,-4369100563.000000,,-4369100563.000000,-4369100563.000000,12721800.000000,41557343267.000000,44464853545.000000,1725000000.000000
12M 2024,,,1417219080.000000,9183110018.000000,,9183110018.000000,9183110018.000000,,,,,7385598800.000000,542663486.000000,18528591384.000000,,6426500267.000000,6522663746.000000,2930940106.000000,3509285714.000000,19389389833.000000,37917981217.000000,,,2044948390.000000,1724688678.000000,,,229044502.000000,229044502.000000,1215210.000000,90000000.000000,,,2044948390.000000,280960000.000000,,,280960000.000000,280960000.000000,2325908390.000000,,21570000000.000000,24343722030.000000,-10413543343.000000,,-10413543343.000000,-10413543343.000000,91894140.000000,35592072827.000000,37917981217.000000,1725000000.000000
