Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,-644518.73,-0.00,0.00,,-6.29%,-61.97%,-14.85%,-3.01
12M 2021,2.16 B,0.15,0.00,0.00,,1.68%,2.16%,8.56%,2.83
12M 2022,1.73 B,1.05,46.67,4.26,,3.58%,3.96%,8.80%,11.30
12M 2023,1.73 B,-2.35,-3.83,1.05,,-9.11%,-9.75%,-11.19%,-17.84
12M 2024,1.73 B,-3.50,-36.86,24.68,,-15.94%,-16.98%,-19.11%,-24.51
