Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Bunga, Provisi Dan Komisi","Pembayaran Bunga, Provisi Dan Komisi",Penerimaan Operasional Lainnya,Pembayaran Gaji Dan Tunjangan Karyawan,Pembayaran Beban Umum Dan Administrasi,Hasil Penjualan Agunan Yang Diambil Alih,Pembayaran Beban Non-Operasional Lainnya,Penerimaan Pendapatan Non-Operasional Lainnya,Penerimaan Kembali Kredit Yang Dihapusbuku,Pembayaran Pajak Penghasilan,Pembayaran Pajak Final,Penurunan (Kenaikan) Dalam Aset Operasi:,Penempatan Pada Bank Indonesia Dan Bank Lain,Kredit,Aset Lain-Lain,Agunan Yang Diambil Alih,Total Penurunan (Kenaikan) Dalam Aset Operasi:,Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Simpanan,Simpanan Dari Bank Lain,Liabilitas Lainnya,Total Kenaikan (Penurunan) Dalam Liabilitas Operasi:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Efek-Efek Yang Dimiliki Hingga Jatuh Tempo,Pencairan Efek-Efek Yang Dimiliki Hingga Jatuh Tempo,Penambahan Tagihan Atas Surat Berharga Yang Dibeli Dengan Janji Dijual Kembali (Reverse Repo),Hasil Penjualan Aset Tetap,Hasil Penjualan Agunan Yang Diambil Alih,Pembayaran Atas Aset Hak Guna,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penerimaan Dari Penjualan (Perolehan) Aset Tak Berwujud,Hasil Penjualan Penyertaan Dalam Bentuk Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Penerimaan Dari Penerbitan Saham Baru,Pembayaran Biaya Emisi Saham,Pembayaran Deviden Tunai,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-113975497622.000000,209075976803.000000,-97383133146.000000,8783373945.000000,-45090575170.000000,-24775938297.000000,,962428309.000000,,,-10841270900.000000,,,-53148143112.000000,-154796529333.000000,-3135266602.000000,,-211079939047.000000,,57915038484.000000,-864308016.000000,-677150587.000000,56373579881.000000,-113975497622.000000,73070349820.000000,-7394463000000.000000,7469858000000.000000,,636150000.000000,112000000.000000,,-3072800180.000000,,,,73070349820.000000,-5197500000.000000,,,,-5197500000.000000,,-5197500000.000000,-46102647802.000000,212058025396.000000,165955377594.000000
12M 2009,223430644619.000000,221889053185.000000,-98250601972.000000,7136805308.000000,-44864789895.000000,-31033587497.000000,,-6211600035.000000,,,-15915933600.000000,,,-129069246608.000000,-25608654031.000000,-1210355709.000000,,-155888256348.000000,,341641097812.000000,4358090282.000000,570367379.000000,346569555473.000000,223430644619.000000,-183837176978.000000,-7928629000000.000000,7748234000000.000000,,146750000.000000,128765000.000000,,-3717691978.000000,,,,-183837176978.000000,-6906900000.000000,,,,-6906900000.000000,,-6906900000.000000,32686567641.000000,165955377594.000000,198641945235.000000
12M 2010,78525965304.000000,242313409327.000000,-111479427575.000000,5226365011.000000,-52671405371.000000,-29133161890.000000,,-3015028562.000000,,,-8527607080.000000,,,,-195504775707.000000,-353166710.000000,,-195857942417.000000,,232448643948.000000,155619117.000000,-933499204.000000,231670763861.000000,78525965304.000000,593643692974.000000,-4299480000000.000000,4899480000000.000000,,307617660.000000,,,-6663924686.000000,,,,593643692974.000000,-6930000000.000000,,,,-6930000000.000000,,-6930000000.000000,665239658278.000000,503793264224.000000,1169032922502.000000
12M 2011,-169889532129.000000,259757773395.000000,-118229369833.000000,8069786089.000000,-56729127775.000000,-30754565105.000000,,-9423286524.000000,,,-12154700500.000000,,,,-464171845736.000000,-4852694203.000000,,-469024539939.000000,,260474190301.000000,-3947970261.000000,2072278023.000000,258598498063.000000,-169889532129.000000,60006402711.000000,-250000000000.000000,300000000000.000000,,465125000.000000,140000000.000000,,-10598722289.000000,,,20000000000.000000,60006402711.000000,-6930000000.000000,,,,-6930000000.000000,,-6930000000.000000,-116813129418.000000,1169032922502.000000,1052219793084.000000
12M 2012,-77503485602.000000,305255193173.000000,-124685016033.000000,15443315184.000000,-69180897198.000000,-54392982071.000000,,-4247318301.000000,,,-15920855808.000000,,,,-606644719020.000000,4949707850.000000,,-601695011170.000000,,454825121449.000000,13355165860.000000,3739799313.000000,471920086622.000000,-77503485602.000000,104574478442.000000,-35265000000.000000,165265000000.000000,,1118350000.000000,,,-26543871558.000000,,,,104574478442.000000,-10741500000.000000,,,,-10741500000.000000,,-10741500000.000000,16329492840.000000,1052219793080.000000,1068549285920.000000
12M 2013,-53372504477.000000,386929818222.000000,-180617993716.000000,13942403872.000000,-85342242600.000000,-61993377146.000000,4650000000.000000,271766761.000000,,,-20377115194.000000,,,,-586460845396.000000,-30536434853.000000,,-616997280249.000000,,492678720199.000000,-14832417957.000000,28315213331.000000,506161515573.000000,-53372504477.000000,-22487150608.000000,-145204746312.000000,129792888762.000000,,884550000.000000,,,-7959843058.000000,,,,-22487150608.000000,-14300000000.000000,,,,-14300000000.000000,,-14300000000.000000,-90159655085.000000,1068549285920.000000,978389630835.000000
12M 2014,438308822329.000000,524502086408.000000,-298638608983.000000,17793291409.000000,-92246995391.000000,-71177743651.000000,,-21382628.000000,,,-19112316692.000000,,,,-707903000410.000000,21785208287.000000,,-686117792123.000000,,1082482818654.000000,-990665391.000000,-18163869283.000000,1063328283980.000000,438308822329.000000,-68072727693.000000,-433999828790.000000,374424663888.000000,,732960000.000000,,,-9230522791.000000,,,,-68072727693.000000,-14091000000.000000,,,,-14091000000.000000,,-14091000000.000000,356145094636.000000,978389630835.000000,1334534725471.000000
12M 2015,70238389333.000000,663827792638.000000,-389833740006.000000,19729350609.000000,-98708774462.000000,-82020085229.000000,210000000.000000,101396611.000000,,,-19473950216.000000,-18252407377.000000,,,-779165908995.000000,8159029554.000000,,-771006879441.000000,,761683323686.000000,3021336235.000000,961026285.000000,765665686206.000000,70238389333.000000,-275336872484.000000,-508491156930.000000,239284953032.000000,,572250000.000000,,,-6702918586.000000,,,,-275336872484.000000,-12959100000.000000,,,,-12959100000.000000,,-12959100000.000000,-218057583151.000000,1334534725471.000000,1116477142320.000000
12M 2016,408439544324.000000,720551752184.000000,-386482788814.000000,2193696127.000000,-108847053996.000000,-85843993961.000000,,256918151.000000,,,-28009593102.000000,,,,-186646771019.000000,1285819772.000000,,-185360951247.000000,,483757931689.000000,-3212450521.000000,-563922186.000000,479981558982.000000,408439544324.000000,-340721501608.000000,-838134572726.000000,501558567311.000000,,882871000.000000,,,-5028367193.000000,,,,-340721501608.000000,-14322000000.000000,,,,-14322000000.000000,,-14322000000.000000,53396042716.000000,1116477142320.000000,1169873185036.000000
12M 2017,-116867307919.000000,682453128514.000000,-334860592260.000000,21372885228.000000,-110189364872.000000,-90783305086.000000,,82284872.000000,,,-30913976302.000000,,,,-49912514471.000000,-15276078151.000000,663719276.000000,-64524873346.000000,,-179051649816.000000,204992985.000000,-10656837836.000000,-189503494667.000000,-116867307919.000000,269722693379.000000,,279555777581.000000,,-9123588695.000000,,,,,-709495507.000000,,269722693379.000000,-19126704176.000000,,,,-19750500000.000000,623795824.000000,-19126704176.000000,133104885460.000000,1169873185036.000000,1303601866320.000000
