Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,1.93,,0.1,,,0.0
12M 2009,,,,,,,,,2.05,2.0,0.1,0.1,,,0.0
12M 2010,,,,,,,,,2.22,2.21,0.09,0.09,,,0.0
12M 2011,,,,,,,,,2.38,2.39,0.09,0.09,,,0.0
12M 2012,,,,,,,,,2.52,2.45,0.1,0.09,,,0.0
12M 2013,,,,,,,,,2.98,2.99,0.11,0.1,,,0.0
12M 2014,,,,,,,,,3.98,3.97,0.12,0.11,,,0.0
12M 2015,,,,,,,,,1.52,1.52,0.11,0.1,,,0.0
12M 2016,,,,,,,,,0.98,0.98,0.1,0.1,,,0.0
12M 2017,,,,,,,,,0.92,0.92,0.1,0.1,,,0.0
12M 2018,,,,,,,,,0.85,0.85,0.09,0.09,,,0.0
12M 2019,,,,,,,,,0.83,0.83,0.09,0.09,,,0.0
12M 2020,,,,,,,,,0.79,0.79,0.08,0.08,,,0.0
12M 2021,,,,,,,,,0.63,0.61,0.06,0.07,,,0.0
12M 2022,,,,,,,,,0.65,0.66,0.06,0.06,,,0.0
12M 2023,,,,,,,,,0.67,0.67,0.07,0.07,,,0.0
12M 2024,,,,,,,,,0.7,0.7,0.07,0.07,,,0.0
