Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Premi Penjaminan Pemerintah,Bonus,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Jasa Administrasi,Provisi Dan Komisi Lainnya,Keuntungan Transaksi Mata Uang Asing,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Pemulihan Cadangan Kerugian Penurunan Nilai Aset Keuangan,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Premi Penjaminan Pemerintah,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Others,Total Pendapatan Non-Operasional,Beban Non-Operasional,Others,Total Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,210117341559.000000,197873458436.000000,12243883123.000000,210117341559.000000,-97652718851.000000,-93434521851.000000,-3320897000.000000,-897300000.000000,-97652718851.000000,112464622708.000000,-71564328757.000000,,6744531956.000000,1072234852.000000,1503462895.000000,555884409.000000,9876114112.000000,,-3054318589.000000,-144986941.000000,,-44354911562.000000,-33886225777.000000,-81440442869.000000,-71564328757.000000,40900293951.000000,672995270.000000,,709063617.000000,709063617.000000,,-36068347.000000,-36068347.000000,672995270.000000,41573289221.000000,-13952028081.000000,27621261140.000000,,,,,27621261140.000000,27621261140.000000,,27621261140.000000,,,,
12M 2009,219653252321.000000,206645039111.000000,13008213210.000000,219653252321.000000,-98999652468.000000,-95151037468.000000,-2952365000.000000,-896250000.000000,-98999652468.000000,120653599853.000000,-79726521692.000000,,8737514002.000000,968169864.000000,173144216.000000,692072933.000000,10570901015.000000,,-3341297195.000000,-256113744.000000,,-47722904315.000000,-38977107453.000000,-90297422707.000000,-79726521692.000000,40927078161.000000,231417039.000000,,231911434.000000,231911434.000000,,-494395.000000,-494395.000000,231417039.000000,41158495200.000000,-12944818475.000000,28213676725.000000,,,,,28213676725.000000,28213676725.000000,,28213676725.000000,,,,
12M 2010,239141403867.000000,239141403867.000000,,239141403867.000000,-111330783396.000000,-106532559525.000000,-3898223871.000000,-900000000.000000,-111330783396.000000,127810620471.000000,-91655456904.000000,,6735799605.000000,982390689.000000,217680679.000000,1718849837.000000,9654720810.000000,,-4472513456.000000,-1137577223.000000,,-54401728931.000000,-41298358104.000000,-101310177714.000000,-91655456904.000000,36155163567.000000,392526738.000000,,395078676.000000,395078676.000000,,-2551938.000000,-2551938.000000,392526738.000000,36547690305.000000,-9568215110.000000,26979475195.000000,,,,,26979475195.000000,26979475195.000000,,26979475195.000000,,,,
12M 2011,264371589040.000000,264371589040.000000,,264371589040.000000,-118847501077.000000,-113596802038.000000,-4350699039.000000,-900000000.000000,-118847501077.000000,145524087963.000000,-107672604890.000000,,6937822152.000000,949102186.000000,948747467.000000,4652010347.000000,13487682152.000000,,-10064444767.000000,,,-59747773873.000000,-51348068402.000000,-121160287042.000000,-107672604890.000000,37851483073.000000,19164153627.000000,,19164153627.000000,19164153627.000000,,,,19164153627.000000,57015636700.000000,-14391040474.000000,42624596226.000000,,,,,42624596226.000000,42624596226.000000,,42624596226.000000,,,,
12M 2012,311555668398.000000,311555668398.000000,,311555668398.000000,-125031175759.000000,-119025733990.000000,-5068362330.000000,-937079439.000000,-125031175759.000000,186524492639.000000,-110452259691.000000,,7340139671.000000,987923904.000000,2562551089.000000,8685005116.000000,19575619780.000000,,5808269507.000000,,,-73524245224.000000,-62311903754.000000,-130027879471.000000,-110452259691.000000,76072232948.000000,1394802484.000000,,1394802484.000000,1394802484.000000,,,,1394802484.000000,77467035432.000000,-20351296112.000000,57115739320.000000,,,,57115739320.000000,57115739320.000000,57115739320.000000,,57115739320.000000,57115739320.000000,57115739320.000000,,57115739320.000000
12M 2013,397198273705.000000,397198273705.000000,,397198273705.000000,-184912294085.000000,-177469246074.000000,-6442466975.000000,-1000581036.000000,-184912294085.000000,212285979620.000000,-135690660535.000000,,7086715102.000000,1830181355.000000,1622451148.000000,6877692452.000000,17417040057.000000,,11160389608.000000,,,-87553172862.000000,-76714917338.000000,-153107700592.000000,-135690660535.000000,76595319085.000000,2259585004.000000,,2259585004.000000,2259585004.000000,,,,2259585004.000000,78854904089.000000,-22657479631.000000,56197424458.000000,,,,56197424458.000000,56197424458.000000,56197424458.000000,,56197424458.000000,56197424458.000000,56197424458.000000,,56197424458.000000
12M 2014,531252641046.000000,531252641046.000000,,531252641046.000000,-305156783627.000000,-296122316756.000000,-8091673748.000000,-942793123.000000,-305156783627.000000,226095857419.000000,-156109669179.000000,,8198360682.000000,2419070583.000000,623807198.000000,9258710144.000000,20499948607.000000,,-788161834.000000,,,-95710443855.000000,-80111012097.000000,-176609617786.000000,-156109669179.000000,69986188240.000000,555565259.000000,,555565259.000000,555565259.000000,,,,555565259.000000,70541753499.000000,-18713917170.000000,51827836329.000000,,,,51827836329.000000,51827836329.000000,51827836329.000000,,51827836329.000000,51827836329.000000,51827836329.000000,,51827836329.000000
12M 2015,660714186808.000000,660714186808.000000,,660714186808.000000,-390807175145.000000,-380100798885.000000,-10008325052.000000,-698051208.000000,-390807175145.000000,269907011663.000000,-189253245007.000000,,9938493909.000000,3785268878.000000,922363750.000000,11757053154.000000,26403179691.000000,,-17326251399.000000,,,-107190457166.000000,-91139716133.000000,-215656424698.000000,-189253245007.000000,80653766656.000000,-3007917390.000000,,-3007917390.000000,-3007917390.000000,,,,-3007917390.000000,77645849266.000000,-20695431346.000000,56950417920.000000,587737365080.000000,587737365080.000000,587737365080.000000,644687783000.000000,56950417920.000000,56950417920.000000,,56950417920.000000,644687783000.000000,644687783000.000000,,644687783000.000000
12M 2016,717418383633.000000,717418383633.000000,,717418383633.000000,-384764534910.000000,-373169702409.000000,-10861974502.000000,-732857999.000000,-384764534910.000000,332653848723.000000,-227157712588.000000,,9088355481.000000,3675642555.000000,150509747.000000,11690729075.000000,24605236858.000000,,-39593347764.000000,,,-118437102585.000000,-93732499097.000000,-251762949446.000000,-227157712588.000000,105496136135.000000,986886495.000000,,986886495.000000,986886495.000000,,,,986886495.000000,106483022630.000000,-27723285461.000000,78759737169.000000,-1638617905.000000,-1638617905.000000,-1638617905.000000,77121119264.000000,78759737169.000000,78759737169.000000,,78759737169.000000,77121119264.000000,77121119264.000000,,77121119264.000000
12M 2017,678024673120.000000,678024673120.000000,,678024673120.000000,-332352389044.000000,-332352389044.000000,,,-332352389044.000000,345672284076.000000,-224708966592.000000,,,3569143448.000000,473899873.000000,21522781179.000000,25565824500.000000,,-25814087837.000000,,,-10554597384.000000,-213906105871.000000,-250274791092.000000,-224708966592.000000,120963317484.000000,1416355521.000000,,1416355521.000000,1416355521.000000,,,,1416355521.000000,122379673005.000000,-32831577535.000000,89548095470.000000,-3635570803.000000,-3635570803.000000,-3635570803.000000,85912524667.000000,89548095470.000000,89548095470.000000,,89548095470.000000,85912524667.000000,85912524667.000000,,85912524667.000000
