Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Total Pinjaman Yang Diberikan,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Utang Pajak,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,57519898029.000000,89194226078.000000,175799732629.000000,,7639618111.000000,927811937972.000000,935451556083.000000,107057544803.000000,,5701535700.000000,,673642912807.000000,2044367406129.000000,,,11840388352.000000,1585451977715.000000,513955342016.000000,1071496635699.000000,1585451977715.000000,3010831865.000000,9437609457.000000,6522034484.000000,34801166041.000000,1651064007914.000000,,231000000000.000000,10989779766.000000,151313618449.000000,7500000000.000000,143813618449.000000,151313618449.000000,,393303398215.000000,2044367406129.000000,2310000000.000000
12M 2009,,47970980549.000000,100865822710.000000,305142812699.000000,,17053881215.000000,943793509769.000000,960847390984.000000,106996369363.000000,,6016064305.000000,,875346654251.000000,2403186094861.000000,,,12581605664.000000,1927093075527.000000,789259221443.000000,1137833854084.000000,1927093075527.000000,7368922147.000000,2105783556.000000,3694598031.000000,35731934996.000000,1988575919921.000000,,231000000000.000000,10989779766.000000,172620395174.000000,10000000000.000000,162620395174.000000,172620395174.000000,,414610174940.000000,2403186094861.000000,2310000000.000000
12M 2010,,45894629580.000000,189012734089.000000,905678418775.000000,,44682459269.000000,1109656904949.000000,1154339364218.000000,108494069595.000000,,6448645195.000000,,251183828250.000000,2661051689702.000000,,,11363351596.000000,2159541719474.000000,891432497735.000000,1268109221739.000000,2159541719474.000000,7524541264.000000,2706331898.000000,5452541816.000000,39803553519.000000,2226392039567.000000,,231000000000.000000,10989779766.000000,192669870369.000000,12500000000.000000,180169870369.000000,192669870369.000000,,434659650135.000000,2661051689702.000000,2310000000.000000
12M 2011,,36900181615.000000,225962030860.000000,770238492508.000000,,57873810832.000000,1551980287598.000000,1609854098430.000000,113852318910.000000,,7240806721.000000,,199100524469.000000,2963148453513.000000,,,13103870296.000000,2420015909775.000000,999861911518.000000,1420153998257.000000,2420015909775.000000,3576571003.000000,3370777839.000000,8812802638.000000,38137414379.000000,2487017345930.000000,,231000000000.000000,10989779766.000000,234141327817.000000,15000000000.000000,219141327817.000000,234141327817.000000,,476131107583.000000,2963148453513.000000,2310000000.000000
12M 2012,,35775309185.000000,264619971119.000000,676296550132.000000,,3907157096.000000,2221778072685.000000,2225685229781.000000,133556736066.000000,3604569331.000000,4564503806.000000,,139413719437.000000,3483516588857.000000,,,16445211285.000000,2874841031224.000000,66862325854.000000,2807978705370.000000,2874841031224.000000,16931736863.000000,740139376.000000,6026569020.000000,46026554186.000000,2961011241954.000000,,231000000000.000000,10989779766.000000,280515567137.000000,17500000000.000000,263015567137.000000,280515567137.000000,,522505346903.000000,3483516588857.000000,2310000000.000000
12M 2013,,55484797884.000000,291822203839.000000,394936929870.000000,,173593298.000000,2820896711130.000000,2821070304428.000000,133122041955.000000,2789585210.000000,3496051412.000000,,342950363014.000000,4045672277612.000000,,,19797264380.000000,3367519751423.000000,93608437951.000000,3273911313472.000000,3367519751423.000000,2099318906.000000,24815151215.000000,12937812253.000000,54100208074.000000,3481269506251.000000,,231000000000.000000,10989779766.000000,322412991595.000000,20000000000.000000,302412991595.000000,322412991595.000000,,564402771361.000000,4045672277612.000000,2310000000.000000
12M 2014,,46906131050.000000,394799403997.000000,634398688613.000000,,224570292.000000,3528240345153.000000,3528464915445.000000,133680326392.000000,2372543005.000000,2596817558.000000,,412203818539.000000,5155422644599.000000,,,22866534051.000000,4450002570077.000000,232633065062.000000,4217369505015.000000,4450002570077.000000,1108653515.000000,4614251955.000000,11640178877.000000,63050848434.000000,4553283036909.000000,,231000000000.000000,10989779766.000000,360149827924.000000,22500000000.000000,337649827924.000000,360149827924.000000,,602139607690.000000,5155422644599.000000,2310000000.000000
12M 2015,,63841321332.000000,444097652874.000000,529757231692.000000,,116623844.000000,4293076513106.000000,4293193136950.000000,736785069334.000000,1860449348.000000,4509428875.000000,,493222527536.000000,6567266817941.000000,,,23937182459.000000,5211685893763.000000,441530742542.000000,4770155151221.000000,5211685893763.000000,4129989750.000000,9484372739.000000,14211058315.000000,69950030225.000000,5333398527251.000000,,231000000000.000000,10989779766.000000,404141145844.000000,25000000000.000000,379141145844.000000,404141145844.000000,587737365080.000000,1233868290690.000000,6567266817941.000000,2310000000.000000
12M 2016,,46315773715.000000,393118773021.000000,658353715428.000000,,84190292.000000,4458881456112.000000,4458965646404.000000,733483876439.000000,1582350932.000000,7465157132.000000,,821888039873.000000,7121173332944.000000,,,23209928812.000000,5695443825452.000000,435502834916.000000,5259940990536.000000,5695443825452.000000,917539229.000000,10573120998.000000,15768022251.000000,78593486248.000000,5824505922990.000000,,231000000000.000000,10989779766.000000,468578883013.000000,27500000000.000000,441078883013.000000,468578883013.000000,586098747175.000000,1296667409954.000000,7121173332944.000000,2310000000.000000
12M 2017,,37592399081.000000,376975263549.000000,829864938588.000000,,48802220.000000,4483015270818.000000,4483064073038.000000,733895775195.000000,588076398.000000,10655953032.000000,,542040856730.000000,7014677335611.000000,,,21195493883.000000,5516392175636.000000,467920189919.000000,5048471985717.000000,5516392175636.000000,1122532214.000000,6332909437.000000,20288658420.000000,86516131400.000000,5651847900990.000000,,231000000000.000000,10989779766.000000,538376478483.000000,30000000000.000000,508376478483.000000,538376478483.000000,582463176372.000000,1362829434621.000000,7014677335611.000000,2310000000.000000
