Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Beban Penelitian Dan Pengembangan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,469501156785.000000,-427207040324.000000,42294116461.000000,-27582512454.000000,,-11147985829.000000,-16338676763.000000,-27486662592.000000,-95849862.000000,,-27582512454.000000,14711604007.000000,-2320374678.000000,-4481789381.000000,5101504231.000000,464369685.000000,-3177315278.000000,,-227143935.000000,-2320374678.000000,12391229329.000000,-2477292033.000000,-2477292033.000000,,-2477292033.000000,-2565453321.000000,7348483975.000000,,,7348483975.000000,9913937296.000000,-2565453321.000000,7348483975.000000,,,,
12M 2009,501126702936.000000,-433521805600.000000,67604897336.000000,-26987742730.000000,,-10560087525.000000,-16153650655.000000,-26713738180.000000,-274004550.000000,,-26987742730.000000,40617154606.000000,10812371643.000000,-1337046420.000000,5952631765.000000,529183843.000000,1971792858.000000,,3695809597.000000,10812371643.000000,51429526249.000000,-13585383794.000000,-13585383794.000000,,-13585383794.000000,-13103275889.000000,24740866566.000000,,,24740866566.000000,37844142455.000000,-13103275889.000000,24740866566.000000,,,,
12M 2010,536165916012.000000,-446483415289.000000,89682500723.000000,-34445572764.000000,,-12707332486.000000,-21568943427.000000,-34276275913.000000,-169296851.000000,,-34445572764.000000,55236927959.000000,13654757206.000000,-467814538.000000,5866097919.000000,13211133830.000000,634492153.000000,,-5589152158.000000,13654757206.000000,68891685165.000000,-15621778874.000000,-15621778874.000000,,-15621778874.000000,-21118018246.000000,32151888045.000000,,,32151888045.000000,53269906291.000000,-21118018246.000000,32151888045.000000,,,,
12M 2011,512774178073.000000,-419125192966.000000,93648985107.000000,-21310406570.000000,-26637620383.000000,,,-26637620383.000000,,5327213813.000000,-21310406570.000000,72338578537.000000,-570435898.000000,-570435898.000000,,,,,,-570435898.000000,71768142639.000000,-16445976559.000000,-16445976559.000000,,-16445976559.000000,,55322166080.000000,,55322166080.000000,55322166080.000000,36473509790.000000,18848656290.000000,55322166080.000000,55322166080.000000,36473509790.000000,18848656290.000000,55322166080.000000
12M 2012,556445856927.000000,-471261040385.000000,85184816542.000000,-25303462953.000000,-28602195149.000000,,,-28602195149.000000,,3298732196.000000,-25303462953.000000,59881353589.000000,-999622202.000000,-999622202.000000,,,,,,-999622202.000000,58881731387.000000,-14374030020.000000,-14374030020.000000,,-14374030020.000000,,44507701367.000000,,44507701367.000000,44507701367.000000,27373408663.000000,17134292704.000000,44507701367.000000,44507701367.000000,27373408663.000000,17134292704.000000,44507701367.000000
12M 2013,643403327263.000000,-552651666850.000000,90751660413.000000,-41115399442.000000,-29928853107.000000,,,-29928853107.000000,,-11186546335.000000,-41115399442.000000,49636260971.000000,-1193957849.000000,-1193957849.000000,,,,,,-1193957849.000000,48442303122.000000,-13411886964.000000,-13411886964.000000,,-13411886964.000000,,35030416158.000000,,35030416158.000000,35030416158.000000,19718348656.000000,15312067502.000000,35030416158.000000,35030416158.000000,19718348656.000000,15312067502.000000,35030416158.000000
12M 2014,737863227409.000000,-627503837639.000000,110359389770.000000,-33115090482.000000,-31106473748.000000,,,-31106473748.000000,,-2008616734.000000,-33115090482.000000,77244299288.000000,-1418078545.000000,-1418078545.000000,,,,,,-1418078545.000000,75826220743.000000,-20927345985.000000,-20927345985.000000,,-20927345985.000000,,54898874758.000000,,54898874758.000000,54898874758.000000,54898874758.000000,,54898874758.000000,54898874758.000000,32593885511.000000,22304989247.000000,54898874758.000000
12M 2015,677331846043.000000,-576095243965.000000,101236602078.000000,-36726213586.000000,-34241323073.000000,,,-34241323073.000000,,-2484890513.000000,-36726213586.000000,64510388492.000000,-1274042286.000000,-1274042286.000000,,,,,,-1274042286.000000,63236346206.000000,-11820161899.000000,-11820161899.000000,,-11820161899.000000,,51416184307.000000,1374051545.000000,52790235852.000000,51416184307.000000,30204281128.000000,21211903179.000000,51416184307.000000,52790235852.000000,31217511932.000000,21572723920.000000,52790235852.000000
12M 2016,792794834768.000000,-651717629066.000000,141077205702.000000,-47738861364.000000,-47358900800.000000,,,-47358900800.000000,,-379960564.000000,-47738861364.000000,93338344338.000000,2436243679.000000,-780144091.000000,3216387770.000000,,,,,2436243679.000000,95774588017.000000,-26468958222.000000,-26468958222.000000,,-26468958222.000000,,69305629795.000000,4503142975.000000,73808772770.000000,69305629795.000000,46778491362.000000,22527138433.000000,69305629795.000000,73808772770.000000,49075094279.000000,24733678491.000000,73808772770.000000
12M 2017,761926952217.000000,-632967231181.000000,128959721036.000000,-37239309626.000000,-44482583309.000000,,,-44482583309.000000,,7243273683.000000,-37239309626.000000,91720411410.000000,4044379653.000000,-841638218.000000,4886017871.000000,,,,,4044379653.000000,95764791063.000000,-23388107927.000000,-23388107927.000000,,-23388107927.000000,,72376683136.000000,-290151523.000000,72086531613.000000,72376683136.000000,52013535311.000000,20363147825.000000,72376683136.000000,72086531613.000000,51796809854.000000,20289721759.000000,72086531613.000000
