Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,36296169245.000000,,51337243950.000000,87243975849.000000,24428631961.000000,62815343888.000000,87243975849.000000,727930226.000000,,,727930226.000000,60959991341.000000,6628287844.000000,243193598455.000000,,59157723781.000000,,1331644485.000000,1402850976.000000,696815961.000000,62589035203.000000,305782633658.000000,,,59713763905.000000,14756517432.000000,34158049241.000000,4738342000.000000,4548587329.000000,1191522437.000000,,320745466.000000,320745466.000000,,59713763905.000000,13057365511.000000,240402969.000000,3636047023.000000,9180915519.000000,13057365511.000000,72771129416.000000,,52500000000.000000,175000000.000000,143632955953.000000,1745084983.000000,141887870970.000000,143632955953.000000,41503616718.000000,-4800068429.000000,233011504242.000000,305782633658.000000,1050000000.000000
12M 2009,,,75231868234.000000,,10000000000.000000,103142942022.000000,33975714584.000000,69167227438.000000,103142942022.000000,805495466.000000,,,805495466.000000,59233728243.000000,17288199211.000000,265702233176.000000,,49756561784.000000,,1115271733.000000,739289887.000000,495344871.000000,52106468275.000000,317808701451.000000,,,46730617139.000000,,32894335804.000000,1900011054.000000,10114163296.000000,1596853832.000000,,225253153.000000,225253153.000000,,46730617139.000000,14015386942.000000,,3474412768.000000,10540974174.000000,14015386942.000000,60746004081.000000,,52500000000.000000,175000000.000000,165376326019.000000,1818569823.000000,163557756196.000000,165376326019.000000,49781988868.000000,-10770617517.000000,257062697370.000000,317808701451.000000,1050000000.000000
12M 2010,,,165026940944.000000,,,84422055486.000000,,84422055486.000000,84422055486.000000,234009461.000000,,,234009461.000000,51366388330.000000,7737919048.000000,308787313269.000000,,33735481457.000000,,898898669.000000,3221398971.000000,829972089.000000,38685751186.000000,347473064455.000000,,,43850552867.000000,348252930.000000,27676013891.000000,2045629329.000000,10655808797.000000,3124847920.000000,,,,,43850552867.000000,10378158681.000000,,3266573226.000000,7111585455.000000,10378158681.000000,54228711548.000000,,52500000000.000000,175000000.000000,194611600599.000000,2065978489.000000,192545622110.000000,194611600599.000000,53115949108.000000,-7158196800.000000,293244352907.000000,347473064455.000000,1050000000.000000
12M 2011,,,137854265974.000000,,,98114914058.000000,,98114914058.000000,98114914058.000000,493682864.000000,,,493682864.000000,79130210954.000000,7296355965.000000,322889429815.000000,,28002610902.000000,,,3130675348.000000,1557280879.000000,32690567129.000000,355579996944.000000,,,55928177431.000000,9000000000.000000,37017084570.000000,2633853689.000000,4220900769.000000,3056338403.000000,,,,,55928177431.000000,9065461740.000000,,2410922662.000000,6654539078.000000,9065461740.000000,64993639171.000000,,52500000000.000000,175000000.000000,182474885389.000000,2387497369.000000,180087388020.000000,182474885389.000000,62594669184.000000,-7158196800.000000,290586357773.000000,355579996944.000000,1050000000.000000
12M 2012,,,50180362827.000000,,,114768505119.000000,,114768505119.000000,114768505119.000000,343746749.000000,,,343746749.000000,86330699896.000000,13446434596.000000,265069749187.000000,,43056656242.000000,,,2963302654.000000,1253052195.000000,47273011091.000000,312342760278.000000,,,60746702955.000000,5417841032.000000,42665201451.000000,7570617953.000000,2162599312.000000,2930443207.000000,,,,,60746702955.000000,9567205082.000000,,1638082988.000000,7929122094.000000,9567205082.000000,70313908037.000000,,52500000000.000000,175000000.000000,117488866552.000000,2752232467.000000,114736634085.000000,117488866552.000000,79023182489.000000,-7158196800.000000,242028852241.000000,312342760278.000000,1050000000.000000
12M 2013,,,16563370745.000000,,,127793506820.000000,,127793506820.000000,127793506820.000000,676556641.000000,,,676556641.000000,101008221352.000000,16674629976.000000,262716285534.000000,,48894720354.000000,,,2004505392.000000,1131133219.000000,52030358965.000000,314746644499.000000,,,77516948155.000000,4517327443.000000,65124310744.000000,3769637898.000000,1374492908.000000,2731179162.000000,,,,,77516948155.000000,11486921554.000000,,1358333685.000000,10128587869.000000,11486921554.000000,89003869709.000000,,48610225000.000000,,95196256300.000000,3025966554.000000,92170289746.000000,95196256300.000000,81906936382.000000,29357108.000000,225742774790.000000,314746644499.000000,972204500.000000
12M 2014,,,17659223755.000000,,,147207368613.000000,,147207368613.000000,147207368613.000000,551025614.000000,,,551025614.000000,119618779661.000000,17109694946.000000,302146092589.000000,,46081516352.000000,,,699467202.000000,967707432.000000,47748690986.000000,349894783575.000000,,,73319694812.000000,2387195272.000000,58945793125.000000,4078416742.000000,4882901306.000000,2490126333.000000,,535262034.000000,535262034.000000,,73319694812.000000,13123861618.000000,,11922870138.000000,1200991480.000000,13123861618.000000,86443556430.000000,,48610225000.000000,,118068096811.000000,3223150041.000000,114844946770.000000,118068096811.000000,96743548226.000000,29357108.000000,263451227145.000000,349894783575.000000,972204500.000000
12M 2015,,,64275870695.000000,,,125281326453.000000,,125281326453.000000,125281326453.000000,518766824.000000,,,518766824.000000,112347499544.000000,7111493130.000000,309534956646.000000,,66489781540.000000,,,7012403736.000000,898898668.000000,74401083944.000000,383936040590.000000,,,62393966974.000000,,54522204000.000000,3808721601.000000,2885077969.000000,1177963404.000000,,,,,62393966974.000000,11077815153.000000,,,11077815153.000000,11077815153.000000,73471782127.000000,,48610225000.000000,,148259341646.000000,3549088896.000000,144710252750.000000,148259341646.000000,115861937626.000000,-2267245809.000000,310464258463.000000,383936040590.000000,972204500.000000
12M 2016,,,103660388913.000000,,,136984654250.000000,,136984654250.000000,136984654250.000000,253588184.000000,,,253588184.000000,111926303398.000000,10179379459.000000,363004314204.000000,,70591030568.000000,,,4971429856.000000,898898668.000000,76461359092.000000,439465673296.000000,,,62350881953.000000,,46385920164.000000,4126164281.000000,10404756028.000000,1434041480.000000,,,,,62350881953.000000,3365755813.000000,,,3365755813.000000,3365755813.000000,65716637766.000000,,48610225000.000000,29000000.000000,190176810508.000000,3851131707.000000,186325678801.000000,190176810508.000000,134903642914.000000,29357108.000000,373749035530.000000,439465673296.000000,972204500.000000
12M 2017,,,142747568453.000000,,,138818678276.000000,,138818678276.000000,138818678276.000000,733405973.000000,,,733405973.000000,106859235186.000000,7094004865.000000,396252892753.000000,,86389049329.000000,898898668.000000,,6780596603.000000,22701154221.000000,116769698821.000000,513022591574.000000,,,60941267200.000000,,52416665052.000000,4269536142.000000,2375727815.000000,1879338191.000000,,,,,60941267200.000000,10134575231.000000,,,10134575231.000000,10134575231.000000,71075842431.000000,,48610225000.000000,29000000.000000,238301527819.000000,4318916621.000000,233982611198.000000,238301527819.000000,126563224214.000000,28442772110.000000,441946749143.000000,513022591574.000000,972204500.000000
