Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,15482621659.000000,-12559389797.000000,2923231862.000000,-2330481650.000000,-192490795.000000,-2137990855.000000,-2330481650.000000,592750212.000000,-414999303.000000,,,,,,,-414999303.000000,-414999303.000000,177750909.000000,-82630889.000000,95120020.000000,-1376765.000000,,93743255.000000,,,93743255.000000,95120020.000000,-1376765.000000,,93743255.000000,,,,
12M 2009,17025254460.000000,-13475729739.000000,3549524721.000000,-3264235769.000000,-367882450.000000,-2896353319.000000,-3264235769.000000,285288952.000000,14557964.000000,,,,,,,14557964.000000,14557964.000000,299846916.000000,-130587735.000000,169259181.000000,-2490434.000000,,166768747.000000,,,166768747.000000,169259181.000000,-2490434.000000,,166768747.000000,,,,
12M 2010,792801877156.000000,-631244451815.000000,161557425341.000000,-67422847921.000000,-3524937749.000000,-63897910172.000000,-67422847921.000000,94134577420.000000,-14114754287.000000,12531955305.000000,229518063.000000,-41149083585.000000,,,,14272855930.000000,-14114754287.000000,80019823133.000000,-23527243832.000000,56492579301.000000,-11629130405.000000,-43938256153.000000,925192743.000000,,,925192743.000000,56492579301.000000,-11629130405.000000,-43938256153.000000,925192743.000000,,,,
12M 2011,796794656921.000000,-626018196945.000000,170776459976.000000,-87693350128.000000,-2376205375.000000,-85317144753.000000,-87693350128.000000,83083109848.000000,-37927918706.000000,-3608196984.000000,,-48773980777.000000,,1436294132.000000,,13017964923.000000,-37927918706.000000,45155191142.000000,-20918999354.000000,24236191788.000000,,,24236191788.000000,,24236191788.000000,24236191788.000000,16169746705.000000,8066445083.000000,,24236191788.000000,24236191788.000000,16169746705.000000,8066445083.000000,24236191788.000000
12M 2012,116085312.000000,-92156497.000000,23928815.000000,-10918365.000000,-571720.000000,-10346645.000000,-10918365.000000,13010450.000000,-1442306.000000,-1458798.000000,,-4594977.000000,,135739.000000,,4475730.000000,-1442306.000000,11568144.000000,-4178450.000000,7389694.000000,,,7389694.000000,678319.000000,8068013.000000,7389694.000000,5243152.000000,2146542.000000,,7389694.000000,8068013.000000,5921471.000000,2146542.000000,8068013.000000
12M 2013,137185367.000000,-112885805.000000,24299562.000000,-12982137.000000,-433507.000000,-12548630.000000,-12982137.000000,11317425.000000,-533299.000000,-1267649.000000,,-4922975.000000,,610482.000000,,5046843.000000,-533299.000000,10784126.000000,-3293527.000000,7490599.000000,,,7490599.000000,-317596.000000,7173003.000000,7490599.000000,5756548.000000,1734051.000000,,7490599.000000,7173003.000000,5438952.000000,1734051.000000,7173003.000000
12M 2014,197116782.000000,-165938642.000000,31178140.000000,-12850317.000000,-202690.000000,-12647627.000000,-12850317.000000,18327823.000000,-4520981.000000,-430489.000000,,-3155907.000000,,-2737546.000000,,1802961.000000,-4520981.000000,13806842.000000,-4867375.000000,8939467.000000,,,8939467.000000,-926193.000000,8013274.000000,8939468.000000,7803010.000000,1136458.000000,,8939468.000000,8013275.000000,6876590.000000,1136685.000000,8013275.000000
12M 2015,193571689.000000,-159136669.000000,34435020.000000,-14296448.000000,-158500.000000,-14137948.000000,-14296448.000000,20138572.000000,-4954846.000000,-541244.000000,,-3212609.000000,,-233419.000000,,-967574.000000,-4954846.000000,15183726.000000,-5953525.000000,9230201.000000,,,9230201.000000,341313.000000,9571514.000000,9230201.000000,7868144.000000,1362057.000000,,9230201.000000,9571514.000000,8210222.000000,1361292.000000,9571514.000000
12M 2016,186914329.000000,-162673291.000000,24241038.000000,-12596933.000000,-134199.000000,-12462734.000000,-12596933.000000,11644105.000000,-753601.000000,-140898.000000,,-3906398.000000,,21829.000000,,3271866.000000,-753601.000000,10890504.000000,-3163786.000000,7726718.000000,,,7726718.000000,217288.000000,7944006.000000,7726718.000000,6505140.000000,1221578.000000,,7726718.000000,7944007.000000,6694082.000000,1249925.000000,7944007.000000
12M 2017,148890795.000000,-124421379.000000,24469416.000000,-22587024.000000,,-22587024.000000,-22587024.000000,1882392.000000,16383385.000000,-21082.000000,,-5505510.000000,,22478338.000000,,-568361.000000,16383385.000000,18265777.000000,-4472001.000000,13793776.000000,,,13793776.000000,598085.000000,14391861.000000,13793777.000000,11661704.000000,2132073.000000,,13793777.000000,14391861.000000,12054441.000000,2337420.000000,14391861.000000
12M 2018,118108044.000000,-97600789.000000,20507255.000000,-14282428.000000,,-14282428.000000,-14282428.000000,6224827.000000,8843659.000000,28696.000000,,-6593829.000000,,-3542.000000,,15412334.000000,8843659.000000,15068486.000000,-2634608.000000,12433878.000000,,,12433878.000000,143919.000000,12577797.000000,12433878.000000,11431532.000000,1002346.000000,,12433878.000000,12577797.000000,11547186.000000,1030611.000000,12577797.000000
