Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.90,101.90,0.90,101.90,,,,(0 B),3 B
12M 2009,1.68,102.14,1.68,102.14,,,,(4 B),11 B
12M 2010,7.21,113.80,-5.98,-137.14,357 B,273 B,630 B,578 B,(288 B)
12M 2011,4.45,135.66,-4.20,-143.95,289 B,250 B,538 B,499 B,(269 B)
12M 2012,0.97,576.62,2.03,275.89,80 B,515 B,595 B,463 B,73 B
12M 2013,1.30,532.98,2.47,279.68,191 B,513 B,704 B,555 B,2 B
12M 2014,2.22,607.97,3.90,346.34,222 B,239 B,461 B,124 B,(46 B)
12M 2015,0.92,841.74,1.41,551.62,76 B,605 B,681 B,375 B,351 B
12M 2016,0.87,227.27,1.26,156.62,208 B,396 B,604 B,429 B,137 B
12M 2017,1.14,263.56,1.56,192.33,104 B,96 B,200 B,25 B,377 B
12M 2018,1.03,314.51,1.34,241.07,97 B,582 B,679 B,389 B,710 B
12M 2019,0.57,332.68,0.72,262.19,168 B,454 B,622 B,318 B,657 B
12M 2020,0.75,336.81,0.95,265.28,156 B,283 B,439 B,(109 B),560 B
12M 2021,0.53,343.80,0.71,257.04,125 B,"1,411 B","1,536 B",981 B,671 B
12M 2022,2.61,400.61,3.43,304.89,191 B,"1,541 B","1,732 B","1,262 B",493 B
12M 2023,2.98,473.42,3.72,379.13,438 B,"1,661 B","2,099 B","1,561 B",373 B
12M 2024,4.90,554.79,6.07,448.22,390 B,"1,458 B","1,848 B","1,132 B",523 B
