Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Pemegang Saham,Penerimaan Dari Anak Perusahaan,Pembayaran Kas Kepada Pemasok Dan Operasional,Pemasok Dan Lain-Lain,Karyawan,Total Pembayaran Kas Kepada Pemasok Dan Operasional,Penerimaan Bunga,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan Badan,Penerimaan Restitusi Pajak,Penerimaan (Pembayaran) Dari Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Perolehan Aset Tak Berwujud,Perolehan Properti Pertambangan,Pembayaran Uang Muka Proyek,Penurunan (Kenaikan) Uang Muka Penyertaan Saham Dan Proyek,Pengeluaran Kas Untuk Akuisisi Entitas Anak,Pelepasan Entitas Anak,Laba Atas Penjualan Aset Tetap,Penerimaan Dividen,Perolehan Entitas Anak,Penambahan Investasi Pada Entitas Anak,Penambahan Investasi Pada Entitas Asosiasi,Penempatan Kas Di Bank Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Uang Muka Investasi Dan Aset Tetap,Pelepasan (Penambahan) Aset Lain – Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,(Penambahan) Pencairan Kas Direstriksi,Penerimaan Dari (Pembayaran Untuk) Pihak Hubungan Istimewa,Penerimaan Deviden,Pembayaran Deviden,Pembayaran Dividen Kas Entitas Anak Kepada Kepentingan Non Pengendali,Penerimaan Kas Dari Penambahan Modal,Penambahan Modal Hasil Put Ii,Penerimaan (Pembayaran) Utang Promes,Penambahan (Pengurangan) Utang Pihak Berelasi,Pembayaran Deposito,Penerimaan (Pembayaran) Pihak Ketiga,Kenaikan (Penurunan) Piutang Lainnya,Utang Dagang,Penurunan Utang Lainnya,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa,Penerimaan (Pengeluaran) Kas Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penyesuaian Kas Setara Dan Setara Akusisi Entitas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,7472787003.000000,14823022876.000000,,,,-4597699123.000000,-2308402560.000000,-6906101683.000000,-393898036.000000,,-23845300.000000,,-26390854.000000,7472787003.000000,-220408700.000000,,,,,,,,,,,,,,,,-220408700.000000,-220408700.000000,-7862175000.000000,,,,,,,,,,,,-30000000.000000,,,,-7832175000.000000,,,,,-7862175000.000000,,-609796697.000000,908421036.000000,,,298624339.000000
12M 2009,3972338333.000000,13531182472.000000,,,,-6913157539.000000,-2470558764.000000,-9383716303.000000,,,-189685800.000000,,14557964.000000,3972338333.000000,-20440000.000000,,,,,,,,,,,,,,,,-20440000.000000,-20440000.000000,-70000000.000000,,,,,,,,,,,,-70000000.000000,,,,,,,,,-70000000.000000,,3881898333.000000,298624339.000000,,,4180522672.000000
12M 2010,59506211270.000000,810918851499.000000,,,-685093887592.000000,,,-685093887592.000000,229518064.000000,-37087123422.000000,-29945954444.000000,,484807165.000000,59506211270.000000,-170412223549.000000,-359096667.000000,,,,,19062229301.000000,-173864005307.000000,,,,,,,,,-15251350876.000000,-170412223549.000000,158571996670.000000,,,,,,,,,50614853162.000000,,,,,5474635702.000000,106376015777.000000,,-3893507971.000000,,,,158571996670.000000,,47665984391.000000,4180522672.000000,,,51846507063.000000
12M 2011,105182454023.000000,791226849299.000000,,,-630178649704.000000,,,-630178649704.000000,,-49695642597.000000,-16760722542.000000,,10590619567.000000,105182454023.000000,-18209724743.000000,-25477705648.000000,26191912852.000000,,,,-3281226343.000000,-15416715604.000000,,,,,,,,,-225990000.000000,-18209724743.000000,-62730799486.000000,27570092957.000000,,,,,,,,,,,,,,,-87891737900.000000,-2409154543.000000,,,,-62730799486.000000,,24241929794.000000,15522864959.000000,,,39764794753.000000
12M 2012,8921042.000000,115134990.000000,,,-86921407.000000,,,-86921407.000000,,-3404273.000000,-3422272.000000,,-12465996.000000,8921042.000000,-10378968.000000,-1657520.000000,187587.000000,,,,,-9651150.000000,,,,,,,,,742115.000000,-10378968.000000,11463849.000000,,,,,,23761413.000000,,-22850872.000000,987874.000000,,,,,,9551531.000000,,13903.000000,,,,11463849.000000,-780479.000000,9225444.000000,4385178.000000,,,13610622.000000
12M 2013,-2463463.000000,-39728125.000000,,,35723732.000000,,,35723732.000000,,2620554.000000,48265.000000,,-1127889.000000,-2463463.000000,-130854.000000,-150495.000000,,,,,,,,,,,,,,,19641.000000,-130854.000000,6215245.000000,,,,,,,,,9262881.000000,,,,,,,-3033333.000000,-14303.000000,,,,6215245.000000,,3620928.000000,242332.000000,,,3863260.000000
12M 2014,33189197.000000,197653191.000000,,,-159673846.000000,,,-159673846.000000,,-2342910.000000,-2069728.000000,,-377510.000000,33189197.000000,1777129.000000,-1715626.000000,288043.000000,,,,,,3910705.000000,,,,,,,,-705993.000000,1777129.000000,-20091262.000000,,,,,,,,,-3656983.000000,,,-644720.000000,,,,-15741119.000000,-48440.000000,,,,-20091262.000000,,14875064.000000,12176783.000000,,,27051847.000000
12M 2015,-4253571.000000,193540466.000000,,,-190779347.000000,,,-190779347.000000,,-1504717.000000,-2737383.000000,,-2772590.000000,-4253571.000000,-24205948.000000,-1627949.000000,2889386.000000,,,-2316383.000000,-1505260.000000,,,,,,,,,,-21645742.000000,-24205948.000000,23545648.000000,,,,-1538000.000000,,12500000.000000,,,1500117.000000,-1224237.000000,,,,,12373480.000000,,-65712.000000,,,,23545648.000000,,-4913871.000000,27051847.000000,,,22137976.000000
12M 2016,11172405.000000,188117121.000000,,,-170164947.000000,,,-170164947.000000,,-2916776.000000,-3627491.000000,,-235502.000000,11172405.000000,-15813111.000000,-11445366.000000,66921.000000,,,,-101723.000000,,,,,,,,,,-4332943.000000,-15813111.000000,-4509941.000000,,,,-490000.000000,,33492.000000,,,696089.000000,-170301.000000,,,,,12890000.000000,-17359103.000000,-110118.000000,,,,-4509941.000000,,-9150647.000000,22137975.000000,,,12987328.000000
12M 2017,-8483660.000000,140180632.000000,,,-141430914.000000,,,-141430914.000000,,-2505228.000000,-4753711.000000,,25561.000000,-8483660.000000,40747026.000000,-824125.000000,12321.000000,,,,37833165.000000,,,,,,,,,,3725665.000000,40747026.000000,-32399525.000000,,,,-984214.000000,,,,,67806.000000,-916431.000000,,,,,3000000.000000,-33435448.000000,-131238.000000,,,,-32399525.000000,,-136159.000000,12987329.000000,,,12851170.000000
12M 2018,10663035.000000,127698196.000000,,,-106095529.000000,,,-106095529.000000,,-5518400.000000,-5166664.000000,,-254568.000000,10663035.000000,-5493112.000000,-868118.000000,72811.000000,,,,-2310000.000000,,,,,,,,,,-2387805.000000,-5493112.000000,-16433443.000000,,,,-3272191.000000,,2346267.000000,,,-48038953.000000,512089.000000,,,,,40000000.000000,-7867564.000000,-113091.000000,,,,-16433443.000000,,-11263520.000000,12851169.000000,18449206.000000,,20036855.000000
12M 2019,4760366.000000,121126769.000000,,,-111265371.000000,,,-111265371.000000,,-2079304.000000,-4995941.000000,,1974213.000000,4760366.000000,-24084732.000000,-9862675.000000,91755.000000,,,,-12900000.000000,,,,,,,,,,-1413812.000000,-24084732.000000,21122743.000000,,,1371640.000000,-2359526.000000,,,,,23478988.000000,800145.000000,,,,,52806033.000000,-54794625.000000,-179912.000000,,,,21122743.000000,,1798377.000000,20036856.000000,,,21835233.000000
12M 2020,17044963.000000,103586402.000000,,,-83192624.000000,,,-83192624.000000,,-2216429.000000,-1602641.000000,,470255.000000,17044963.000000,-3489894.000000,-1990341.000000,5825.000000,,,,-626224.000000,,,,,,,,,,-879154.000000,-3489894.000000,3370819.000000,,,1477408.000000,-1937338.000000,,,,,17116181.000000,342000.000000,,,,,18340797.000000,-32111361.000000,143132.000000,,,,3370819.000000,,16925888.000000,21835233.000000,45006.000000,,38806127.000000
12M 2021,-3462616.000000,97033281.000000,,,-84549230.000000,,,-84549230.000000,,-5232790.000000,-2628414.000000,930362.000000,-9015825.000000,-3462616.000000,-72465029.000000,-69656452.000000,51434.000000,-85634.000000,,,,,,,2410512.000000,-5026572.000000,,,,,-158317.000000,-72465029.000000,75977817.000000,,,,-1967544.000000,,,,,958560.000000,,,,,,78472530.000000,,-1485729.000000,,,,75977817.000000,,50172.000000,38806124.000000,,,38856296.000000
12M 2022,11788357.000000,122694702.000000,,,-100506262.000000,,,-100506262.000000,,-6486360.000000,-2709529.000000,566139.000000,-1770333.000000,11788357.000000,-14442711.000000,-21462356.000000,36573.000000,-441516.000000,,,,,,,7297517.000000,,-104037.000000,-64033.000000,,,295141.000000,-14442711.000000,-4313840.000000,,,,-1993045.000000,-846849.000000,,,,,,,,,,1811880.000000,,317828.000000,,-3603654.000000,,-4313840.000000,,-6968194.000000,37071296.000000,,,30103102.000000
