Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Ketiga,Total Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Piutang Lain-Lain,Aset Real Estat,Aset Tetap,Aset Tak Berwujud,Properti Pertambangan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Surat Promes,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,298624339.000000,298624339.000000,298624339.000000,2843632304.000000,,2843632304.000000,2843632304.000000,30000000.000000,,,30000000.000000,,1349878529.000000,4522135172.000000,,459741877.000000,,,26895144826.000000,32862264970.000000,,,,6011333334.000000,66228485007.000000,70750620179.000000,,,1042720788.000000,,,866925950.000000,,866925950.000000,95794838.000000,,,,,80000000.000000,,,,,,,,,1042720788.000000,106284233.000000,,,,,,,,,106284233.000000,106284233.000000,1149005021.000000,,67951375000.000000,-81628165.000000,1372252684.000000,40000000.000000,1332252684.000000,1372252684.000000,,359615639.000000,,69601615158.000000,70750620179.000000,679513750.000000
12M 2009,,,4180522672.000000,4180522672.000000,4180522672.000000,6337704292.000000,,6337704292.000000,6337704292.000000,100000000.000000,,,100000000.000000,608300800.000000,122177386.000000,11348705150.000000,,460564959.000000,,,26028345143.000000,27208440862.000000,,,,4995333334.000000,58692684298.000000,70041389448.000000,,,139024542.000000,,,61299250.000000,,61299250.000000,22725292.000000,,,,,55000000.000000,,,,,,,,,139024542.000000,131490567.000000,,,,,,,,,131490567.000000,131490567.000000,270515109.000000,,67951375000.000000,-81628165.000000,1539021431.000000,40000000.000000,1499021431.000000,1539021431.000000,,362106073.000000,,69770874339.000000,70041389448.000000,679513750.000000
12M 2010,,,51846507061.000000,,51846507061.000000,61618417576.000000,,,61618417576.000000,19888383554.000000,19888383554.000000,,19888383554.000000,235044418.000000,37511152249.000000,171099504858.000000,,652637861.000000,,,,528927222558.000000,,,170517033466.000000,46668321483.000000,746765215368.000000,917864720226.000000,,,459390515287.000000,29742917780.000000,,8290765153.000000,,8290765153.000000,22972414519.000000,57362275160.000000,,,57362275160.000000,1897249508.000000,209077493139.000000,,117175790676.000000,,978446630.000000,,118154237306.000000,11893162722.000000,459390515287.000000,285281937357.000000,1009364210.000000,,257288663374.000000,,876287264.000000,,258164950638.000000,14655798204.000000,11451824305.000000,285281937357.000000,744672452644.000000,,67951375000.000000,-81628165.000000,2422819402.000000,40000000.000000,2382819402.000000,2422819402.000000,,95861056486.000000,7038644861.000000,173192267584.000000,917864720228.000000,679513750.000000
12M 2011,,,39764794753.000000,,39764794753.000000,77549174811.000000,6650868827.000000,70898305984.000000,77549174811.000000,7801932873.000000,5577930514.000000,2224002359.000000,7801932873.000000,508860600.000000,28550771645.000000,154175534682.000000,,18587228137.000000,,,,456536995829.000000,,,190002556827.000000,51842654642.000000,716969435435.000000,871144970117.000000,,,423055329871.000000,18738571768.000000,,31621031701.000000,741608244.000000,32362639945.000000,27492430241.000000,,8585493433.000000,40989771975.000000,49575265408.000000,16510687666.000000,205452190946.000000,,62233173136.000000,,2284606801.000000,,64517779937.000000,8405763960.000000,423055329871.000000,265780607922.000000,1052582622.000000,,235343889026.000000,,487628094.000000,,235831517120.000000,13734136384.000000,15162371796.000000,265780607922.000000,688835937793.000000,,67951375000.000000,-81628165.000000,13650891923.000000,40000000.000000,13610891923.000000,13650891923.000000,,90124446510.000000,10663947054.000000,182309032322.000000,871144970115.000000,679513750.000000
12M 2012,,,13610621.000000,,13610621.000000,8664870.000000,1139690.000000,7525180.000000,8664870.000000,2368852.000000,1079126.000000,1289726.000000,2368852.000000,142265.000000,3957998.000000,28744606.000000,,1339262.000000,,,,64113631.000000,,,21132528.000000,21104542.000000,107689963.000000,136434569.000000,,,21232237.000000,463437.000000,,3870124.000000,81783.000000,3951907.000000,4095121.000000,,509181.000000,1908012.000000,2417193.000000,904165.000000,,,7581293.000000,,221092.000000,,7802385.000000,1598029.000000,21232237.000000,55516273.000000,84347.000000,,50594634.000000,,148786.000000,,50743420.000000,2502446.000000,2186060.000000,55516273.000000,76748510.000000,,10575394.000000,21135578.000000,7598259.000000,4049.000000,7594210.000000,7598259.000000,,19166751.000000,1210077.000000,59686059.000000,136434569.000000,679513750.000000
12M 2013,,,12176783.000000,,12176783.000000,7720029.000000,1182101.000000,6537928.000000,7720029.000000,4864132.000000,2286878.000000,2577254.000000,4864132.000000,126520.000000,2827538.000000,27715002.000000,,1254798.000000,,,,56281011.000000,,,21166519.000000,21030771.000000,99733099.000000,127448101.000000,,,27525698.000000,7827507.000000,,4943013.000000,,4943013.000000,2930396.000000,,844461.000000,901279.000000,1745740.000000,616398.000000,,,7640273.000000,,163591.000000,,7803864.000000,1658780.000000,27525698.000000,44357222.000000,4955.000000,,39991555.000000,,126294.000000,,40117849.000000,1940060.000000,2294358.000000,44357222.000000,71882920.000000,,10575394.000000,21135578.000000,13354807.000000,4049.000000,13350758.000000,13354807.000000,,11028782.000000,-529379.000000,55565182.000000,127448102.000000,1019270625.000000
12M 2014,,,27051847.000000,,27051847.000000,5520928.000000,1887849.000000,3633079.000000,5520928.000000,8713385.000000,7993571.000000,719814.000000,8713385.000000,18187.000000,1227446.000000,42531793.000000,,668658.000000,,,,45769644.000000,,,21435629.000000,20840677.000000,88714608.000000,131246401.000000,,,46208796.000000,,,21706033.000000,,21706033.000000,3641861.000000,,489053.000000,453815.000000,942868.000000,151902.000000,,,17765187.000000,,79433.000000,,17844620.000000,1921512.000000,46208796.000000,21510294.000000,,,19122040.000000,,60762.000000,,19182802.000000,,2327492.000000,21510294.000000,67719090.000000,,10575394.000000,21135578.000000,18133308.000000,4049.000000,18129259.000000,18133308.000000,,13716970.000000,-33939.000000,63527311.000000,131246401.000000,1019270625.000000
12M 2015,,,22137976.000000,,22137976.000000,9315096.000000,9013383.000000,301713.000000,9315096.000000,3652017.000000,2352149.000000,1299868.000000,3652017.000000,7319635.000000,4252222.000000,46676946.000000,,822928.000000,,,,40228592.000000,,,21435629.000000,42204953.000000,104692102.000000,151369048.000000,,,21254253.000000,,,8415448.000000,,8415448.000000,5888273.000000,,32010.000000,254623.000000,286633.000000,122135.000000,,,5470520.000000,,2719.000000,,5473239.000000,1068525.000000,21254253.000000,46143409.000000,,,43790187.000000,,71764.000000,,43861951.000000,,2281458.000000,46143409.000000,67397662.000000,,10575394.000000,21135578.000000,24204086.000000,4049.000000,24200037.000000,24204086.000000,,21778095.000000,6278234.000000,83971387.000000,151369049.000000,1019270625.000000
12M 2016,,,12987329.000000,,12987329.000000,9301750.000000,450062.000000,8851688.000000,9301750.000000,3649756.000000,616185.000000,3033571.000000,3649756.000000,3864682.000000,2940386.000000,32743903.000000,,627401.000000,,,,66837899.000000,,,21435629.000000,23579581.000000,112480510.000000,145224413.000000,,,22537828.000000,,,4850392.000000,,4850392.000000,872997.000000,,,501175.000000,501175.000000,197332.000000,,,15417544.000000,,45744.000000,,15463288.000000,652644.000000,22537828.000000,31195226.000000,,,29374059.000000,,110982.000000,,29485041.000000,,1710185.000000,31195226.000000,53733054.000000,,10575394.000000,21267721.000000,30652224.000000,4049.000000,30648175.000000,30652224.000000,,22528844.000000,6467176.000000,91491359.000000,145224413.000000,4077082500.000000
12M 2017,,,12851169.000000,,12851169.000000,19360998.000000,337299.000000,19023699.000000,19360998.000000,6469182.000000,548378.000000,5920804.000000,6469182.000000,7327321.000000,3487197.000000,49495867.000000,,936048.000000,,,,61014254.000000,,,21435629.000000,17615989.000000,101001920.000000,150497787.000000,,,21667676.000000,,,9104574.000000,,9104574.000000,2543484.000000,,,255429.000000,255429.000000,218695.000000,,,7499937.000000,,154744.000000,,7654681.000000,1890813.000000,21667676.000000,8602054.000000,,,6856219.000000,,221019.000000,,7077238.000000,,1524816.000000,8602054.000000,30269730.000000,,10575394.000000,21258382.000000,41098797.000000,4049.000000,41094748.000000,41098797.000000,,40913120.000000,6382364.000000,120228057.000000,150497787.000000,4077082500.000000
