Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Pembayaran Beban Usaha,Pembayaran Pajak,Pembayaran Beban Keuangan,Penerimaan Taksiran Tagihan Pengembalian Pajak,Penerimaan Dari Pendapatan Bunga,Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Investasi Pada Entitas Asosiasi,Penambahan Uang Muka Pembelian Aset Tetap,Penambahan Uang Muka Pembelian Aset Tidak Lancar Lainnya,Perolehan Aset Takberwujud,Penambahan Uang Muka Pembelian Aset Takberwujud,Perolehan Aset Hak-Guna,Penambahan Uang Jaminan,Penambahan Aset Tidak Lancar Lainnya,Hasil Penjualan Aset Tetap,Kas Yang Diperoleh Dari Akuisisi Entitas Anak,Penerimaan Dividen Kas,Penambahan Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Perolehan Dari Penawaran Umum Setelah Dikurangi Biaya Eimisi Efek Ekuitas,Pembayaran Pinjaman Bank,Setoran Modal Saham,Penerimaan Piutang Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Kenaikan (Penurunan) Piutang Pihak Berelasi,Pembayaran Pokok Atas Liabilitas Sewa,Pembayaran Biaya Keuangan,Penambahan Utang Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penambahan Utang Bank,Pembayaran Dari Utang Pembelian Aset Tidak Lancar Lainnya,Pembayaran Dividen,Penambahan Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Dari Pelepasan Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,2178314555.000000,768984703867.000000,-583268789069.000000,-66139519502.000000,-111790938502.000000,2104736868.000000,-13957331460.000000,,93958517.000000,6151493836.000000,,2178314555.000000,-68755134283.000000,-64115042386.000000,,,,,,,-2078451912.000000,-2561639985.000000,,,,,-68755134283.000000,68376565308.000000,,-22052707863.000000,75000000000.000000,,,-8788005841.000000,,,,-2735308853.000000,27974714389.000000,-1022126524.000000,,,68376565308.000000,1799745580.000000,12716024117.000000,,,14515769697.000000
12M 2012,31710937244.000000,1085857236862.000000,-821527086013.000000,-82487929255.000000,-139349172763.000000,-12408493627.000000,-7868976979.000000,,2885518820.000000,6609840199.000000,,31710937244.000000,-38487642557.000000,-35977464996.000000,,,,,,,-2027144815.000000,-1488032746.000000,1005000000.000000,,,,-38487642557.000000,108819472560.000000,118457920112.000000,-31657161884.000000,31289750000.000000,12200000000.000000,-11171607092.000000,-7972192536.000000,,,,-2327236040.000000,,,,,108819472560.000000,102042767247.000000,14515769697.000000,,,116558536944.000000
12M 2013,51483477656.000000,1305356465529.000000,-967400445486.000000,-113066082709.000000,-168430028702.000000,-16293459751.000000,-6028459326.000000,,3513279708.000000,13832208393.000000,,51483477656.000000,-114933543987.000000,-103492143904.000000,,,,,,,-1585298385.000000,-10202514923.000000,27214604.000000,319198621.000000,,,-114933543987.000000,13570488165.000000,,,,1947648276.000000,,,,,,-2144291977.000000,19242838116.000000,,-5475706250.000000,,13570488165.000000,-49879578166.000000,116558536944.000000,,,66678958778.000000
12M 2014,100202235747.000000,1657548631595.000000,-1174038248850.000000,-146469831394.000000,-230803667010.000000,-8679046145.000000,-9476519161.000000,,1382705942.000000,10738210770.000000,,100202235747.000000,-122287447274.000000,-120694977919.000000,,,,,,,-286686792.000000,-3291570302.000000,1985787739.000000,,,,-122287447274.000000,42179440394.000000,,-20423828556.000000,,-1629528824.000000,,,,,,-3267202226.000000,67500000000.000000,,,,42179440394.000000,20094228867.000000,66678958778.000000,,,86773187645.000000
12M 2015,61626051712.000000,1922932185918.000000,-1453539197273.000000,-163397240087.000000,-248873767512.000000,-3489309618.000000,-9983216962.000000,,1346321188.000000,16630276058.000000,,61626051712.000000,-30354763477.000000,-35493393599.000000,,,,,,,-2467723447.000000,-6635303587.000000,14241657156.000000,,,,-30354763477.000000,-29010778856.000000,,-64858344408.000000,10020000000.000000,3318765108.000000,,,,,,-1491199556.000000,24000000000.000000,,,,-29010778856.000000,2260509379.000000,86773187645.000000,-1044031968.000000,,87989665056.000000
12M 2016,98260131740.000000,2074220069390.000000,-1558343195693.000000,-167605350674.000000,-277589633659.000000,-2305956096.000000,-4801511589.000000,,1399258727.000000,33286451334.000000,,98260131740.000000,-37123965013.000000,-31974462556.000000,,,,,,,-1779231900.000000,-3961970557.000000,591700000.000000,,,,-37123965013.000000,-48091276166.000000,,-54416108077.000000,2000000000.000000,-129294864.000000,,,,,,-45873225.000000,4500000000.000000,,,,-48091276166.000000,13044890561.000000,87989665056.000000,,327603077.000000,101362158694.000000
12M 2017,129121141743.000000,2198912584348.000000,-1605097311210.000000,-189088646930.000000,-287797734413.000000,-14543924321.000000,-1243396904.000000,,3366598934.000000,24612972239.000000,,129121141743.000000,-45901684797.000000,-41941365512.000000,,,,,,,-405932063.000000,-3559780022.000000,5392800.000000,,,,-45901684797.000000,-17842593842.000000,,-21500000000.000000,2000000000.000000,4479843658.000000,,,,,,,5000000000.000000,,-7822437500.000000,,-17842593842.000000,65376863104.000000,101362158694.000000,,,166739021798.000000
12M 2018,183156837562.000000,2381254742607.000000,-1696047365473.000000,-209624222928.000000,-310497579666.000000,-12778039832.000000,-192899304.000000,,6751613711.000000,24290588447.000000,,183156837562.000000,-89592778105.000000,-82151316681.000000,,,,,,,-1722876705.000000,-13955159719.000000,7436575000.000000,,800000000.000000,,-89592778105.000000,-13909290398.000000,,-7500000000.000000,,-1086852898.000000,,,,,,,2500000000.000000,,-7822437500.000000,,-13909290398.000000,79654769059.000000,166739021798.000000,,,246393790857.000000
12M 2019,84774223458.000000,2417821250574.000000,-1794365373904.000000,-246324661798.000000,-337787786540.000000,-10471295767.000000,,,10762644521.000000,45139446372.000000,,84774223458.000000,-63032890481.000000,-17423903934.000000,,-42803880103.000000,-1076490625.000000,,,,-1537920099.000000,-2339695720.000000,149000000.000000,,2000000000.000000,,-63032890481.000000,-8834698128.000000,,,2400000000.000000,-283285628.000000,,,,,,,,,-10951412500.000000,,-8834698128.000000,12906634849.000000,246393790857.000000,,,259300425706.000000
12M 2020,271834270955.000000,3011174611864.000000,-2161362944640.000000,-284695649615.000000,-309738150790.000000,-8333866195.000000,-21132420252.000000,,10623702518.000000,35298988065.000000,,271834270955.000000,-164891111048.000000,-40987315899.000000,,-102676031642.000000,-2786781848.000000,,,-5582728433.000000,-6052076462.000000,-7952458764.000000,1146282000.000000,,,,-164891111048.000000,-84283640088.000000,,,,516585653.000000,,,-40994575741.000000,,,,,,-43805650000.000000,,-84283640088.000000,22659519819.000000,259300425706.000000,,,281959945525.000000
