Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,890353234160.000000,-652970355707.000000,237382878453.000000,-194285899581.000000,-121842492798.000000,-78630461374.000000,6187054591.000000,-194285899581.000000,43096978872.000000,-14969057661.000000,-14374185443.000000,,-14374185443.000000,189581956.000000,-784454174.000000,,-14969057661.000000,28127921211.000000,-6191826060.000000,-5762536076.000000,-429289984.000000,-6191826060.000000,21936095151.000000,-375411.000000,,-375411.000000,21935719740.000000,21936095151.000000,21936095151.000000,,21936095151.000000,21935719740.000000,21935719740.000000,,21935719740.000000
12M 2012,1076914724879.000000,-796011125885.000000,280903598994.000000,-229255796173.000000,-140996806725.000000,-103037958213.000000,14778968765.000000,-229255796173.000000,51647802821.000000,-5314438982.000000,-7984645386.000000,,-7984645386.000000,2885518820.000000,-215312416.000000,,-5314438982.000000,46333363839.000000,-9873617301.000000,-10760312000.000000,886694699.000000,-9873617301.000000,36459746538.000000,,,,36459746538.000000,36459746538.000000,36459746538.000000,,36459746538.000000,36459746538.000000,36459746538.000000,,36459746538.000000
12M 2013,1303078961447.000000,-962197198441.000000,340881763006.000000,-295820800269.000000,-180382388569.000000,-132106946767.000000,16668535067.000000,-295820800269.000000,45060962737.000000,-2184498662.000000,-6410696282.000000,,-6410696282.000000,3513279708.000000,712917912.000000,,-2184498662.000000,42876464075.000000,-9605926187.000000,-10230691250.000000,624765063.000000,-9605926187.000000,33270537888.000000,,,,33270537888.000000,33270537888.000000,35108497637.000000,-1837959749.000000,33270537888.000000,33270537888.000000,35108497637.000000,-1837959749.000000,33270537888.000000
12M 2014,1646583614868.000000,-1217942231372.000000,428641383496.000000,-405645288516.000000,-225676405155.000000,-197094433917.000000,17125550556.000000,-405645288516.000000,22996094980.000000,-7200841295.000000,-9440368974.000000,,-9440368974.000000,1382705942.000000,856821737.000000,,-7200841295.000000,15795253685.000000,-6375522061.000000,-7057103000.000000,681580939.000000,-6375522061.000000,9419731624.000000,,,,9419731624.000000,9419731624.000000,15158066158.000000,-5738334534.000000,9419731624.000000,9419731624.000000,15158066158.000000,-5738334534.000000,9419731624.000000
12M 2015,1915698999785.000000,-1448747531253.000000,466951468532.000000,-482093188885.000000,-275291157614.000000,-208719473148.000000,1917441877.000000,-482093188885.000000,-15141720353.000000,-7255955429.000000,-9970027999.000000,,-9970027999.000000,1346321188.000000,1367751382.000000,,-7255955429.000000,-22397675782.000000,2189649572.000000,,2189649572.000000,2189649572.000000,-20208026210.000000,1665600794.000000,1665600794.000000,1665600794.000000,-18542425416.000000,-20208026210.000000,-17164331920.000000,-3043694290.000000,-20208026210.000000,-18542425416.000000,-15585146541.000000,-2957278875.000000,-18542425416.000000
12M 2016,2063982006646.000000,-1556167984458.000000,507814022188.000000,-456643712592.000000,-284212694104.000000,-205876794758.000000,33445776270.000000,-456643712592.000000,51170309596.000000,-1462458394.000000,-4592902778.000000,,-4592902778.000000,1399258727.000000,1731185657.000000,,-1462458394.000000,49707851202.000000,-10153439357.000000,-11070297500.000000,916858143.000000,-10153439357.000000,39554411845.000000,2062511786.000000,2062511786.000000,2062511786.000000,41616923631.000000,39554411845.000000,40728280530.000000,-1173868685.000000,39554411845.000000,41616923631.000000,42820202876.000000,-1203279245.000000,41616923631.000000
12M 2017,2189573735873.000000,-1648440933291.000000,541132802582.000000,-497908281393.000000,-315974567851.000000,-218775001162.000000,36841287620.000000,-497908281393.000000,43224521189.000000,3885305199.000000,-1123232092.000000,,-1123232092.000000,3366598934.000000,1641938357.000000,,3885305199.000000,47109826388.000000,-9424241390.000000,-10048121750.000000,623880360.000000,-9424241390.000000,37685584998.000000,-2378405350.000000,-2378405350.000000,-2378405350.000000,35307179648.000000,37685584998.000000,39277118065.000000,-1591533067.000000,37685584998.000000,35307179648.000000,36756499587.000000,-1449319939.000000,35307179648.000000
12M 2018,2355625271907.000000,-1760399334375.000000,595225937532.000000,-544384231941.000000,-350121343001.000000,-234627546530.000000,40364657590.000000,-544384231941.000000,50841705591.000000,9035549732.000000,-187282866.000000,,-187282866.000000,6751613711.000000,2471218887.000000,,9035549732.000000,59877255323.000000,-9910270579.000000,-10771416750.000000,861146171.000000,-9910270579.000000,49966984744.000000,1296769812.000000,1296769812.000000,1296769812.000000,51263754556.000000,49966984744.000000,50823153085.000000,-856168341.000000,49966984744.000000,51263754556.000000,52047286583.000000,-783532027.000000,51263754556.000000
12M 2019,2397792415330.000000,-1748429029000.000000,649363386330.000000,-598967530487.000000,-382756148310.000000,-266706597134.000000,50495214957.000000,-598967530487.000000,50395855843.000000,13642551106.000000,,,,10874518937.000000,2768032169.000000,,13642551106.000000,64038406949.000000,-8573972698.000000,-10064111250.000000,1490138552.000000,-8573972698.000000,55464434251.000000,-3153811447.000000,-3153811447.000000,-3153811447.000000,52310622804.000000,55464434251.000000,56339859609.000000,-875425358.000000,55464434251.000000,52310622804.000000,53152534564.000000,-841911760.000000,52310622804.000000
12M 2020,3011422750334.000000,-2225048462226.000000,786374288108.000000,-683992574425.000000,-428548630896.000000,-295584403379.000000,40140459850.000000,-683992574425.000000,102381713683.000000,-8097344584.000000,-21132420252.000000,,-21132420252.000000,10479063357.000000,2556012311.000000,,-8097344584.000000,94284369099.000000,-18281679641.000000,-17565454500.000000,-716225141.000000,-18281679641.000000,76002689458.000000,-6544835813.000000,-6544835813.000000,-6544835813.000000,69457853645.000000,76002689458.000000,75065288363.000000,937401095.000000,76002689458.000000,69457853645.000000,68474277280.000000,983576365.000000,69457853645.000000
