Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.00,1383042.05,0.00,1383042.05,45 B,36 B,81 B,66 B,33 B
12M 2012,3.48,229.66,3.48,229.66,24 B,26 B,50 B,(67 B),205 B
12M 2013,2.65,248.61,2.69,245.64,55 B,15 B,70 B,3 B,165 B
12M 2014,1.72,258.29,1.74,255.33,75 B,38 B,114 B,27 B,97 B
12M 2015,1.38,246.77,1.38,246.77,67 B,4 B,71 B,(17 B),99 B
12M 2016,1.93,274.14,1.93,274.14,22 B,,22 B,(80 B),151 B
12M 2017,1.13,292.63,1.13,292.63,5 B,,5 B,(162 B),181 B
12M 2018,0.98,320.90,0.98,320.90,,,,(246 B),196 B
12M 2019,0.96,347.87,0.96,347.87,,,,(259 B),241 B
12M 2020,1.26,345.31,1.26,345.31,,,,(282 B),113 B
12M 2021,5.60,321.49,5.60,321.49,50 B,,50 B,(75 B),(62 B)
12M 2022,3.02,269.85,3.02,269.85,80 B,,80 B,(22 B),(101 B)
12M 2023,3.55,188.96,3.69,181.73,120 B,,120 B,(3 B),(144 B)
12M 2024,2.30,204.01,2.38,197.41,60 B,,60 B,(46 B),(66 B)
