Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Properti Investasi,Investasi Jangka Panjang,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Pembiayaan Konsumen,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,540094672.000000,1078673281.000000,,,,,53959854.000000,,,53959854.000000,3125998172.000000,797328592.000000,5596054571.000000,,,,,2120529045.000000,,,26532101.000000,,2147061146.000000,7743115717.000000,,,3408703450.000000,1333072893.000000,,,1333072893.000000,,,,,93152147.000000,,,,,,,,1982478410.000000,3408703450.000000,105758785.000000,,,,,,,,,,,105758785.000000,105758785.000000,3514462235.000000,,4840000000.000000,,-543016384.000000,,-543016384.000000,-543016384.000000,-68330134.000000,4228653482.000000,7743115717.000000,9680.000000
12M 2020,,,13870729155.000000,,2979805571.000000,,,2979805571.000000,1270850000.000000,,,1270850000.000000,1956048093.000000,1159077654.000000,21236510473.000000,,,,,9564066818.000000,,,84671989.000000,,9648738807.000000,30885249280.000000,,,17476352799.000000,2134682586.000000,,,2134682586.000000,,,2100000000.000000,2100000000.000000,11804410758.000000,,116024000.000000,,,,,,1321235455.000000,17476352799.000000,381117266.000000,,,,,,,,,,,381117266.000000,381117266.000000,17857470065.000000,,4840000000.000000,,8419428147.000000,,8419428147.000000,8419428147.000000,-231648932.000000,13027779215.000000,30885249280.000000,9680.000000
12M 2021,,,1401498537.000000,,2097776601.000000,,,2097776601.000000,1091850000.000000,,,1091850000.000000,9145655299.000000,1158095874.000000,14894876311.000000,,,,,35040349675.000000,,,45578356.000000,,35085928031.000000,49980804342.000000,,,7795123712.000000,2431130194.000000,,,2431130194.000000,,362119284.000000,,362119284.000000,2634396204.000000,,88304504.000000,1938697162.000000,,,,,340476364.000000,7795123712.000000,9722243781.000000,,,,,,,,,9261302838.000000,,460940943.000000,9722243781.000000,17517367493.000000,,25000000000.000000,,7690774536.000000,987779213.000000,6702995323.000000,7690774536.000000,-227337687.000000,32463436849.000000,49980804342.000000,50000.000000
12M 2022,,,5361820802.000000,,532668792.000000,,,532668792.000000,968350000.000000,,,968350000.000000,7340014095.000000,23187645570.000000,37390499259.000000,,,,,43523308734.000000,,,13612940.000000,,43536921674.000000,80927420933.000000,,,4142904876.000000,1626761724.000000,,,1626761724.000000,,265500.000000,,265500.000000,162855183.000000,,274176732.000000,2078845737.000000,,,,,,4142904876.000000,7997221913.000000,,,,,499121214.000000,,,499121214.000000,7182457101.000000,,315643598.000000,7997221913.000000,12140126789.000000,,31250000000.000000,29867355456.000000,7927836505.000000,1000000000.000000,6927836505.000000,7927836505.000000,-257897817.000000,68787294144.000000,80927420933.000000,1562500000.000000
12M 2023,,,665569697.000000,,5420262622.000000,,,5420262622.000000,865471000.000000,,,865471000.000000,8490096438.000000,8079172630.000000,23520572387.000000,,,,,52111467275.000000,1445331242.000000,,47835898.000000,,53604634415.000000,77125206802.000000,,,6330238325.000000,875379126.000000,,,875379126.000000,,844407001.000000,,844407001.000000,108785618.000000,,432049503.000000,2229125663.000000,,,20250000.000000,20250000.000000,1820241414.000000,6330238325.000000,5639180034.000000,,,,,356439742.000000,,,356439742.000000,4953331438.000000,,329408854.000000,5639180034.000000,11969418359.000000,,31250000000.000000,29867355456.000000,4357358952.000000,1000000000.000000,3357358952.000000,4357358952.000000,-318925965.000000,65155788443.000000,77125206802.000000,1562500000.000000
12M 2024,,,232087437.000000,,3944082707.000000,,,3944082707.000000,783500000.000000,,,783500000.000000,11256165044.000000,230915602.000000,16446750790.000000,,,,,47270520875.000000,1369261178.000000,,219911233.000000,,48859693286.000000,65306444076.000000,,,5717588878.000000,837674810.000000,,,837674810.000000,,641036283.000000,,641036283.000000,183058657.000000,,236619893.000000,2390269337.000000,,,,,1428929898.000000,5717588878.000000,2972107632.000000,,,,,,,,,2566984675.000000,,405122957.000000,2972107632.000000,8689696510.000000,,31250000000.000000,29867355456.000000,-4176192333.000000,1000000000.000000,-5176192333.000000,-4176192333.000000,-324415557.000000,56616747566.000000,65306444076.000000,1562500000.000000
