Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,12021690811.000000,-8788294003.000000,3233396808.000000,-2812033995.000000,-2621013632.000000,-191020363.000000,-2812033995.000000,421362813.000000,-672230.000000,626224.000000,-1298454.000000,,-672230.000000,420690583.000000,-112275525.000000,-116030915.000000,3755390.000000,-112275525.000000,308415058.000000,-68330134.000000,240084924.000000,308415058.000000,308415058.000000,,308415058.000000,240084924.000000,240084924.000000,,240084924.000000
12M 2020,87789923185.000000,-27861513036.000000,59928410149.000000,-11289096584.000000,-10254152292.000000,-1034944292.000000,-11289096584.000000,48639313565.000000,50219395.000000,23007960.000000,-10099594.000000,37311029.000000,50219395.000000,48689532960.000000,-10727088429.000000,-10739164040.000000,12075611.000000,-10727088429.000000,37962444531.000000,-163318798.000000,37799125733.000000,37962444531.000000,37962444531.000000,,37962444531.000000,37799125733.000000,37799125733.000000,,37799125733.000000
12M 2021,75789667308.000000,-20460954742.000000,55328712566.000000,-21264808805.000000,-13338949327.000000,-7925859478.000000,-21264808805.000000,34063903761.000000,63698009.000000,233162342.000000,-180418835.000000,10954502.000000,63698009.000000,34127601770.000000,-7496255381.000000,-7458377740.000000,-37877641.000000,-7496255381.000000,26631346389.000000,4311245.000000,26635657634.000000,26631346389.000000,26631346389.000000,,26631346389.000000,26635657634.000000,26635657634.000000,,26635657634.000000
12M 2022,37737427825.000000,-16234556324.000000,21502871501.000000,-16949573583.000000,-13586561018.000000,-3363012565.000000,-16949573583.000000,4553297918.000000,-3956982097.000000,24420716.000000,-759202163.000000,-3222200650.000000,-3956982097.000000,596315821.000000,-359253852.000000,-318668912.000000,-40584940.000000,-359253852.000000,237061969.000000,-30560130.000000,206501839.000000,237061969.000000,237061969.000000,,237061969.000000,206501839.000000,206501839.000000,,206501839.000000
12M 2023,22723317500.000000,-10182712099.000000,12540605401.000000,-15143644352.000000,-13197698122.000000,-1945946230.000000,-15143644352.000000,-2603038951.000000,-984448493.000000,2845905.000000,-663423213.000000,-323871185.000000,-984448493.000000,-3587487444.000000,17009891.000000,,17009891.000000,17009891.000000,-3570477553.000000,-61028148.000000,-3631505701.000000,-3570477553.000000,-3570477553.000000,,-3570477553.000000,-3631505701.000000,-3631505701.000000,,-3631505701.000000
12M 2024,6391014240.000000,-5540481038.000000,850533202.000000,-9524099890.000000,-8220174256.000000,-1303925634.000000,-9524099890.000000,-8673566688.000000,399962109.000000,816486.000000,-482402179.000000,881547802.000000,399962109.000000,-8273604579.000000,-259946706.000000,-430473694.000000,170526988.000000,-259946706.000000,-8533551285.000000,-5489592.000000,-8539040877.000000,-8533551285.000000,-8533551285.000000,,-8533551285.000000,-8539040877.000000,-8539040877.000000,,-8539040877.000000
