Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Operasional Lainnya,Pembayaran Aset Lancar Lainnya,Penerimaan Pengembalian Uang Muka Dari Pemasok,Pembayaran Liabilitas Jangka Pendek Lainnya,Pembayaran Biaya Bunga,Penerimaan Pendapatan Bunga,Penerimaan Restitusi Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Pembayaran Uang Muka Perolehan Aset,Pembayaran Uang Muka Emisi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Peningkatan Modal Disetor,Penerimaan Tambahan Modal Disetor,Pembayaran Biaya Emisi Saham,Penerimaan (Pembayaran) Utang Lain-Lain Pihak Berelasi,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Bank,Penerimaan Utang Bank,Pembayaran Dividen Kas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-2608460468.000000,14202269305.000000,-10328772005.000000,-6380731825.000000,,,,-1298454.000000,626224.000000,,-100553713.000000,-2608460468.000000,-863714886.000000,-84808000.000000,,-778906886.000000,,-863714886.000000,3823017288.000000,3840000000.000000,,,,,-16982712.000000,,,,3823017288.000000,350841934.000000,189252738.000000,540094672.000000
12M 2020,48680826323.000000,85227547940.000000,-25889953263.000000,-10500583799.000000,,,,-10099594.000000,23007960.000000,,-169092921.000000,48680826323.000000,-7375745840.000000,-4894307590.000000,,-2481438250.000000,,-7375745840.000000,-27974446000.000000,,,,1100000000.000000,,-74446000.000000,,,-29000000000.000000,-27974446000.000000,13330634483.000000,540094672.000000,13870729155.000000
12M 2021,13483913207.000000,75690937187.000000,-27354114340.000000,-18502614449.000000,,,,-180418835.000000,233162342.000000,,-16403038698.000000,13483913207.000000,-27719450825.000000,-26594201204.000000,1000000.000000,-413749621.000000,-712500000.000000,-27719450825.000000,1766307000.000000,,,,-2100000000.000000,,-133693000.000000,,11200000000.000000,-7200000000.000000,1766307000.000000,-12469230618.000000,13870729155.000000,1401498537.000000
12M 2022,-13023419188.000000,38962059270.000000,-27833225655.000000,-21445966203.000000,,,,-759202163.000000,24420716.000000,,-1971505153.000000,-13023419188.000000,-17728055293.000000,-10649803157.000000,243243243.000000,-7321495379.000000,,-17728055293.000000,34711796746.000000,6250000000.000000,30579855456.000000,,,,-179361548.000000,-1938697162.000000,,,34711796746.000000,3960322265.000000,1401498537.000000,5361820802.000000
12M 2023,3152148563.000000,19655965084.000000,-4587691389.000000,-11255547824.000000,,,,-663423213.000000,2845905.000000,,,3152148563.000000,-6087837620.000000,-6084062620.000000,,-3775000.000000,,-6087837620.000000,-1760562048.000000,,,,725000000.000000,,-406716311.000000,-2078845737.000000,,,-1760562048.000000,-4696251105.000000,5361820802.000000,665569697.000000
12M 2024,2229996532.000000,7475882639.000000,-8720255382.000000,-3355364093.000000,,5023955990.000000,,-482402179.000000,816486.000000,2299954047.000000,-12590976.000000,2229996532.000000,361093649.000000,-275843289.000000,636936938.000000,,,361093649.000000,-3024572441.000000,,,,-247500000.000000,,-551869352.000000,-2225203089.000000,,,-3024572441.000000,-433482260.000000,665569697.000000,232087437.000000
