Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,4.99,3.58,0.0,1.37,0.0,0.0,-0.27,0.0,0.37
12M 2020,1.48,1.22,0.0,1.88,0.0,0.0,-0.2,0.0,0.88
12M 2021,3.01,2.22,0.14,1.18,0.0,0.0,0.12,0.12,0.18
12M 2022,6.03,2.4,0.09,1.11,0.0,0.0,0.02,0.08,0.11
12M 2023,6.41,4.64,0.15,1.17,0.0,0.0,0.04,0.12,0.17
12M 2024,7.31,5.86,0.13,1.16,0.0,0.0,0.03,0.11,0.16
