Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,342028679.000000,895000000.000000,895000000.000000,,895000000.000000,,,,,487612409.000000,,1724641088.000000,,,,,,,,,,,1724641088.000000,,,345896074.000000,,258092614.000000,,258092614.000000,50000000.000000,,15095651.000000,,15095651.000000,22707809.000000,,,,,,345896074.000000,117591464.000000,,,,117591464.000000,117591464.000000,463487538.000000,,1000000000.000000,,261153550.000000,,261153550.000000,261153550.000000,,1261153550.000000,1724641088.000000,1000.000000
12M 2020,,,1210751439.000000,5080547998.000000,80547998.000000,5000000000.000000,5080547998.000000,,,,,1336426875.000000,,7627726312.000000,,,,,,,,,3853000000.000000,3853000000.000000,11480726312.000000,,,5142744950.000000,,230000000.000000,353052130.000000,583052130.000000,125000000.000000,,4269412440.000000,,4269412440.000000,165280380.000000,,,,,,5142744950.000000,218749849.000000,,,,218749849.000000,218749849.000000,5361494799.000000,,1000000000.000000,,5048498090.000000,,5048498090.000000,5048498090.000000,70733423.000000,6119231513.000000,11480726312.000000,100000.000000
12M 2021,,,1409203778.000000,9241692853.000000,,9241692853.000000,9241692853.000000,,,,,7183113726.000000,9541093024.000000,27375103381.000000,,26538073656.000000,30942135750.000000,,,,,255717196.000000,,57735926602.000000,85111029983.000000,,,9080364569.000000,,,,,,,,,,1677485671.000000,6705337364.000000,,697541534.000000,697541534.000000,,9080364569.000000,3701945628.000000,,2837179584.000000,2837179584.000000,864766044.000000,3701945628.000000,12782310197.000000,,65000000000.000000,,7463441647.000000,,7463441647.000000,7463441647.000000,-134721861.000000,72328719786.000000,85111029983.000000,1300000000.000000
12M 2022,,,10169463881.000000,12002495725.000000,,12002495725.000000,12002495725.000000,,,,,48465444417.000000,9839829401.000000,80477233424.000000,,44490924814.000000,33088316750.000000,,,,,225713202.000000,,77804954766.000000,158282188190.000000,,,13342041854.000000,,,48200528.000000,48200528.000000,448433430.000000,,,,,1312709078.000000,11532698818.000000,,,,,13342041854.000000,2306199898.000000,,1648306432.000000,1648306432.000000,657893466.000000,2306199898.000000,15648241752.000000,,100000000000.000000,27300000000.000000,15093030311.000000,,,15093030311.000000,240916127.000000,142633946438.000000,158282188190.000000,2000000000.000000
12M 2023,,,15551807284.000000,42069730105.000000,,42069730105.000000,42069730105.000000,2137330000.000000,,,2137330000.000000,26131085285.000000,9029644939.000000,94919597613.000000,,49019686491.000000,32904497750.000000,,,,,259566702.000000,110000000.000000,82293750943.000000,177213348556.000000,,,14809963745.000000,,,1321197535.000000,1321197535.000000,527017237.000000,,,,,1199444823.000000,11244122332.000000,,,,518181818.000000,14809963745.000000,11559438883.000000,,10822916663.000000,10822916663.000000,736522220.000000,11559438883.000000,26369402628.000000,,100000000000.000000,29221513766.000000,21614341458.000000,,21614341458.000000,21614341458.000000,8090704.000000,150843945928.000000,177213348556.000000,2000000000.000000
12M 2024,,,14170609490.000000,64620849668.000000,,64620849668.000000,64620849668.000000,,,,,20890369099.000000,5735591659.000000,105417419916.000000,,42472291124.000000,32720678750.000000,,,,,291142131.000000,110000000.000000,75594112005.000000,181011531921.000000,,,14418529869.000000,,,2258600000.000000,2258600000.000000,164300000.000000,,,,,2231847499.000000,9591055097.000000,,,,172727273.000000,14418529869.000000,10650688764.000000,,9947916659.000000,9947916659.000000,702772105.000000,10650688764.000000,25069218633.000000,,100000000000.000000,29221513766.000000,26712708818.000000,,26712708818.000000,26712708818.000000,8090704.000000,155942313288.000000,181011531921.000000,2000000000.000000
