Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Dari Pendapatan Sewa,Penerimaan Penghasilan Keuangan,Pembayaran Beban Keuangan,Penerimaan (Pembayaran) Pajak Penghasilan,Penerimaan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Atas Aset Tetap,Penambahan Properti Investasi,Penambahan Aset Dalam Proses,Penambahan Piutang Peternak,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Setoran Modal,Tambahan Modal Disetor,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Utang Bank,Pembayaran Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,-673066972.000000,3646561817.000000,-4269878789.000000,-49750000.000000,,,,,,-673066972.000000,,,,,,,,,,1015095651.000000,1000000000.000000,,15095651.000000,,,,1015095651.000000,342028679.000000,,342028679.000000
12M 2020,467405971.000000,18710443517.000000,-18059554686.000000,-183750000.000000,,267140.000000,,,,467405971.000000,-3853000000.000000,,,,,-3853000000.000000,,,-3853000000.000000,4254316789.000000,,,4254316789.000000,,,,4254316789.000000,868722760.000000,342028679.000000,1210751439.000000
12M 2021,-636322179.000000,77794576938.000000,-76402826770.000000,-1481325190.000000,981818182.000000,1954305.000000,-1365239264.000000,-165280380.000000,,-636322179.000000,-9135871524.000000,-2135871524.000000,,,,-7000000000.000000,7200000000.000000,-7200000000.000000,-9135871524.000000,9970646042.000000,,,,-269412440.000000,10655700268.000000,-415641786.000000,9970646042.000000,198452339.000000,1210751439.000000,1409203778.000000
12M 2022,-35404329763.000000,134575877410.000000,-164874510141.000000,-2506333430.000000,184093221.000000,,-848166147.000000,-1935290676.000000,,-35404329763.000000,-21076356902.000000,-1712161900.000000,,-2330000000.000000,-17034195002.000000,,,,-21076356902.000000,65240946768.000000,35000000000.000000,27300000000.000000,,,4129819920.000000,-1188873152.000000,65240946768.000000,8760260103.000000,1409203778.000000,10169463881.000000
12M 2023,685878439.000000,75276104073.000000,-67913983246.000000,-2679670000.000000,-1093012484.000000,,-1465678301.000000,-1437881603.000000,,685878439.000000,-4789568781.000000,-2982471098.000000,,,-1807097683.000000,,,,-4789568781.000000,8886033745.000000,,,,,8886033745.000000,,8886033745.000000,4782343403.000000,10769463881.000000,15551807284.000000
12M 2024,-8603130555.000000,55666528458.000000,-62103912187.000000,-2558350000.000000,2155161910.000000,,-1721143304.000000,-41415432.000000,,-8603130555.000000,9750000000.000000,,9750000000.000000,,,,,,9750000000.000000,-2528067239.000000,,,,,-2528067239.000000,,-2528067239.000000,-1381197794.000000,15551807284.000000,14170609490.000000
