Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,4541561817.000000,-3599796641.000000,941765176.000000,-657903817.000000,-657903817.000000,,-657903817.000000,283861359.000000,,,,,283861359.000000,-22707809.000000,,,-22707809.000000,-22707809.000000,261153550.000000,,261153550.000000,,,,261153550.000000,261153550.000000,261153550.000000,,261153550.000000,261153550.000000,261153550.000000,,261153550.000000
12M 2020,22895991515.000000,-16527922290.000000,6368069225.000000,-1466511867.000000,-1434508138.000000,-32003729.000000,-1466511867.000000,4901557358.000000,267140.000000,267140.000000,,267140.000000,4901824498.000000,-114479958.000000,,,-114479958.000000,-114479958.000000,4787344540.000000,,4787344540.000000,70733423.000000,70733423.000000,70733423.000000,4858077963.000000,4787344540.000000,4787344540.000000,,4787344540.000000,4858077963.000000,4858077963.000000,,4858077963.000000
12M 2021,82133260271.000000,-69004589210.000000,13128671061.000000,-3877647479.000000,-4589266943.000000,711619464.000000,-3877647479.000000,9251023582.000000,-1363675124.000000,1954305.000000,-1365629429.000000,-1363675124.000000,7887348458.000000,-1472404901.000000,-1670173171.000000,197768270.000000,,-1472404901.000000,6414943557.000000,,6414943557.000000,-205455284.000000,-205455284.000000,-205455284.000000,6209488273.000000,6414943557.000000,6414943557.000000,,6414943557.000000,6209488273.000000,6209488273.000000,,6209488273.000000
12M 2022,137336680282.000000,-119739649794.000000,17597030488.000000,-7164726564.000000,-7277392395.000000,112665831.000000,-7164726564.000000,10432303924.000000,-837420590.000000,13237666.000000,-850658256.000000,-837420590.000000,9594883334.000000,-1965294670.000000,-2023403290.000000,58108620.000000,,-1965294670.000000,7629588664.000000,,7629588664.000000,375637988.000000,375637988.000000,375637988.000000,8005226652.000000,7629588664.000000,7629588664.000000,,7629588664.000000,8005226652.000000,8005226652.000000,,8005226652.000000
12M 2023,105021824687.000000,-89817142970.000000,15204681717.000000,-6416938838.000000,-6866948950.000000,450010112.000000,-6416938838.000000,8787742879.000000,-1459305367.000000,7953880.000000,-1467259247.000000,-1459305367.000000,7328437512.000000,-1182764353.000000,-1256898320.000000,74133967.000000,,-1182764353.000000,6145673159.000000,,6145673159.000000,142812565.000000,142812565.000000,142812565.000000,6288485724.000000,6145673159.000000,6145673159.000000,,6145673159.000000,6288485724.000000,6288485724.000000,,6288485724.000000
12M 2024,78217648021.000000,-69774435699.000000,8443212322.000000,-890245930.000000,-5151936406.000000,4261690476.000000,-890245930.000000,7552966392.000000,-1706878141.000000,17831910.000000,-1724710051.000000,-1706878141.000000,5846088251.000000,-951038220.000000,-1030305368.000000,79267148.000000,,-951038220.000000,4895050031.000000,,4895050031.000000,203317329.000000,203317329.000000,203317329.000000,5098367360.000000,4895050031.000000,4895050031.000000,,4895050031.000000,5098367360.000000,5098367360.000000,,5098367360.000000
