Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Beban Operasional Lainnya,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak Penghasilan,Pembayaran Beban Bunga Dan Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak-Guna,Hasil Penjualan Aset Tetap,Penerimaan (Pembayaran) Piutang Dari Pihak Berelasi,Penerimaan Dari Pelepasan,Investasi Pada Entitas Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Bank,Penerimaan,Pembayaran,Total Pinjaman Bank,Perdana Saham,Setoran Modal Dari Pelaksanaan Waran,Penawaran Umum Perdana Saham,Dengan Pelaksanaan Waran,Pembayaran Biaya Emisi Saham,Penerimaan Atas Saham Publik,Penerimaan Storan Modal Dari Pemegang Saham,Pembayaran Utang Pembelian Aset Tetap,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,2588122905.000000,23483671935.000000,-15673479260.000000,-1562510971.000000,-2933929479.000000,-193202929.000000,-532426391.000000,2588122905.000000,-1600450108.000000,-450249847.000000,-660000000.000000,5075000.000000,-495275261.000000,,,-1600450108.000000,-1048556364.000000,,3423384489.000000,-3850272674.000000,-426888185.000000,,,,,,,,-621668179.000000,-1048556364.000000,-60883567.000000,342789584.000000,281906017.000000
12M 2022,-761069621.000000,33519711210.000000,-25668711859.000000,-3983807708.000000,-3660395927.000000,-363064194.000000,-604801143.000000,-761069621.000000,-131959857.000000,-341959857.000000,,,,,210000000.000000,-131959857.000000,746564158.000000,,4759758314.000000,-3332783419.000000,1426974895.000000,,,,,,,,-680410737.000000,746564158.000000,-146465320.000000,281906018.000000,135440698.000000
12M 2023,-8444040271.000000,44427509578.000000,-38391800286.000000,-7104427072.000000,-5289656068.000000,-1292750390.000000,-792916033.000000,-8444040271.000000,729483872.000000,-471815390.000000,,706024003.000000,495275259.000000,,,729483872.000000,37867752059.000000,,2204377509.000000,-603333358.000000,1601044151.000000,3900000000.000000,,35100000000.000000,,-2052881355.000000,,,-680410737.000000,37867752059.000000,30153195660.000000,135440698.000000,30288636358.000000
12M 2024,1745393577.000000,67521067173.000000,-49588070143.000000,-8591828597.000000,-6019842992.000000,-765163475.000000,-810768389.000000,1745393577.000000,-724826099.000000,-724826099.000000,,,,,,-724826099.000000,-1030229519.000000,,1100000000.000000,-1736918402.000000,-636918402.000000,,175500.000000,,1404000.000000,,,,-394890617.000000,-1030229519.000000,-9662041.000000,30288636358.000000,30278974317.000000
