Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,3 B,(0 B),2 B,305410.44
12M 2022,(1 B),(0 B),(1 B),-157575.64
12M 2023,(8 B),(0 B),(9 B),-13.72
12M 2024,2 B,(1 B),1 B,1.57
