Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,25802885444.000000,-14603467396.000000,11199418048.000000,-9191390625.000000,-3534002188.000000,-5657388437.000000,-9191390625.000000,2008027423.000000,-515387649.000000,-515387649.000000,-515387649.000000,1492639774.000000,-284327746.000000,-474462101.000000,190134355.000000,-284327746.000000,1208312028.000000,,1208312028.000000,9711000.000000,9711000.000000,9711000.000000,1218023028.000000,1208312028.000000,1208312028.000000,,1208312028.000000,1218023028.000000,1218023028.000000,,1218023028.000000
12M 2022,37693608446.000000,-20715367757.000000,16978240689.000000,-13179144896.000000,-6363947656.000000,-6815197240.000000,-13179144896.000000,3799095793.000000,-541997129.000000,-541997129.000000,-541997129.000000,3257098664.000000,-672758401.000000,-852843012.000000,180084611.000000,-672758401.000000,2584340263.000000,,2584340263.000000,34793460.000000,34793460.000000,34793460.000000,2619133723.000000,2584340263.000000,2584340263.000000,,2584340263.000000,2619133723.000000,2619133723.000000,,2619133723.000000
12M 2023,45552722939.000000,-24428103976.000000,21124618963.000000,-18795494695.000000,-10971650480.000000,-7823844215.000000,-18795494695.000000,2329124268.000000,-812607138.000000,-812607138.000000,-812607138.000000,1516517130.000000,-320891111.000000,-628327010.000000,307435899.000000,-320891111.000000,1195626019.000000,,1195626019.000000,-72451080.000000,-72451080.000000,-72451080.000000,1123174939.000000,1195626019.000000,1195626019.000000,,1195626019.000000,1123174939.000000,1123174939.000000,,1123174939.000000
12M 2024,78252446798.000000,-50395790844.000000,27856655954.000000,-25255014952.000000,-15283984114.000000,-9971030838.000000,-25255014952.000000,2601641002.000000,-574149167.000000,-574149167.000000,-574149167.000000,2027491835.000000,-1072195032.000000,-777875340.000000,-294319692.000000,-1072195032.000000,955296803.000000,,955296803.000000,215100896.000000,215100896.000000,215100896.000000,1170397699.000000,955296803.000000,955296803.000000,,955296803.000000,1170397699.000000,1170397699.000000,,1170397699.000000
