Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.24,823.29,0.24,823.29,0 B,1 B,1 B,(5 B),130 B
12M 2010,0.35,709.73,0.35,709.73,0 B,0 B,1 B,(10 B),116 B
12M 2011,0.34,614.88,0.34,614.88,0 B,,0 B,(58 B),91 B
12M 2012,0.38,639.43,0.38,639.43,0 B,0 B,1 B,(54 B),84 B
12M 2013,0.34,696.50,0.34,696.50,0 B,0 B,1 B,(60 B),79 B
12M 2014,0.31,757.42,0.31,757.42,0 B,0 B,1 B,(43 B),80 B
12M 2015,0.36,850.95,0.36,850.95,0 B,0 B,1 B,(61 B),96 B
12M 2016,0.23,1341.32,0.23,1341.32,1 B,1 B,1 B,(40 B),98 B
12M 2017,0.28,1482.47,0.28,1482.47,1 B,1 B,2 B,(47 B),117 B
12M 2018,0.35,1631.40,0.35,1631.40,1 B,0 B,1 B,(48 B),128 B
12M 2019,0.24,1725.74,0.24,1725.74,0 B,0 B,0 B,(58 B),147 B
12M 2020,0.48,1872.31,0.48,1872.31,0 B,0 B,1 B,(101 B),172 B
12M 2021,0.29,1926.79,0.29,1926.79,0 B,0 B,0 B,(78 B),181 B
12M 2022,0.32,2117.09,0.32,2117.09,0 B,,0 B,(90 B),201 B
12M 2023,0.24,2217.19,0.24,2217.19,,,,(127 B),222 B
12M 2024,0.25,2325.16,0.25,2325.16,,,,(160 B),241 B
