Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pihak Berelasi,Pinjaman Jangka Pendek,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,6268301336.000000,66852495766.000000,56078446833.000000,46066460874.000000,10011985959.000000,56078446833.000000,3279465.000000,,,3279465.000000,5285745076.000000,987703414.000000,135475971890.000000,,3034893108.000000,18580945100.000000,477520000.000000,22093358208.000000,157569330098.000000,,,5189427810.000000,4481931892.000000,,,4481931892.000000,,,93565797.000000,,93565797.000000,52297920.000000,347572233.000000,,214059968.000000,,214059968.000000,,5189427810.000000,3335422384.000000,,561181635.000000,,561181635.000000,2774240749.000000,3335422384.000000,8524850194.000000,,90517778000.000000,803458000.000000,57723243904.000000,,,57723243904.000000,,,149044479904.000000,157569330098.000000,181035556.000000
12M 2010,,,10064246347.000000,67206088728.000000,33556620621.000000,29292876841.000000,4263743780.000000,33556620621.000000,,,,,5065020936.000000,1330885712.000000,117222862344.000000,,4001342572.000000,12390392287.000000,413275000.000000,16805009859.000000,134027872203.000000,,,1372484307.000000,385364500.000000,,,385364500.000000,88605892.000000,,359529592.000000,,359529592.000000,,330150999.000000,,208833324.000000,,208833324.000000,,1372484307.000000,4169589193.000000,,320708331.000000,,320708331.000000,3848880862.000000,4169589193.000000,5542073500.000000,,90517778000.000000,803458000.000000,37164562703.000000,,,37164562703.000000,,,128485798703.000000,134027872203.000000,181035556.000000
12M 2011,,,58314507899.000000,,26475789269.000000,16745298265.000000,9730491004.000000,26475789269.000000,22764000.000000,,,22764000.000000,9631327880.000000,5287470679.000000,99731859727.000000,,4444198323.000000,6734505904.000000,14274113623.000000,25452817850.000000,125184677577.000000,,,8904208439.000000,8432564507.000000,,,8432564507.000000,,,68331228.000000,,68331228.000000,,,,52208331.000000,,52208331.000000,351104373.000000,8904208439.000000,4964431862.000000,,,,,4964431862.000000,4964431862.000000,13868640301.000000,,90517778000.000000,803458000.000000,19994801276.000000,,,19994801276.000000,,,111316037276.000000,125184677577.000000,181035556.000000
12M 2012,,,55044575611.000000,,27901303995.000000,12177658428.000000,15723645567.000000,27901303995.000000,49818800.000000,,,49818800.000000,12059989982.000000,1685296447.000000,96740984835.000000,,4309686449.000000,23343960988.000000,7884206807.000000,35537854244.000000,132278839079.000000,,,12546019891.000000,10805702881.000000,,,10805702881.000000,,,95719327.000000,,95719327.000000,52352000.000000,,,353750838.000000,,353750838.000000,1238494845.000000,12546019891.000000,3972941048.000000,,278333715.000000,,278333715.000000,3694607333.000000,3972941048.000000,16518960939.000000,,90517778000.000000,803458000.000000,24438642140.000000,,,24438642140.000000,,,115759878140.000000,132278839079.000000,181035556.000000
12M 2013,,,60564745621.000000,,15676727807.000000,1047541602.000000,14629186205.000000,15676727807.000000,8626399.000000,,,8626399.000000,5784499923.000000,2681925654.000000,84716525404.000000,,3950679166.000000,40639319448.000000,6835539201.000000,51425537815.000000,136142063219.000000,,,6107335794.000000,4075270435.000000,,,4075270435.000000,,,292125055.000000,,292125055.000000,,,,482320305.000000,,482320305.000000,1257619999.000000,6107335794.000000,3943041189.000000,,376873389.000000,,376873389.000000,3566167800.000000,3943041189.000000,10050376983.000000,,90517778000.000000,803458000.000000,34770450236.000000,,,34770450236.000000,,,126091686236.000000,136142063219.000000,181035556.000000
12M 2014,,,43313181777.000000,,17177954120.000000,2004421188.000000,15173532932.000000,17177954120.000000,68217764.000000,,68217764.000000,68217764.000000,22411804859.000000,4003967874.000000,86975126394.000000,,3620139459.000000,50390263713.000000,7007087785.000000,61017490957.000000,147992617351.000000,,,6761434983.000000,5303448311.000000,,,5303448311.000000,,,575459722.000000,,575459722.000000,,,,377086836.000000,,377086836.000000,505440114.000000,6761434983.000000,4111275120.000000,,128467312.000000,,128467312.000000,3982807808.000000,4111275120.000000,10872710103.000000,,90517778000.000000,803458000.000000,45798671248.000000,,,45798671248.000000,,,137119907248.000000,147992617351.000000,181035556.000000
12M 2015,,,61571622076.000000,,26413647515.000000,11716172746.000000,14697474769.000000,26413647515.000000,66197520.000000,,66197520.000000,66197520.000000,15628806361.000000,3588349344.000000,107268622816.000000,,1916347497.000000,48483386129.000000,11877709873.000000,62277443499.000000,169546066315.000000,,,11084537386.000000,9018175439.000000,,,9018175439.000000,,,,1139100174.000000,1139100174.000000,,,,294316000.000000,,294316000.000000,632945773.000000,11084537386.000000,4410219931.000000,,261908196.000000,,261908196.000000,4148311735.000000,4410219931.000000,15494757317.000000,,90517778000.000000,803458000.000000,60944762486.000000,,,60944762486.000000,,1785310511.000000,154051308997.000000,169546066314.000000,181035556.000000
12M 2016,,,41723287651.000000,,46741563765.000000,30820801406.000000,15920762359.000000,46741563765.000000,98141300.000000,,98141300.000000,98141300.000000,26696938543.000000,3483436303.000000,118743367562.000000,,1527166337.000000,128538899975.000000,20541947470.000000,150608013782.000000,269351381344.000000,,,20420038273.000000,17343857177.000000,,,17343857177.000000,,,,1570600790.000000,1570600790.000000,316093229.000000,,,588730625.000000,,588730625.000000,600756452.000000,20420038273.000000,6104880320.000000,,905178442.000000,,905178442.000000,5199701878.000000,6104880320.000000,26524918593.000000,,90517778000.000000,803458000.000000,69123243185.000000,,,69123243185.000000,,82381983566.000000,242826462751.000000,269351381344.000000,181035556.000000
12M 2017,,,48155991620.000000,,68928603979.000000,52195533674.000000,16733070305.000000,68928603979.000000,61888250.000000,,61888250.000000,61888250.000000,24386752038.000000,4007402894.000000,145540638781.000000,,1861198909.000000,135918981861.000000,20467570779.000000,158247751549.000000,303788390330.000000,,,28527518002.000000,24694013073.000000,,,24694013073.000000,,,,2188398705.000000,2188398705.000000,268412573.000000,,,950052996.000000,,950052996.000000,426640655.000000,28527518002.000000,6881047184.000000,,550918353.000000,,550918353.000000,6330128831.000000,6881047184.000000,35408565186.000000,,90517778000.000000,803458000.000000,85701001145.000000,,,85701001145.000000,,91357587999.000000,268379825144.000000,303788390330.000000,181035556.000000
12M 2018,,,49524169619.000000,,79844551996.000000,70075574399.000000,9768977597.000000,79844551996.000000,103835997.000000,,103835997.000000,103835997.000000,58180260324.000000,3840165034.000000,191492982970.000000,,3100060374.000000,174915334612.000000,21854320000.000000,199869714986.000000,391362697956.000000,,,63071077029.000000,59017316146.000000,,,59017316146.000000,,,,2621851101.000000,2621851101.000000,321418777.000000,,,647402277.000000,,647402277.000000,463088728.000000,63071077029.000000,8339201129.000000,,434194310.000000,,434194310.000000,7905006819.000000,8339201129.000000,71410278158.000000,,98060618500.000000,2462882910.000000,92082486191.000000,,,92082486191.000000,,127346432197.000000,319952419798.000000,391362697956.000000,196121237.000000
