Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,22.0,,0.19,,,0.0
12M 2009,,,,,,,,,23.6,26.12,0.19,0.2,,,0.0
12M 2010,,,,,,,,,26.48,22.12,0.18,0.17,,,0.0
12M 2011,,,,,,,,,30.64,25.01,0.19,0.16,,,0.0
12M 2012,,,,,,,,,27.66,24.84,0.18,0.18,,,0.0
12M 2013,,,,,,,,,25.05,22.64,0.18,0.16,,,0.0
12M 2014,,,,,,,,,21.66,20.47,0.16,0.16,,,0.0
12M 2015,,,,,,,,,14.27,14.1,0.17,0.17,,,0.0
12M 2016,,,,,,,,,9.44,9.08,0.15,0.15,,,0.0
12M 2017,,,,,,,,,10.87,10.4,0.17,0.15,,,0.0
12M 2018,,,,,,,,,12.34,12.14,0.18,0.18,,,0.0
12M 2019,,,,,,,,,11.85,22.66,0.19,0.36,,,0.0
12M 2020,,,,,,,,,10.14,10.4,0.16,0.17,,,0.0
12M 2021,,,,,,,,,8.55,9.05,0.16,0.2,,,0.0
12M 2022,,,,,,,,,8.94,9.06,0.2,0.2,,,0.0
12M 2023,,,,,,,,,13.74,13.97,0.26,0.24,,,0.0
12M 2024,,,,,,,,,10.4,10.37,0.18,0.18,,,0.0
