Period,Total Pendapatan,Pendapatan Sewa Pembiayaan,Pendapatan Pembiayaan Konsumen,Pendapatan Anjak Piutang,Pendapatan Sewa Operasi,Others,Total Pendapatan Sewa Operasi,Pendapatan Bunga,Keuntungan Transaksi Mata Uang Asing,Others,Total Pendapatan,Total Beban Usaha,Beban Bunga,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Kerugian Transaksi Mata Uang Asing,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Non-Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,323342091000.000000,151295521000.000000,75745590000.000000,27989315000.000000,6367126000.000000,,6367126000.000000,17839028000.000000,12486381000.000000,31619130000.000000,323342091000.000000,-165274829000.000000,-69023426000.000000,-21055963000.000000,-32141324000.000000,,,,,,-43054116000.000000,-165274829000.000000,158067262000.000000,-20042000.000000,,-20042000.000000,-20042000.000000,158047220000.000000,-45173166000.000000,-36434612000.000000,-8738554000.000000,-45173166000.000000,112874054000.000000,,,,,112874054000.000000,112874054000.000000,,112874054000.000000,,,,
12M 2009,329385217000.000000,144662417000.000000,68561321000.000000,51879704000.000000,6743137000.000000,,6743137000.000000,13538959000.000000,,43999679000.000000,329385217000.000000,-127220773000.000000,-39865561000.000000,-20948238000.000000,-27563204000.000000,,,,,-13045515000.000000,-25798255000.000000,-127220773000.000000,202164444000.000000,-141000.000000,,-141000.000000,-141000.000000,202164303000.000000,-51911188000.000000,-47658912000.000000,-4252276000.000000,-51911188000.000000,150253115000.000000,,,,,150253115000.000000,150253115000.000000,,150253115000.000000,,,,
12M 2010,402624447000.000000,157580722000.000000,136524580000.000000,44136374000.000000,7433600000.000000,,7433600000.000000,5093858000.000000,,51855313000.000000,402624447000.000000,-137495326000.000000,-58211744000.000000,-22982953000.000000,-38823884000.000000,,,,,-3608515000.000000,-13868230000.000000,-137495326000.000000,265129121000.000000,-9867000.000000,,-9867000.000000,-9867000.000000,265119254000.000000,-64408056000.000000,-64923711000.000000,515655000.000000,-64408056000.000000,200711198000.000000,,,,,200711198000.000000,200711198000.000000,,200711198000.000000,,,,
12M 2011,700357409000.000000,164842640000.000000,333723025000.000000,115938418000.000000,7956837000.000000,,7956837000.000000,7250831000.000000,342002000.000000,70303656000.000000,700357409000.000000,-334539808000.000000,-210035382000.000000,-36852617000.000000,-50943237000.000000,,,-25903458000.000000,-5679861000.000000,,-5125253000.000000,-334539808000.000000,365817601000.000000,-49444000.000000,,-49444000.000000,-49444000.000000,365768157000.000000,-89510794000.000000,-87703862000.000000,-1806932000.000000,-89510794000.000000,276257363000.000000,,,,276257363000.000000,276257363000.000000,276257363000.000000,,276257363000.000000,276257363000.000000,276257363000.000000,,276257363000.000000
12M 2012,880071948000.000000,182151042000.000000,403157514000.000000,184299236000.000000,,9887667000.000000,9887667000.000000,19723022000.000000,5068887000.000000,75784580000.000000,880071948000.000000,-443157045000.000000,-281094654000.000000,-40708668000.000000,-54665697000.000000,,,-55285555000.000000,-5638301000.000000,,-5764170000.000000,-443157045000.000000,436914903000.000000,-2997000.000000,,-2997000.000000,-2997000.000000,436911906000.000000,-104224384000.000000,-104985055000.000000,760671000.000000,-104224384000.000000,332687522000.000000,,,,332687522000.000000,332687522000.000000,332687522000.000000,,332687522000.000000,332687522000.000000,332687522000.000000,,332687522000.000000
12M 2013,973333931000.000000,163395693000.000000,383811510000.000000,291788368000.000000,,10838090000.000000,10838090000.000000,10639474000.000000,14306428000.000000,98554368000.000000,973333931000.000000,-466619746000.000000,-271614531000.000000,-48851560000.000000,-73344256000.000000,,,-60868296000.000000,-4700815000.000000,,-7240288000.000000,-466619746000.000000,506714185000.000000,-612000.000000,,-612000.000000,-612000.000000,506713573000.000000,-123829487000.000000,-126835392000.000000,3005905000.000000,-123829487000.000000,382884086000.000000,,,,382884086000.000000,382884086000.000000,382884086000.000000,,382884086000.000000,382884086000.000000,382884086000.000000,,382884086000.000000
12M 2014,1046950255000.000000,148318352000.000000,471246310000.000000,301712341000.000000,,12477782000.000000,12477782000.000000,11601952000.000000,1150817000.000000,100442701000.000000,1046950255000.000000,-518732879000.000000,-325175631000.000000,-54074386000.000000,-78965967000.000000,,,-49708015000.000000,-620401000.000000,,-10188479000.000000,-518732879000.000000,528217376000.000000,-1613136000.000000,,-1613136000.000000,-1613136000.000000,526604240000.000000,-129085937000.000000,-130521399000.000000,1435462000.000000,-129085937000.000000,397518303000.000000,,,,397518303000.000000,397518303000.000000,397518303000.000000,,397518303000.000000,397518303000.000000,397518303000.000000,,397518303000.000000
12M 2015,1111251266000.000000,164464339000.000000,570304040000.000000,230732846000.000000,,11356217000.000000,11356217000.000000,4289246000.000000,6600305000.000000,123504273000.000000,1111251266000.000000,-712662308000.000000,-368208398000.000000,-59699509000.000000,-97601172000.000000,,,-178277462000.000000,-1076202000.000000,,-7799565000.000000,-712662308000.000000,398588958000.000000,-8860680000.000000,,-8860680000.000000,-8860680000.000000,389728278000.000000,-103379625000.000000,-102968062000.000000,-411563000.000000,-103379625000.000000,286348653000.000000,56899975000.000000,56899975000.000000,56899975000.000000,343248628000.000000,286348653000.000000,286348653000.000000,,286348653000.000000,343248628000.000000,343248628000.000000,,343248628000.000000
12M 2016,1034813854000.000000,181208043000.000000,586112421000.000000,113456279000.000000,,9989222000.000000,9989222000.000000,4497288000.000000,,139550601000.000000,1034813854000.000000,-755551136000.000000,-323502721000.000000,-69756221000.000000,-117064946000.000000,-1890055000.000000,,-234865720000.000000,-1968236000.000000,,-6503237000.000000,-755551136000.000000,279262718000.000000,-3350725000.000000,,-3350725000.000000,-3350725000.000000,275911993000.000000,-70550310000.000000,-71632030000.000000,1081720000.000000,-70550310000.000000,205361683000.000000,-5358767000.000000,-5358767000.000000,-5358767000.000000,200002916000.000000,205361683000.000000,205361683000.000000,,205361683000.000000,200002916000.000000,200002916000.000000,,200002916000.000000
12M 2017,1399103951000.000000,271200370000.000000,743006562000.000000,123288467000.000000,,8548358000.000000,8548358000.000000,8474119000.000000,343271000.000000,244242804000.000000,1399103951000.000000,-1062065652000.000000,-389759672000.000000,-121925943000.000000,-210691488000.000000,,-643555000.000000,-328859710000.000000,-679385000.000000,,-9505899000.000000,-1062065652000.000000,337038299000.000000,-3078768000.000000,,-3078768000.000000,-3078768000.000000,333959531000.000000,-97684231000.000000,-100466165000.000000,2781934000.000000,-97684231000.000000,236275300000.000000,-5675505000.000000,-5675505000.000000,-5675505000.000000,230599795000.000000,236275300000.000000,236275300000.000000,,236275300000.000000,230599795000.000000,230599795000.000000,,230599795000.000000
