Period,Aset,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Investasi Jangka Pendek,Pihak Berelasi,Pihak Ketiga,Total Investasi Jangka Pendek,Deposito Berjangka,Piutang Sewa Pembiayaan,Pihak Berelasi,Piutang Sewa Pembiayaan,Others,Total Pihak Berelasi,Pihak Ketiga,Piutang Sewa Pembiayaan,Others,Total Pihak Ketiga,Others,Total Piutang Sewa Pembiayaan,Piutang Pembiayaan Konsumen,Piutang Pembiayaan Konsumen,Others,Total Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Bank,Pihak Berelasi,Pihak Ketiga,Total Utang Bank,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Utang Pajak,Utang Obligasi,Pihak Berelasi,Others,Total Utang Obligasi,Surat Berharga Yang Diterbitkan,Pihak Berelasi,Pihak Ketiga,Others,Total Surat Berharga Yang Diterbitkan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,112432408000.000000,4251087000.000000,116683495000.000000,,17574500000.000000,,17574500000.000000,,,799790000.000000,905888000.000000,-106098000.000000,799790000.000000,909629448000.000000,1144784044000.000000,-235154596000.000000,909629448000.000000,-30746658000.000000,879682580000.000000,,293839283000.000000,,293839283000.000000,,2546065000.000000,3095464000.000000,,5641529000.000000,5956360000.000000,,15017303000.000000,,273047429000.000000,1607442479000.000000,,,395209107000.000000,,395209107000.000000,395209107000.000000,,,,7300538000.000000,13516245000.000000,,,13516245000.000000,6232900000.000000,,,,,,,,,,10420697000.000000,432679487000.000000,,650824992000.000000,147451658000.000000,376486342000.000000,300000000.000000,376186342000.000000,376486342000.000000,,1174762992000.000000,1607442479000.000000,2603299968.000000
12M 2009,,,27251944000.000000,3778817000.000000,31030761000.000000,,74371750000.000000,,74371750000.000000,,,2722617000.000000,3215952000.000000,-493335000.000000,2722617000.000000,891644725000.000000,1122782216000.000000,-231137491000.000000,891644725000.000000,-28073163000.000000,866294179000.000000,,494482365000.000000,,494482365000.000000,,3376799000.000000,2857891000.000000,,6234690000.000000,1704084000.000000,,12891307000.000000,,284257664000.000000,1771266800000.000000,,,377846337000.000000,160230033000.000000,217616304000.000000,377846337000.000000,,,,15599912000.000000,14511647000.000000,,,14511647000.000000,23920532000.000000,,,,,,,,,,27388695000.000000,459267123000.000000,,650825036000.000000,147451684000.000000,513722957000.000000,400000000.000000,513322957000.000000,513722957000.000000,,1311999677000.000000,1771266800000.000000,2603300144.000000
12M 2010,,,24156779000.000000,2170407000.000000,26327186000.000000,,14906000000.000000,,14906000000.000000,,,8377825000.000000,10071965000.000000,-1694140000.000000,8377825000.000000,933649699000.000000,1087193275000.000000,-153543576000.000000,933649699000.000000,-15005915000.000000,927021609000.000000,,1108099154000.000000,,1108099154000.000000,,2573174000.000000,4302225000.000000,,6875399000.000000,2219739000.000000,,17516576000.000000,,590944326000.000000,2693909989000.000000,,,1089564128000.000000,495526902000.000000,594037226000.000000,1089564128000.000000,,,,50045313000.000000,11572823000.000000,2177249000.000000,9395574000.000000,11572823000.000000,29805228000.000000,,,,,,,,,,31726729000.000000,1212714221000.000000,,650826982000.000000,147452851000.000000,682915935000.000000,500000000.000000,682415935000.000000,682915935000.000000,,1481195768000.000000,2693909989000.000000,2603307926.000000
12M 2011,,,133136150000.000000,59047205000.000000,192183355000.000000,,15261250000.000000,,15261250000.000000,,,11891184000.000000,13962267000.000000,-2071083000.000000,11891184000.000000,1098666646000.000000,1266237227000.000000,-167570581000.000000,1098666646000.000000,-4053273000.000000,1106504557000.000000,,2317186204000.000000,,2317186204000.000000,,7454894000.000000,4940841000.000000,,12395735000.000000,412808000.000000,,28195994000.000000,,1113363853000.000000,4785503756000.000000,,,1496548212000.000000,412035367000.000000,1084512845000.000000,1496548212000.000000,,,,31697621000.000000,29135181000.000000,4023936000.000000,25111245000.000000,29135181000.000000,37261248000.000000,,,,,989025653000.000000,144000000000.000000,856000000000.000000,-10974347000.000000,989025653000.000000,28009041000.000000,2611676956000.000000,,943699124000.000000,310003997000.000000,920123679000.000000,600000000.000000,919523679000.000000,920123679000.000000,,2173826800000.000000,4785503756000.000000,3774796493.000000
12M 2012,,,7922895000.000000,181214387000.000000,189137282000.000000,,55406250000.000000,,55406250000.000000,,,16483565000.000000,19360660000.000000,-2877095000.000000,16483565000.000000,1053346447000.000000,1197706219000.000000,-144359772000.000000,1053346447000.000000,-5863829000.000000,1063966183000.000000,,2261389905000.000000,-17599863000.000000,2243790042000.000000,,5879962000.000000,15738829000.000000,,21618791000.000000,1173479000.000000,2430862000.000000,35449088000.000000,,1240662877000.000000,4853634854000.000000,,,748536974000.000000,169857383000.000000,578679591000.000000,748536974000.000000,,,,39482078000.000000,21126082000.000000,1089391000.000000,20036691000.000000,21126082000.000000,27440781000.000000,,,,,1540953977000.000000,22000000000.000000,1530000000000.000000,-11046023000.000000,1540953977000.000000,26202464000.000000,2403742356000.000000,,943699192000.000000,310004052000.000000,1196189254000.000000,700000000.000000,1195489254000.000000,1196189254000.000000,,2449892498000.000000,4853634854000.000000,3774796768.000000
12M 2013,,,25221837000.000000,70420491000.000000,95642328000.000000,,50834160000.000000,,50834160000.000000,,,17706123000.000000,20855778000.000000,-3149655000.000000,17706123000.000000,1048387783000.000000,1257729041000.000000,-209341258000.000000,1048387783000.000000,-11435901000.000000,1054658005000.000000,,2638852842000.000000,-26192620000.000000,2612660222000.000000,,7579794000.000000,14446813000.000000,,22026607000.000000,4179384000.000000,2363137000.000000,42254319000.000000,,2189850909000.000000,6074469071000.000000,,,1723057135000.000000,635939778000.000000,1087117357000.000000,1723057135000.000000,,,,86294691000.000000,25779563000.000000,2764684000.000000,23014879000.000000,25779563000.000000,24420736000.000000,,,,,1423247000000.000000,22000000000.000000,1407000000000.000000,-5753000000.000000,1423247000000.000000,26839424000.000000,3309638549000.000000,,943699354000.000000,310004182000.000000,1511126986000.000000,800000000.000000,1510326986000.000000,1511126986000.000000,,2764830522000.000000,6074469071000.000000,3774797417.000000
12M 2014,,,19016504000.000000,16751242000.000000,35767746000.000000,,20575735000.000000,,20575735000.000000,,,881336000.000000,1040850000.000000,-159514000.000000,881336000.000000,1216766056000.000000,1511380343000.000000,-294614287000.000000,1216766056000.000000,-16617117000.000000,1201030275000.000000,,3415615052000.000000,-32559377000.000000,3383055675000.000000,,9632146000.000000,17928590000.000000,,27560736000.000000,5614846000.000000,2295412000.000000,54418462000.000000,,1910723943000.000000,6641042830000.000000,,,2355396844000.000000,382523985000.000000,1972872859000.000000,2355396844000.000000,,,,118605517000.000000,20465868000.000000,1456707000.000000,19009161000.000000,20465868000.000000,42454297000.000000,,,,,799331134000.000000,,800000000000.000000,-668866000.000000,799331134000.000000,48064977000.000000,3384318637000.000000,,996130114000.000000,351948790000.000000,1908645289000.000000,950000000.000000,1907695289000.000000,1908645289000.000000,,3256724193000.000000,6641042830000.000000,3984520457.000000
12M 2015,,,12517128000.000000,17878651000.000000,30395779000.000000,,,,,,,536190000.000000,582876000.000000,-46686000.000000,536190000.000000,1382694951000.000000,1698536537000.000000,-315841586000.000000,1382694951000.000000,-27940792000.000000,1355290349000.000000,,3692138519000.000000,-66314054000.000000,3625824465000.000000,,10449145000.000000,21945720000.000000,,32394865000.000000,4736600000.000000,10437000000.000000,101314195000.000000,,1486278674000.000000,6646671927000.000000,,,2176708083000.000000,529165169000.000000,1647542914000.000000,2176708083000.000000,,,,121880780000.000000,21381024000.000000,1858726000.000000,19522298000.000000,21381024000.000000,1173026000.000000,,,,,697087716000.000000,,700000000000.000000,-2912284000.000000,697087716000.000000,29513190000.000000,3047743819000.000000,,996130114000.000000,351948790000.000000,2196656353000.000000,1100000000.000000,2195556353000.000000,2196656353000.000000,54192851000.000000,3598928108000.000000,6646671927000.000000,3984520457.000000
12M 2016,,,11593972000.000000,18728559000.000000,30322531000.000000,,61041340000.000000,20584670000.000000,81626010000.000000,,,,,,,1460705296000.000000,,,1460705296000.000000,-35200908000.000000,1425504388000.000000,,3770758947000.000000,-86969820000.000000,3683789127000.000000,,12660460000.000000,23078116000.000000,,35738576000.000000,76354000.000000,10437000000.000000,117942000000.000000,,1358754362000.000000,6744190348000.000000,,,2043896280000.000000,263220300000.000000,1780675980000.000000,2043896280000.000000,14519723000.000000,14519723000.000000,14519723000.000000,121433747000.000000,20223362000.000000,931432000.000000,19291930000.000000,20223362000.000000,8635618000.000000,,,,,698293160000.000000,,700000000000.000000,-1706840000.000000,698293160000.000000,38257434000.000000,2945259324000.000000,,996130114000.000000,351948790000.000000,2404620583000.000000,1250000000.000000,2403370583000.000000,2404620583000.000000,46231537000.000000,3798931024000.000000,6744190348000.000000,3984520457.000000
12M 2017,,,15598676000.000000,12948654000.000000,28547330000.000000,,,10866000000.000000,10866000000.000000,,,,,,,2766222604000.000000,,,2766222604000.000000,-52951816000.000000,2713270788000.000000,,5819255843000.000000,-103209899000.000000,5716045944000.000000,,13631044000.000000,37091676000.000000,,50722720000.000000,4750123000.000000,10437000000.000000,139394599000.000000,,1216812822000.000000,9890847326000.000000,,,4777179002000.000000,1421029144000.000000,3356149858000.000000,4777179002000.000000,88531344000.000000,88531344000.000000,88531344000.000000,149709711000.000000,39943197000.000000,3824609000.000000,36118588000.000000,39943197000.000000,31438617000.000000,,,,,699651044000.000000,,700000000000.000000,-348956000.000000,699651044000.000000,74863592000.000000,5861316507000.000000,,996130114000.000000,351948790000.000000,2643834579000.000000,1400000000.000000,2642434579000.000000,2643834579000.000000,37617336000.000000,4029530819000.000000,9890847326000.000000,3984520457.000000
