Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari:,Sewa Pembiayaan,Pembiayaan Konsumen,Anjak Piutang,Jual Dan Sewa-Balik,Sewa Operasi,Pembiayaan Bersama,Total Penerimaan Kas Dari:,"Penerimaan Dari Pendapatan Administrasi, Denda Keterlambatan Dan Pelunasan Dipercepat",Penerimaan Bunga,Penerimaan Kembali Uang Jaminan,Pembayaran Kas Sehubungan Dengan Kerjasama Penerusan Pinjaman Dan Pembiayaan Bersama,Pembayaran Kas Untuk:,Pemasok,Sewa Pembiayaan Dan Pembiayaan Konsumen,Anjak Piutang,Total Pembayaran Kas Untuk:,Pembayaran Aktivitas Operasi Lainnya,Pembayaran Bunga,Pembayaran Beban Umum Dan Administrasi,Penerusan Pinjaman Dan Pembiayaan Bersama,Pembayaran Uang Jaminan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Deposito Berjangka,Pencairan Investasi Jangka Pendek,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Tidak Berwujud,Perolehan Aset Untuk Disewakan,Hasil Penjualan Aset Sewa Operasi,Pembayaran Uang Jaminan,Penerimaan Kembali Uang Jaminan,Penempatan Investasi Jangka Pendek,Hasil Penjualan Investasi Jangka Pendek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembelian Surat Berharga Utang,Penerimaan Dari Penjualan Surat Berharga Utang,Pembayaran Surat Berharga Utang,Pembayaran Biaya Emisi Surat Berharga Yang Diterbitkan - Mtn,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Pembayaran Sewa Dibayar Di Muka,Penambahan Modal Disetor Dari Penawaran Saham,Efek Yang Dijual Dengan Janji Dibeli Kembali,Penambahan Modal Disetor Dari Pelaksanaan Waran,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,23812474000.000000,,481243436000.000000,409127321000.000000,148280278000.000000,,5624958000.000000,,1044275993000.000000,392237501000.000000,18876607000.000000,,122809204000.000000,,-818530645000.000000,,-257177289000.000000,-1075707934000.000000,-275094581000.000000,-125827986000.000000,-36246694000.000000,,,-41509636000.000000,23812474000.000000,236452223000.000000,5250000000.000000,282408275000.000000,2480808000.000000,-7974860000.000000,,-4085000000.000000,,-47000000.000000,,-41580000000.000000,,236452223000.000000,-169254329000.000000,280500034000.000000,-265865031000.000000,,,-150000000000.000000,,,,,,-33889332000.000000,,-169254329000.000000,91010368000.000000,25673127000.000000,,116683495000.000000
12M 2009,-4701247000.000000,,487515214000.000000,534713729000.000000,150327758000.000000,,6657214000.000000,,1179213915000.000000,177718518000.000000,13875330000.000000,,-98441194000.000000,,-863509472000.000000,,-114899762000.000000,-978409234000.000000,-184043766000.000000,-39606729000.000000,-44857331000.000000,,,-30150756000.000000,-4701247000.000000,-50576972000.000000,,35520000000.000000,1409850000.000000,-4276196000.000000,,-822460000.000000,,-36166000.000000,,-82372000000.000000,,-50576972000.000000,-30374515000.000000,250500000000.000000,-267862770000.000000,,,,,-13011815000.000000,,,,,70000.000000,-30374515000.000000,-85652734000.000000,116683495000.000000,,31030761000.000000
12M 2010,-722363237000.000000,,787575023000.000000,965529886000.000000,403610864000.000000,,10446533000.000000,,2167162306000.000000,233723422000.000000,4592919000.000000,,77638028000.000000,,-2129202201000.000000,,-647677690000.000000,-2776879891000.000000,-250684915000.000000,-51875998000.000000,-67400679000.000000,,,-58638429000.000000,-722363237000.000000,41092830000.000000,,76381800000.000000,717248000.000000,-9890582000.000000,,-5301000000.000000,1158494000.000000,-28130000.000000,,-21945000000.000000,,41092830000.000000,676566832000.000000,1104562467000.000000,-388969455000.000000,,,,,-39029293000.000000,,,,,3113000.000000,676566832000.000000,-4703575000.000000,31030761000.000000,,26327186000.000000
12M 2011,-1626513821000.000000,,766077865000.000000,1526592246000.000000,592595825000.000000,,7925586000.000000,,2893191522000.000000,234882854000.000000,7164140000.000000,,-248011288000.000000,,,-2916350834000.000000,-988783685000.000000,-3905134519000.000000,-259960939000.000000,-184492230000.000000,-84618808000.000000,,,-79534553000.000000,-1626513821000.000000,-19093236000.000000,,,1182200000.000000,-17080956000.000000,,-3973550000.000000,780000000.000000,-930000.000000,,,,-19093236000.000000,1811636622000.000000,2039637781000.000000,-1632530042000.000000,988134181000.000000,,,,-39028586000.000000,,,455423288000.000000,,,1811636622000.000000,166029565000.000000,26327186000.000000,-173395000.000000,192183356000.000000
12M 2012,349720010000.000000,,934392669000.000000,2073973701000.000000,663029279000.000000,,10196980000.000000,,3681592629000.000000,136162041000.000000,10714459000.000000,,-66596992000.000000,,,-2142173194000.000000,-615626872000.000000,-2757800066000.000000,-173849801000.000000,-275178302000.000000,-90456929000.000000,,,-114867029000.000000,349720010000.000000,-19283256000.000000,,,2074727000.000000,-19824588000.000000,,-1846450000.000000,378125000.000000,-65070000.000000,,,,-19283256000.000000,-332758849000.000000,1010146833000.000000,-1831235123000.000000,792930259000.000000,,-248000000000.000000,,-56600941000.000000,,,,,123000.000000,-332758849000.000000,-2322095000.000000,192183355000.000000,-723978000.000000,189137282000.000000
12M 2013,-761945039000.000000,,1044283337000.000000,2121826357000.000000,1898314792000.000000,,10182120000.000000,,5074606606000.000000,161594455000.000000,10129271000.000000,,-765077000.000000,,,-2740569200000.000000,-2559681289000.000000,-5300250489000.000000,-182844458000.000000,-279118323000.000000,-115247635000.000000,,,-130049389000.000000,-761945039000.000000,-11613585000.000000,,-149135000000.000000,5528021000.000000,-22590710000.000000,,-349000000.000000,270000000.000000,-75000000.000000,,,154738104000.000000,-11613585000.000000,673210272000.000000,1833238772000.000000,-969090914000.000000,,,-123000000000.000000,,-67937878000.000000,,,292000.000000,,,673210272000.000000,-100348352000.000000,189137282000.000000,6853398000.000000,95642328000.000000
12M 2014,-141948757000.000000,,680692125000.000000,2266134652000.000000,2474951134000.000000,,12830050000.000000,,5434607961000.000000,161435329000.000000,11510201000.000000,,82945952000.000000,,,-3007375333000.000000,-2065685102000.000000,-5073060435000.000000,-180283466000.000000,-311510656000.000000,-124950060000.000000,,,-142643583000.000000,-141948757000.000000,71681000.000000,,-103178196000.000000,1497445000.000000,-30829683000.000000,,,,-42000000.000000,15000000.000000,,132609115000.000000,71681000.000000,81568551000.000000,1904228197000.000000,-1288035014000.000000,,,-629000000000.000000,,,,,94375368000.000000,,,81568551000.000000,-60308525000.000000,95642328000.000000,433943000.000000,35767746000.000000
12M 2015,529679012000.000000,,651477621000.000000,2716708987000.000000,1824316241000.000000,,15584952000.000000,,5208087801000.000000,113297261000.000000,4289246000.000000,,-42652952000.000000,,,-2736045244000.000000,-1252158041000.000000,-3988203285000.000000,-157073214000.000000,-349997331000.000000,-144859528000.000000,,,-113208986000.000000,529679012000.000000,8802519000.000000,,,2773330000.000000,-14684774000.000000,,,,-126000000.000000,,,20839963000.000000,8802519000.000000,-544332930000.000000,2353411155000.000000,-2797744085000.000000,,700000000000.000000,-800000000000.000000,,,,,,,,-544332930000.000000,-5851399000.000000,35767746000.000000,479432000.000000,30395779000.000000
12M 2016,253222254000.000000,,749302389000.000000,2907650440000.000000,579380972000.000000,,10190895000.000000,,4246524696000.000000,131697248000.000000,3654093000.000000,,-30002556000.000000,,,-3040456000000.000000,-376085681000.000000,-3416541681000.000000,-128123929000.000000,-309051590000.000000,-180519775000.000000,,,-64414252000.000000,253222254000.000000,-118640272000.000000,,-96276000000.000000,2664391000.000000,-28734175000.000000,,-1301400000.000000,-9888773000.000000,-106315000.000000,2000000.000000,,15000000000.000000,-118640272000.000000,-134187840000.000000,2033965070000.000000,-2168152910000.000000,,,,,,,,,,,-134187840000.000000,394142000.000000,30395779000.000000,-467390000.000000,30322531000.000000
12M 2017,-2760483534000.000000,,905962222000.000000,3855423352000.000000,423378250000.000000,,8584227000.000000,,5193348051000.000000,227460141000.000000,9224905000.000000,,1154020534000.000000,,,-8196797968000.000000,-173952134000.000000,-8370750102000.000000,-231945774000.000000,-374564104000.000000,-289848381000.000000,,,-77428804000.000000,-2760483534000.000000,22747246000.000000,,,3778205000.000000,-41221532000.000000,-10072839000.000000,,,,263412000.000000,,70000000000.000000,22747246000.000000,2736401768000.000000,4840968263000.000000,-2104566495000.000000,,,,,,,,,,,2736401768000.000000,-1334520000.000000,30322531000.000000,-440681000.000000,28547330000.000000
