Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Pendapatan Bunga,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Pengembalian Pajak,Pembayaran Pajak Penghasilan,Pembayaran Bunga Atas Liabilita Sewa,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Pelepasan Entitas Anak,Penerimaan Dari Peningkatan Kepentingan Non-Pengendali Pada Entitas Anak,Penerimaan Atas Likuidasi Entitas Asosiasi,Kenaikan Dana Yang Dibatasi Penggunaannya,Penurunan Dana Yang Dibatasi Penggunaannya,Kenaikan Uang Muka Pembelian,Penurunan (Kenaikan) Piutang Lain-Lain,Penjualan Aset Tetap,Pembelian Perangkat Lunak,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Hasil Penjualan Investasi Pada Entitas Asosiasi,Penambahan Investasi Pada Entitas Asosiasi,Penurunan (Kenaikan) Aset Tidak Lancar Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Kas,Penerimaan Dari Utang Bank,Pembayaran Biaya Transaksi,Pembayaran Liabilitas Sewa,Agio Saham,Pembayaran Bunga Pinjaman,Pembayaran Biaya Emisi Saham,Penambahan (Pengurangan) Kepentingan Non-Pengendali,Setoran Modal Pihak Non-Pengendali,Pengurangan Bagian Kepentingan Non-Pengendali Atas Entitas Anak,Pembayaran Dividen Ke Pihak Non-Pengendali,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas Dari Operasi Yang Dihentikan,Efek Dekonsolidasi Entitas Anak,Dampak Perubahan Selisih Kurs Pada Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,57434930875.000000,156971378165.000000,2958407099.000000,-68497832366.000000,-24123132098.000000,,-9873889925.000000,,57434930875.000000,-25240103135.000000,,,,,-7560000.000000,-186114936.000000,-9137130925.000000,677000000.000000,-699566667.000000,-13789730607.000000,,,-2097000000.000000,,-25240103135.000000,-108585255044.000000,-110000000000.000000,,,,,,,,2400000000.000000,-65245044.000000,-920010000.000000,-108585255044.000000,-76390427304.000000,28346580687.000000,,,137696369569.000000,89652522952.000000
12M 2018,84962144954.000000,223222115175.000000,2961577511.000000,-102398752013.000000,-27163306930.000000,,-11659488789.000000,,84962144954.000000,-84742282769.000000,,,,,-212416500.000000,-1307874329.000000,8457522895.000000,13500000.000000,-1770314529.000000,-89923200306.000000,,500000.000000,,,-84742282769.000000,-256713158.000000,,,,,,,,-257713158.000000,1000000.000000,,,-256713158.000000,-36850973.000000,10643499101.000000,,,89652522952.000000,100259171080.000000
12M 2019,124353760576.000000,334634338343.000000,2402347786.000000,-160179176723.000000,-29010243592.000000,,-23493505238.000000,,124353760576.000000,-36412523245.000000,,,1748795546.000000,,313865000.000000,-1987866230.000000,1211140292.000000,113000000.000000,-38590128.000000,-37772867725.000000,,,,,-36412523245.000000,9879921.000000,,,,,,,,9879921.000000,,,,9879921.000000,87951117252.000000,10592807417.000000,,,100259171080.000000,198803095749.000000
12M 2020,212952460269.000000,445644565676.000000,6856181609.000000,-164848080844.000000,-41605894631.000000,,-33094311541.000000,,212952460269.000000,-157061499634.000000,22908000000.000000,,,,7630000.000000,,,19261567139.000000,-20000000.000000,-202399882282.000000,,,,3181185509.000000,-157061499634.000000,-118058704126.000000,-116000000000.000000,,,-2058704126.000000,,,,,,,,-118058704126.000000,-62167743491.000000,-30906535026.000000,,,198803095749.000000,105728817232.000000
12M 2021,69501000000.000000,608066000000.000000,7702000000.000000,-470639000000.000000,-41252000000.000000,,-34376000000.000000,,69501000000.000000,-433193000000.000000,,1468000000.000000,,,246000000.000000,,,,-21000000.000000,-434257000000.000000,,,,-629000000.000000,-433193000000.000000,593817000000.000000,,,,-2157000000.000000,595974000000.000000,,,,,,,593817000000.000000,230125000000.000000,,,,105729000000.000000,335854000000.000000
12M 2022,209194000000.000000,758661000000.000000,5813000000.000000,-456246000000.000000,-53977000000.000000,3485000000.000000,-48542000000.000000,,209194000000.000000,-280421000000.000000,,117000000.000000,,,799000000.000000,,,338000000.000000,,-281675000000.000000,,,,,-280421000000.000000,35112000000.000000,,37322000000.000000,,-2210000000.000000,,,,,,,,35112000000.000000,-36115000000.000000,,,,335854000000.000000,299739000000.000000
12M 2023,174839000000.000000,912172000000.000000,2946000000.000000,-604836000000.000000,-70079000000.000000,,-65005000000.000000,-359000000.000000,174839000000.000000,-698059000000.000000,,100000000.000000,,,148000000.000000,,,11000000.000000,-1399000000.000000,-696919000000.000000,,,,,-698059000000.000000,488860000000.000000,,500127000000.000000,-1250000000.000000,-2573000000.000000,,-7444000000.000000,,,,,,488860000000.000000,-34360000000.000000,,,,299739000000.000000,265379000000.000000
12M 2024,380482000000.000000,1035257000000.000000,2775000000.000000,-468083000000.000000,-83968000000.000000,170000000.000000,-105410000000.000000,-259000000.000000,380482000000.000000,-896248000000.000000,,,,,,,,1371000000.000000,-673000000.000000,-896946000000.000000,,,,,-896248000000.000000,522645000000.000000,,581265000000.000000,-1453000000.000000,-2337000000.000000,,-54830000000.000000,,,,,,522645000000.000000,6879000000.000000,,,3049000000.000000,265379000000.000000,275307000000.000000
