Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,156195271341.000000,-74539955154.000000,81655316187.000000,-35283752762.000000,-755377574.000000,-31838540321.000000,-2689834867.000000,-35283752762.000000,46371563425.000000,3164882958.000000,3404228922.000000,,,-239345964.000000,,3164882958.000000,49536446383.000000,-11526163357.000000,-10511240624.000000,-569100910.000000,-445821823.000000,-11526163357.000000,38010283026.000000,6809843251.000000,44820126277.000000,-1288052361.000000,43532073916.000000,44820126277.000000,44856927291.000000,-36801014.000000,44820126277.000000,43532073916.000000,43569908036.000000,-37834120.000000,43532073916.000000
12M 2018,223825470889.000000,-114052973800.000000,109772497089.000000,-39080579217.000000,-703759757.000000,-35818197013.000000,-2558622447.000000,-39080579217.000000,70691917872.000000,3696825956.000000,3701971889.000000,,,-5145933.000000,,3696825956.000000,74388743828.000000,-19080861172.000000,-18028299554.000000,-312167240.000000,-740394378.000000,-19080861172.000000,55307882656.000000,18038711793.000000,73346594449.000000,2455295256.000000,75801889705.000000,73346594449.000000,73379702116.000000,-33107667.000000,73346594449.000000,75801889705.000000,75829192406.000000,-27302701.000000,75801889705.000000
12M 2019,344752781258.000000,-186715451135.000000,158037330123.000000,-45628086469.000000,-243637043.000000,-41917503121.000000,-3466946305.000000,-45628086469.000000,112409243654.000000,3099194936.000000,3002934732.000000,,,96260204.000000,,3099194936.000000,115508438590.000000,-28685061979.000000,-27885927750.000000,-198547283.000000,-600586946.000000,-28685061979.000000,86823376611.000000,16209839929.000000,103033216540.000000,-2229026823.000000,100804189717.000000,103033216540.000000,102292537178.000000,740679362.000000,103033216540.000000,100804189717.000000,100062181024.000000,742008693.000000,100804189717.000000
12M 2020,475673416110.000000,-299120274111.000000,176553141999.000000,-31533310045.000000,-163765069.000000,-42215669853.000000,10846124877.000000,-31533310045.000000,145019831954.000000,8302658703.000000,8484344156.000000,-181685453.000000,,,,8302658703.000000,153322490657.000000,-34702708755.000000,-31909864360.000000,-1164681848.000000,-1628162547.000000,-34702708755.000000,118619781902.000000,3398276084.000000,122018057986.000000,-2782528753.000000,119235529233.000000,122018057986.000000,121777322430.000000,240735556.000000,122018057986.000000,119235529233.000000,118994793677.000000,240735556.000000,119235529233.000000
12M 2021,619942000000.000000,-418400000000.000000,201542000000.000000,-49083000000.000000,-258000000.000000,-47746000000.000000,-1079000000.000000,-49083000000.000000,152459000000.000000,9264000000.000000,9456000000.000000,-192000000.000000,,,,9264000000.000000,161723000000.000000,-37850000000.000000,-36027000000.000000,68000000.000000,-1891000000.000000,-37850000000.000000,123873000000.000000,,123873000000.000000,269000000.000000,124142000000.000000,123873000000.000000,123570000000.000000,303000000.000000,123873000000.000000,124142000000.000000,123839000000.000000,303000000.000000,124142000000.000000
12M 2022,822222000000.000000,-507962000000.000000,314260000000.000000,-81775000000.000000,-1455000000.000000,-76586000000.000000,-3734000000.000000,-81775000000.000000,232485000000.000000,4743000000.000000,5238000000.000000,-495000000.000000,,,,4743000000.000000,237228000000.000000,-51057000000.000000,-54147000000.000000,3090000000.000000,,-51057000000.000000,186171000000.000000,,186171000000.000000,-6905000000.000000,179266000000.000000,186171000000.000000,186054000000.000000,117000000.000000,186171000000.000000,179266000000.000000,179149000000.000000,117000000.000000,179266000000.000000
12M 2023,950409000000.000000,-525988000000.000000,424421000000.000000,-103063000000.000000,-2585000000.000000,-90752000000.000000,-9726000000.000000,-103063000000.000000,321358000000.000000,2531000000.000000,2890000000.000000,-359000000.000000,,,,2531000000.000000,323889000000.000000,-70624000000.000000,-73707000000.000000,3083000000.000000,,-70624000000.000000,253265000000.000000,,253265000000.000000,6546000000.000000,259811000000.000000,253265000000.000000,253100000000.000000,165000000.000000,253265000000.000000,259811000000.000000,259646000000.000000,165000000.000000,259811000000.000000
12M 2024,1016826000000.000000,-593917000000.000000,422909000000.000000,-113448000000.000000,-4037000000.000000,-100816000000.000000,-8595000000.000000,-113448000000.000000,309461000000.000000,-32978000000.000000,2775000000.000000,-259000000.000000,,,-35494000000.000000,-32978000000.000000,276483000000.000000,-44215000000.000000,-44128000000.000000,-87000000.000000,,-44215000000.000000,232268000000.000000,,232268000000.000000,5340000000.000000,237608000000.000000,232268000000.000000,232079000000.000000,189000000.000000,232268000000.000000,237608000000.000000,237418000000.000000,190000000.000000,237608000000.000000
