Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.83,324.36,0.83,324.36,217 B,546 B,763 B,398 B,690 B
12M 2009,1.01,405.92,1.01,405.92,354 B,514 B,867 B,560 B,852 B
12M 2010,1.90,478.05,1.90,478.05,304 B,571 B,875 B,632 B,493 B
12M 2011,1.06,546.03,1.06,546.03,664 B,30 B,694 B,142 B,502 B
12M 2012,2.70,651.83,2.70,651.83,201 B,624 B,824 B,(124 B),"1,431 B"
12M 2013,1.77,854.50,1.77,854.50,212 B,"1,248 B","1,459 B",(481 B),"2,558 B"
12M 2014,3.59,968.50,3.59,968.50,692 B,"1,328 B","2,020 B","1,208 B","2,415 B"
12M 2015,1.48,1447.36,1.48,1447.36,"1,115 B","1,753 B","2,869 B","(1,449 B)","5,277 B"
12M 2016,1.36,1525.83,1.36,1525.83,"2,844 B","1,428 B","4,272 B",907 B,"3,791 B"
12M 2017,1.15,1645.46,1.15,1645.46,"3,787 B","4,790 B","8,578 B","4,446 B","7,184 B"
12M 2018,0.90,1762.08,0.90,1762.08,"3,914 B","4,640 B","8,553 B","5,290 B","6,465 B"
12M 2019,0.61,1912.47,0.61,1912.47,"5,558 B","4,963 B","10,522 B","7,267 B","5,822 B"
12M 2020,0.99,1558.13,0.99,1558.13,"4,344 B","5,059 B","9,402 B","7,039 B","3,021 B"
12M 2021,0.57,1572.61,0.57,1572.61,"8,065 B","2,082 B","10,147 B","6,995 B",473 B
12M 2022,0.48,998.26,0.48,998.26,"4,412 B","5,568 B","9,980 B","5,643 B","4,975 B"
12M 2023,0.30,1024.74,0.30,1024.74,"6,319 B","5,285 B","11,604 B","7,100 B","3,599 B"
12M 2024,0.20,1075.39,0.20,1075.39,"4,290 B","4,163 B","8,454 B","6,210 B","2,469 B"
