Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,Penerimaan Restitusi Pajak,Penurunan (Kenaikan) Aset Lainnya,Kenaikan (Penurunan) Kewajiban Lainnya,Penurunan (Kenaikan) Jaminan,Adjustment,Peningkatan Rekening Bank Yang Dibatasi Penggunaannya,Pembayaran Kepada Pemasok Dan Beban Lainnya,Pembayaran Kepada Karyawan,Pembayaran Beban Pinjaman Dan Beban Keuangan Lainnya,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Divestasi Aset,Divestasi (Investasi) Saham,Penjualan Aset Tetap,Penjualan Aset Tetap,Dikurangi : Nilai Buku Penjualan Aktiva Tetap,Total Penjualan Aset Tetap,Investasi Jangka Panjang,Perolehan Aset Tetap,Perolehan Aset Real Estat,Kenaikan Hak Minoritas - Anak Perusahaan,Setoran Dana Ventura Bersama,Penempatan Investasi Pada Ventura Bersama,Pengembalian Investasi Pada Ventura Bersama,Penerimaan Bunga,Perolehan (Penempatan) Investasi Jangka Panjang,Divestasi Anak Perusahaan,Akuisisi Entitas Anak,Penurunan (Kenaikan) Investasi Pada Perusahaan Asosiasi,Penambahan Tanah Untuk Dikembangkan,Penambahan (Pengurangan) Modal,Penambahan Investasi Jangka Pendek,Penambahan Properti Investasi,Penambahan Aset Keuangan Dari Kontrak Konsesi,Penerimaan Dari Perpindahan Kepemilikan Aset Keuangan,Penempatan Kas Dan Setara Kas Dibatasi Penggunaannya,Pembelian Tanah,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Dan Obligasi,Penerimaan Pinjaman Bank Utang Bank Dan Lembaga Keuangan Lainnya,Penerimaan Utang Obligasi,Penerimaan Dari Sukuk,Pembayaran Pinjaman Bank Dan Obligasi,Pembayaran Utang Bank Dan Lembaga Keuangan Lainnya,Pembayaran Utang Obligasi,Pembayaran Ijarah,Penerimaan Utang Sukuk,Pembayaran Utang Sukuk,Pembayaran Surat Utang Jangka Menengah,Penambahan Utang Pembelian Kendaraan,Pembayaran Utang Pembelian Kendaraan,Tambahan Modal Atas Teasury Stock (Buy Back ),Pembayaran Liabilitas Sewa,Perubahan Ekuitas Pada Entitas Anak,Pembayaran Dividen,Pembayaran Beban Pinjaman,Pembayaran Kepada Unit Program Kemitraan Dan Bina Lingkunagan,Pembayaran Emisi Saham,Penerimaan Tambahan Setoran Modal,Penyertaan Saham Oleh Kepentingan Non Pengendali,Penerimaan Dari Penawaran Umum Terbatas Ii,Hasil Dari Penawaran Saham Perdana (Ipo) Anak Perusahaan,Penurunan(Kenaikan) Piutang Hubungan Istimewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Rekening Yang Dibatasi Penggunaannya,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-3306167857.000000,6267994164324.000000,4920530311.000000,,-89594506742.000000,157289861080.000000,,,,-5981435542055.000000,-184355368038.000000,-129952748551.000000,-48172558186.000000,-3306167857.000000,-82137873089.000000,,,,374199877.000000,,374199877.000000,,-51448159615.000000,,1499497296.000000,-37009246142.000000,,,,,,,11512493763.000000,,,-7066658268.000000,,,,,,-82137873089.000000,-321169977221.000000,711862743761.000000,,,,-1004815692391.000000,,,,,,,,,,,,-28217028591.000000,,,,,,,,,-321169977221.000000,-406614018167.000000,784297751668.000000,,-12779730761.000000,364904002740.000000
12M 2009,-150791957629.000000,6583063274882.000000,2400749640.000000,13750126872.000000,-22526064289.000000,236065722406.000000,8352545.000000,-8352545.000000,,-6542313893449.000000,-119091515541.000000,-133290768247.000000,-168849589903.000000,-150791957629.000000,-32995443277.000000,,,,60000000000.000000,,60000000000.000000,,-9072083723.000000,,-5947016232.000000,6259369795.000000,,,,,,,402261073.000000,,,-84637974190.000000,,,,,,-32995443277.000000,115991131517.000000,994119906980.000000,,,,-857147032998.000000,,,,,,,,,,,,-20981742465.000000,,,,,,,,,115991131517.000000,-67796269389.000000,364904002740.000000,,9794627605.000000,306902360956.000000
12M 2010,-30755924857.000000,6197750471054.000000,13327019038.000000,113800341091.000000,,,,,,-5976288520525.000000,-127474653109.000000,-121243794011.000000,-130626788395.000000,-30755924857.000000,-44768374332.000000,,,,,,,,-6410856722.000000,,,-31002144093.000000,,,,,,,,,,-7355373517.000000,,,,,,-44768374332.000000,10334152207.000000,1618252261776.000000,,,,-1558259209569.000000,,,,,,,,,,,,-49658900000.000000,,,,,,,,,10334152207.000000,-65190146982.000000,306902360957.000000,2496486352.000000,-2091079379.000000,242117620948.000000
12M 2011,519465969524.000000,5848702574321.000000,2346907361.000000,863387518.000000,,,,,,-4943946625758.000000,-142094061816.000000,-102719260665.000000,-143686951437.000000,519465969524.000000,-7901042018.000000,,-3600000000.000000,,6947399937.000000,,6947399937.000000,,-11248441955.000000,,,,,,,,,,,,,,,,,,,-7901042018.000000,-208378532479.000000,1078302068824.000000,,,,-1229835498961.000000,,,,,,,,,,,,-56845102342.000000,,,,,,,,,-208378532479.000000,303186395027.000000,242117620949.000000,3218214582.000000,3681042264.000000,552203272822.000000
12M 2012,241213698167.000000,6658081100627.000000,5521857832.000000,65879352803.000000,,,,,,-6030124085595.000000,-148773789492.000000,-99373216502.000000,-209997521506.000000,241213698167.000000,-110920961760.000000,,-4000000000.000000,,1762059638.000000,,1762059638.000000,,-108683021398.000000,,,,,,,,,,,,,,,,,,,-110920961760.000000,-4144736131.000000,699149841620.000000,,,,-690247173422.000000,,,,125000000000.000000,-125000000000.000000,,13602736781.000000,-8527930394.000000,40610192295.000000,,,-58732403011.000000,,,,,,,,,-4144736131.000000,374045752813.000000,552203272822.000000,4734763154.000000,17862052843.000000,948845841632.000000
12M 2013,562062507571.000000,11010917275014.000000,32515337279.000000,57270321234.000000,,,,,,-9911014980666.000000,-208316201353.000000,-146957614301.000000,-272351629636.000000,562062507571.000000,-298862240397.000000,12141500000.000000,21918840000.000000,,,,,,-100987927122.000000,,,,,,,,,,,,,,-231934653275.000000,,,,,-298862240397.000000,91018506068.000000,370656112761.000000,,,,-359776060958.000000,,,,125000000000.000000,,,2417665580.000000,-4961132501.000000,,,,-42318078814.000000,,,,,,,,,91018506068.000000,978456696097.000000,948845841632.000000,8774900030.000000,3882454880.000000,1939959892639.000000
12M 2014,-978231044800.000000,8353958635469.000000,33424985725.000000,192952448449.000000,,,,,,-8889675227475.000000,-218378193743.000000,-182602875367.000000,-267910817858.000000,-978231044800.000000,-587941144702.000000,,,1510862816.000000,,,1510862816.000000,,-244674145804.000000,-176629218536.000000,,,,,,,,,,,,,-168148643178.000000,,,,,-587941144702.000000,437583500863.000000,1496656000000.000000,,,,-936956000000.000000,,,,,,,,-323458823.000000,,,,-121793040314.000000,,,,,,,,,437583500863.000000,-1128588688639.000000,1939959892639.000000,40519392.000000,,811411723392.000000
12M 2015,241052341639.000000,8782214889020.000000,50306195851.000000,6381348428.000000,,,,,,-7856064226919.000000,-229466523817.000000,-228078693423.000000,-284240647501.000000,241052341639.000000,-224003058587.000000,,,280000000.000000,,,280000000.000000,-23950360000.000000,-200332698587.000000,,,,,,,,,,,,,,,,,,,-224003058587.000000,3489682454785.000000,1850263608995.000000,,,,-1000857625598.000000,,,,,,,,-2320826236.000000,,,,-64814602280.000000,,-6481427246.000000,-30972499410.000000,2744865826560.000000,,,,,3489682454785.000000,3506731737837.000000,811411723393.000000,,,4318143461230.000000
12M 2016,-1752901684638.000000,7800837974128.000000,162541568112.000000,483457861714.000000,,,,,,-9341020812610.000000,-256363302682.000000,-317449771839.000000,-284905201461.000000,-1752901684638.000000,-348987857404.000000,,,1391060000.000000,,,1391060000.000000,19159000000.000000,-369537917404.000000,,,,,,,,,,,,,,,,,,,-348987857404.000000,1149610522884.000000,4400992922960.000000,,,,-3153141206400.000000,,,,,,,,-1840779216.000000,,,,-93385904460.000000,,-3014510000.000000,,,,,,,1149610522884.000000,-952279019158.000000,4317347903384.000000,,-158394938.000000,3364910489288.000000
12M 2017,-3226995448375.000000,10484190791447.000000,103687762471.000000,265953529247.000000,,,,,,-12817807969844.000000,-319603030177.000000,-503194749968.000000,-440221781551.000000,-3226995448375.000000,-85924562921.000000,,,1439000000.000000,,,1439000000.000000,79018961051.000000,-166382523972.000000,,,,,,,,,,,,,,,,,,,-85924562921.000000,4079183303453.000000,7719737459041.000000,,,,-3539218495563.000000,,,,,,,,-372228115.000000,,,,-94035304967.000000,,-6928126943.000000,,,,,,,4079183303453.000000,766263292157.000000,3364910489288.000000,,,4131173781445.000000
