Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Retensi,Pihak Berelasi,Pihak Ketiga,Total Piutang Retensi,Tagihan Bruto Kepada Pemberi Kerja,Pihak Berelasi,Pihak Ketiga,Total Tagihan Bruto Kepada Pemberi Kerja,Piutang Pada Ventura Bersama,Pihak Berelasi,Pihak Ketiga,Total Piutang Pada Ventura Bersama,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Aset Real Estat,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Real Estat,Investasi Pada Entitas Asosiasi,Tanah Untuk Dikembangkan,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Bank,Pihak Berelasi,Pihak Ketiga,Total Utang Bank,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain Jangka Panjang,Utang Obligasi,Utang Sukuk,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,364904002740.000000,1116258629561.000000,374740551501.000000,741518078060.000000,1116258629561.000000,306740218158.000000,120390158401.000000,186350059757.000000,306740218158.000000,1596243555074.000000,707217056036.000000,889026499038.000000,1596243555074.000000,,,,,53695604276.000000,,,53695604276.000000,606987785297.000000,,608146616172.000000,4652976411278.000000,,,16320737207.000000,,61947516238.000000,,,166809583460.000000,50047081779.000000,177267211558.000000,472392130242.000000,5125368541520.000000,,,3955945644191.000000,,58083385179.000000,2297521458628.000000,2355604843807.000000,217249868999.000000,,,217249868999.000000,42143681688.000000,179709287486.000000,,,,,1168343214882.000000,3955945644191.000000,562418088475.000000,,,47275103058.000000,498313340689.000000,,,16829644728.000000,562418088475.000000,4518363732666.000000,,180132000000.000000,19143631284.000000,384320075836.000000,306189221583.000000,78130854253.000000,384320075836.000000,15620366544.000000,683482519.000000,599899556183.000000,5118263288849.000000,1801320000.000000
12M 2009,,,306902360957.000000,1333080711588.000000,352427308521.000000,980653403067.000000,1333080711588.000000,373942452505.000000,147031440533.000000,226911011972.000000,373942452505.000000,1906832729061.000000,964937443768.000000,941895285293.000000,1906832729061.000000,,,,,82255357000.000000,,,82255357000.000000,510173578566.000000,,691179171926.000000,5204366361603.000000,,,9811941013.000000,,61545255165.000000,,,128128294785.000000,2745561549.000000,222856921281.000000,425087973793.000000,5629454335396.000000,,,4352268432391.000000,,128185237843.000000,2721533277856.000000,2849718515699.000000,353740840321.000000,,,353740840321.000000,48079807415.000000,249232795285.000000,,,,,851496473671.000000,4352268432391.000000,536312892751.000000,,,14742419075.000000,498795243349.000000,,,22775230327.000000,536312892751.000000,4888581325142.000000,,180132000000.000000,19143631284.000000,528868066623.000000,366689974126.000000,162178092497.000000,528868066623.000000,9673350312.000000,3055962032.000000,740873010251.000000,5629454335393.000000,1801320000.000000
12M 2010,,,242117620949.000000,1092731325583.000000,632875562112.000000,459855763471.000000,1092731325583.000000,455586809149.000000,179261010174.000000,276325798975.000000,455586809149.000000,1502004187452.000000,867230973657.000000,634773213795.000000,1502004187452.000000,,,,,109068930959.000000,,109068930959.000000,109068930959.000000,61766216479.000000,,480557421091.000000,3943832511662.000000,,246090937851.000000,7347959012.000000,294653470110.000000,,11685761634.000000,44227628066.000000,186401376095.000000,,193456557845.000000,983863690613.000000,4927696202275.000000,,,3450703172062.000000,,83246706913.000000,2130987236953.000000,2214233943866.000000,304032612796.000000,,,304032612796.000000,74492267233.000000,196342541974.000000,,,,,661601806193.000000,3450703172062.000000,609238056719.000000,40000000000.000000,3705204704.000000,27518372679.000000,499298167869.000000,,,38716311467.000000,609238056719.000000,4059941228781.000000,,180132000000.000000,19143631284.000000,668355224933.000000,481318807376.000000,187036417557.000000,668355224933.000000,6641489449.000000,-6517372172.000000,867754973494.000000,4927696202275.000000,1801320000.000000
12M 2011,,,552203272822.000000,1023196725298.000000,344736272024.000000,678460453274.000000,1023196725298.000000,521577978673.000000,183234216814.000000,338343761859.000000,521577978673.000000,2344740788550.000000,1786378120803.000000,558362667747.000000,2344740788550.000000,,,,,112304991314.000000,,112304991314.000000,112304991314.000000,68562178399.000000,150018001274.000000,605055627102.000000,5377659563432.000000,,151474363368.000000,7372345166.000000,116054362481.000000,,9411872245.000000,24945143420.000000,220861285831.000000,,205174655183.000000,735294027694.000000,6112953591126.000000,,,4875487799722.000000,,103360316899.000000,3029135706786.000000,3132496023685.000000,,164517279999.000000,,164517279999.000000,58219886358.000000,260574795409.000000,,499780070529.000000,,499780070529.000000,759899743742.000000,4875487799722.000000,247098000816.000000,27500000000.000000,,2048172442.000000,,,,217549828374.000000,247098000816.000000,5122585800538.000000,,180132000000.000000,19143631284.000000,790783857101.000000,611115099824.000000,179668757277.000000,790783857101.000000,6791167788.000000,-6482865585.000000,990367790588.000000,6112953591126.000000,1801320000.000000
12M 2012,,,948845841632.000000,1343155699664.000000,343331721579.000000,999823978085.000000,1343155699664.000000,609382678213.000000,225791516387.000000,383591161826.000000,609382678213.000000,2611383169342.000000,1419676267494.000000,1191706901848.000000,2611383169342.000000,379559167453.000000,233050144714.000000,146509022739.000000,379559167453.000000,,,,,116551887804.000000,405787036612.000000,868431992164.000000,7283097472884.000000,,6240556437.000000,,51795609079.000000,,9411872245.000000,237038558059.000000,187437135676.000000,,97052431088.000000,588976162584.000000,7872073635468.000000,,,5852574120387.000000,,355164497508.000000,3921525797862.000000,4276690295370.000000,200919948197.000000,,,200919948197.000000,146667707508.000000,260508228711.000000,,,,,967787940601.000000,5852574120387.000000,838580545389.000000,,,817705040.000000,622738517856.000000,125000000000.000000,,90024322493.000000,838580545389.000000,6691154665776.000000,,180132000000.000000,50004090079.000000,943641848160.000000,734498675143.000000,209143173017.000000,943641848160.000000,6772998398.000000,368033055.000000,1180918969692.000000,7872073635468.000000,1801320000.000000
12M 2013,,,1939959892639.000000,1503438150041.000000,216425341533.000000,1287012808508.000000,1503438150041.000000,779932202378.000000,413798247589.000000,366133954789.000000,779932202378.000000,2453083425073.000000,1507378794101.000000,945704630972.000000,2453083425073.000000,421714584453.000000,267561277652.000000,154153306801.000000,421714584453.000000,,,,,161559750775.000000,896284552057.000000,943494249593.000000,9099466807009.000000,,6492998787.000000,,21932353413.000000,,,196697458123.000000,271256911163.000000,,125115235927.000000,621494957413.000000,9720961764422.000000,,,6541657147336.000000,,330715825328.000000,4436703736796.000000,4767419562124.000000,211800000000.000000,,,211800000000.000000,259695783516.000000,259600358425.000000,,,,,1043141443271.000000,6541657147336.000000,1630841824515.000000,,,526424707.000000,1246976440710.000000,250000000000.000000,,133338959098.000000,1630841824515.000000,8172498971851.000000,,180132000000.000000,50004090079.000000,1307300570392.000000,903770990399.000000,403529579993.000000,1307300570392.000000,9234110806.000000,1792021294.000000,1548462792571.000000,9720961764422.000000,1801320000.000000
12M 2014,,,811411723393.000000,1953900412991.000000,258397773214.000000,1695502639777.000000,1953900412991.000000,941745923565.000000,554351047079.000000,387394876486.000000,941745923565.000000,2617233021628.000000,1187417011461.000000,1429816010167.000000,2617233021628.000000,318404530704.000000,169365729670.000000,149038801034.000000,318404530704.000000,,,,,132013517468.000000,1089412066524.000000,1620177711652.000000,9484298907925.000000,,36374118437.000000,,5132984482.000000,,,356221665867.000000,496095844221.000000,14733917.000000,80743429425.000000,974582776349.000000,10458881684274.000000,,,7069703612022.000000,,23150723308.000000,4900061986106.000000,4923212709414.000000,692000000000.000000,,,692000000000.000000,279847706524.000000,348933582604.000000,,,,,825709613480.000000,7069703612022.000000,1637634722608.000000,79500000000.000000,,400440917.000000,1247628720991.000000,250000000000.000000,,60105560700.000000,1637634722608.000000,8707338334630.000000,,180132000000.000000,50004090079.000000,1509578892375.000000,1187954751131.000000,321624141244.000000,1509578892375.000000,6959023043.000000,4869344147.000000,1751543349644.000000,10458881684274.000000,1801320000.000000
12M 2015,,,4317347903384.000000,2231747915506.000000,300036993527.000000,1931710921979.000000,2231747915506.000000,1079643851019.000000,635633508744.000000,444010342275.000000,1079643851019.000000,3093132927328.000000,973087318057.000000,2120045609271.000000,3093132927328.000000,,,,,,,,,162650778629.000000,1557347649217.000000,2249281472358.000000,14691152497441.000000,,6396900359.000000,,47757602787.000000,,,329881126825.000000,1099426730319.000000,,586448657148.000000,2069911017438.000000,16761063514879.000000,,,9414462014334.000000,,13960196994.000000,6475349377274.000000,6489309574268.000000,1115499100000.000000,,,1115499100000.000000,435488344468.000000,326019655515.000000,,,,,1048145340083.000000,9414462014334.000000,2184469703709.000000,504736874400.000000,,285556515.000000,1248298729988.000000,250000000000.000000,2111695802.000000,179036847004.000000,2184469703709.000000,11598931718043.000000,,356084937600.000000,2587944479627.000000,1789885132121.000000,1452215456967.000000,337669675154.000000,1789885132121.000000,8304558710.000000,419912688778.000000,5162131796836.000000,16761063514879.000000,3560849376.000000
12M 2016,,,3364910489288.000000,2906997989330.000000,496818405799.000000,2410179583531.000000,2906997989330.000000,1064030808014.000000,672807468546.000000,391223339468.000000,1064030808014.000000,5831056622974.000000,1974754155951.000000,3856302467023.000000,5831056622974.000000,,,,,,,,,131016052721.000000,2145441813829.000000,1391954298912.000000,16835408075068.000000,,20960345041.000000,,744015538151.000000,,,354541896708.000000,1459815811733.000000,,680694292578.000000,3260027884211.000000,20095435959279.000000,,,12919369547114.000000,,352296853000.000000,8020404222280.000000,8372701075280.000000,2344158690960.000000,,,2344158690960.000000,387638614371.000000,351922306484.000000,,374855721333.000000,,374855721333.000000,1213093138686.000000,12919369547114.000000,1608286449267.000000,428929000000.000000,,82668090.000000,874095288938.000000,125000000000.000000,19073405641.000000,161106086598.000000,1608286449267.000000,14527655996381.000000,,356084937600.000000,2588834418817.000000,1997136966941.000000,1808381348947.000000,188755617994.000000,1997136966941.000000,9523997937.000000,491199641603.000000,5442779962898.000000,19970435959279.000000,3560849376.000000
12M 2017,,,4131173781445.000000,2922807904442.000000,826325518931.000000,2096482385511.000000,2922807904442.000000,816411246367.000000,418418434516.000000,397992811851.000000,816411246367.000000,11327640638767.000000,2853739258191.000000,8473901380576.000000,11327640638767.000000,,,,,13080000000.000000,,,13080000000.000000,3683144505036.000000,,1923413125022.000000,24817671201079.000000,,5460676079.000000,,712920526677.000000,,,354844126484.000000,1520930722412.000000,,921120760219.000000,3515276811871.000000,28332948012950.000000,,,17508289239294.000000,,788846405033.000000,10822123994944.000000,11610970399977.000000,3537107100000.000000,,,3537107100000.000000,381374773134.000000,644718072776.000000,,124986210993.000000,,124986210993.000000,1334132682414.000000,17508289239294.000000,4829741347659.000000,925000000000.000000,,34799587.000000,3740464353715.000000,,17827320543.000000,146414873814.000000,4829741347659.000000,22338030586953.000000,,356084937600.000000,2588834418817.000000,2445826246759.000000,2027797060535.000000,418029186224.000000,2445826246759.000000,10671872460.000000,468499950361.000000,5869917425997.000000,28207948012950.000000,3560849376.000000
