Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Laba Kotor Setelah Ventura Bersama,Total Beban Usaha,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,6639941610900.000000,-6095668546767.000000,544273064133.000000,572520652428.000000,-324593805942.000000,374199877.000000,-12779730761.000000,-186268714706.000000,-18344183582.000000,-107575376770.000000,-324593805942.000000,247926846486.000000,-125387708222.000000,4565040329.000000,,-129952748551.000000,-129952748551.000000,,-125387708222.000000,122539138264.000000,-39544777886.000000,-69464993715.000000,29920215829.000000,,-39544777886.000000,82994360378.000000,-1511865370.000000,81482495008.000000,,,81482495008.000000,82994360378.000000,-1511865370.000000,81482495008.000000,,,,
12M 2009,7714613580798.000000,-7059134834802.000000,655478745996.000000,751880195413.000000,-289216827997.000000,44398449174.000000,9794627605.000000,-198372128244.000000,-16688716364.000000,-128349060168.000000,-289216827997.000000,462663367416.000000,-130890018607.000000,2400749640.000000,,-133290768247.000000,-133290768247.000000,,-130890018607.000000,331773348809.000000,-168849589903.000000,-156787818519.000000,-12061771384.000000,,-168849589903.000000,162923758906.000000,2605974346.000000,165529733252.000000,,,165529733252.000000,162923758906.000000,2605974346.000000,165529733252.000000,,,,
12M 2010,5674980407618.000000,-4964348195778.000000,710632211840.000000,769110357146.000000,-328875450553.000000,,-2091079379.000000,-201300768603.000000,-16975162082.000000,-108508440489.000000,-328875450553.000000,440234906593.000000,-119414555855.000000,13327019038.000000,,-132741574893.000000,-132741574893.000000,,-119414555855.000000,320820350738.000000,-130626788395.000000,-128427480739.000000,-2199307656.000000,,-130626788395.000000,190193562343.000000,-709923732.000000,189483638611.000000,,,189483638611.000000,190193562343.000000,-709923732.000000,189483638611.000000,,,,
12M 2011,6695112327923.000000,-5960704136739.000000,734408191184.000000,799042008389.000000,-387844836772.000000,6947399937.000000,3681042264.000000,-222858655338.000000,-20186201712.000000,-155428421923.000000,-387844836772.000000,411197171617.000000,-84817498142.000000,2346907361.000000,-87164405503.000000,,-87164405503.000000,,-84817498142.000000,326379673475.000000,-143686951437.000000,-143686951437.000000,,,-143686951437.000000,182692722038.000000,,182692722038.000000,,182727228625.000000,182692722038.000000,182115978331.000000,576743707.000000,182692722038.000000,182727228625.000000,182150484918.000000,576743707.000000,182727228625.000000
12M 2012,7627702794424.000000,-6671814610136.000000,955888184288.000000,1043219616667.000000,-536900079749.000000,1310245428.000000,17862052843.000000,-230072162575.000000,-20751360516.000000,-305248854929.000000,-536900079749.000000,506319536918.000000,-83004482945.000000,5521857832.000000,-86224474096.000000,,-86224474096.000000,-2301866681.000000,-83004482945.000000,423315053973.000000,-209997521506.000000,,,,-209997521506.000000,213317532467.000000,,213317532467.000000,,213651124618.000000,213317532467.000000,211590394070.000000,1727138397.000000,213317532467.000000,213651124618.000000,211923986221.000000,1727138397.000000,213651124618.000000
12M 2013,9799598396362.000000,-8606443802782.000000,1193154593580.000000,1247711384472.000000,-457524821148.000000,10164308376.000000,110166380494.000000,-309989767553.000000,-18970980411.000000,-248894762054.000000,-457524821148.000000,790186563324.000000,-75821920641.000000,32515337279.000000,-107918678613.000000,,-107918678613.000000,-418579307.000000,-75821920641.000000,714364642683.000000,-305926729229.000000,,,,-305926729229.000000,408437913454.000000,,408437913454.000000,,409861901693.000000,408437913454.000000,405976801046.000000,2461112408.000000,408437913454.000000,409861901693.000000,407400789285.000000,2461112408.000000,409861901693.000000
12M 2014,8653578309020.000000,-7655376741694.000000,998201567326.000000,1016588266790.000000,-311746587477.000000,183424566.000000,100096399242.000000,-361178821874.000000,,-50847589411.000000,-311746587477.000000,704841679313.000000,-110289034773.000000,33424985725.000000,-136530244593.000000,,-136530244593.000000,-7183775905.000000,-110289034773.000000,594552644540.000000,-267896083942.000000,,,,-267896083942.000000,326656560598.000000,,326656560598.000000,,326616041206.000000,326656560597.000000,324071362296.000000,2585198301.000000,326656560597.000000,326616041205.000000,324030842904.000000,2585198301.000000,326616041205.000000
12M 2015,9389570098578.000000,-8414925778081.000000,974644320497.000000,1006723835969.000000,-174579544902.000000,128572715.000000,164838287080.000000,-395493571770.000000,,55947167073.000000,-174579544902.000000,832144291067.000000,-86053193887.000000,50664825987.000000,-136718019874.000000,,-136718019874.000000,,-86053193887.000000,746091097180.000000,-281065549175.000000,,,,-281065549175.000000,465025548005.000000,,465025548005.000000,,878753954012.000000,465025548006.000000,463685278990.000000,1340269016.000000,465025548006.000000,878753954013.000000,877408418346.000000,1345535667.000000,878753954013.000000
12M 2016,11063942850707.000000,-9948797443385.000000,1115145407322.000000,1184569799179.000000,-313988110783.000000,,,-433904804042.000000,-22073899516.000000,141990592775.000000,-313988110783.000000,870581688396.000000,-257959232782.000000,,-257959232782.000000,,-257959232782.000000,,-257959232782.000000,612622455614.000000,-297514672479.000000,,,,-297514672479.000000,315107783135.000000,,315107783135.000000,,404656636221.000000,315107783135.000000,313451016555.000000,1656766580.000000,315107783135.000000,404656636221.000000,402999869641.000000,1656766580.000000,404656636221.000000
12M 2017,15156178074776.000000,-13098371731392.000000,2057806343384.000000,2288748285488.000000,-886703418101.000000,,,-553999254807.000000,-27077479789.000000,-305626683505.000000,-886703418101.000000,1402044867387.000000,-444763237629.000000,,-444763237629.000000,,-444763237629.000000,,-444763237629.000000,957281629758.000000,-440221781551.000000,-1923266902.000000,,-438298514649.000000,-440221781551.000000,517059848207.000000,,517059848207.000000,,524579489861.000000,517059848207.000000,515415315215.000000,1644532992.000000,517059848207.000000,524579489861.000000,522934956869.000000,1644532992.000000,524579489861.000000
