Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Investasi Jangka Pendek,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Tagihan Bruto Kepada Pemberi Kerja,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Hak Pengusahaan Jalan Tol,Aset Tetap,Aset Tak Berwujud,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Liabilitas Keuangan Lainnya,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Tagihan Bruto Kepada Pemberi Kerja,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Kontraktor,Utang Obligasi,Utang Lain Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Kontraktor,Utang Obligasi,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Utang Pihak Berelasi,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,78490346106.000000,,,,,39133101.000000,14049464150.000000,,,14049464150.000000,,2614532797.000000,95193476154.000000,,,,2531425458594.000000,,47681582961.000000,8462540662.000000,108344865569.000000,2695914447786.000000,2791107923940.000000,,,1190096725378.000000,29966523369.000000,,,29966523369.000000,,,,,,,17048982219.000000,,,,,,,951334089270.000000,70036277900.000000,99219328921.000000,1300504030.000000,,1121890200121.000000,21191019669.000000,1190096725378.000000,128451138673.000000,,,,12761539175.000000,99219328921.000000,,111980868096.000000,,,,,,,,,,,,16470270577.000000,128451138673.000000,1318547864051.000000,,1000000000000.000000,,,,391851886991.000000,348551886991.000000,43300000000.000000,391851886991.000000,57133603872.000000,23574569026.000000,1472560059889.000000,2791107923940.000000,2000000000.000000
12M 2009,,,96772182520.000000,,,,,82017758115.000000,4031045176.000000,,,4031045176.000000,,2549752069.000000,185370737880.000000,,,,2433540571810.000000,,45757442961.000000,16900935352.000000,112060603735.000000,2608259553858.000000,2793630291738.000000,,,200623611438.000000,21741383522.000000,,,21741383522.000000,,,,,,,15312992004.000000,,,,,,,33333333334.000000,27498120227.000000,99219328921.000000,1808151030.000000,,161858933512.000000,1710302400.000000,200623611438.000000,1059077984797.000000,,615413958786.000000,29538430183.000000,24729662279.000000,,,669682051248.000000,,,,,,,,,,,374699636886.000000,14696296663.000000,1059077984797.000000,1259701596235.000000,,1000000000000.000000,,,,460949748516.000000,415207477174.000000,45742271342.000000,460949748516.000000,49401607125.000000,23577339862.000000,1533928695503.000000,2793630291738.000000,2000000000.000000
12M 2010,,,405442681540.000000,,,,,47348294.000000,8225372642.000000,,,8225372642.000000,,1094157118.000000,414809559594.000000,,,,2359263128270.000000,,45757442961.000000,,56502788137.000000,2461523359368.000000,2876332918962.000000,,,136211940716.000000,34586157571.000000,,,34586157571.000000,,,,,,,11270130733.000000,,,,,,,25388799541.000000,61070606090.000000,,2613519981.000000,,89072925612.000000,1282726800.000000,136211940716.000000,927144756246.000000,,884323639828.000000,,27459081370.000000,,,911782721198.000000,746486678.000000,,,,,,,,,,,14615548370.000000,927144756246.000000,1063356696962.000000,,1000000000000.000000,,,,744093509640.000000,694851238298.000000,49242271342.000000,744093509640.000000,45299928141.000000,23582784219.000000,1812976222000.000000,2876332918962.000000,2000000000.000000
12M 2011,,,722030535418.000000,2670093275.000000,,,2670093275.000000,,6691894633.000000,,,6691894633.000000,,1842593617.000000,733235116943.000000,,,,2268542460622.000000,,45757442961.000000,1789566541.000000,149270460183.000000,2465359930307.000000,3198595047250.000000,,,119845480605.000000,63490162324.000000,,,63490162324.000000,,,,,,,10264127820.000000,,,,,,,17708790182.000000,25881317570.000000,,1645931509.000000,,45236039261.000000,855151200.000000,119845480605.000000,918008763047.000000,,875955337885.000000,,27203278792.000000,,,903158616677.000000,,,,,,,,,,,,14850146370.000000,918008763047.000000,1037854243652.000000,,1000000000000.000000,,,,1086221211594.000000,1022065788713.000000,64155422881.000000,1086221211594.000000,50950159222.000000,23569432782.000000,2160740803598.000000,3198595047250.000000,2000000000.000000
12M 2012,,,1102959307676.000000,964558909.000000,,,964558909.000000,20000000000.000000,7186708906.000000,,,7186708906.000000,,1906671168.000000,1133017246659.000000,,,2194835902129.000000,239986909732.000000,,45757442961.000000,,145511196581.000000,2626091451403.000000,3759108698062.000000,,,124262480783.000000,55220994750.000000,,,55220994750.000000,,,,,,,30067133363.000000,,,,,,,5208790182.000000,24208076573.000000,,2773878144.000000,,32190744899.000000,6783607771.000000,124262480783.000000,1123512243261.000000,,853960489520.000000,,244647956583.000000,,,1098608446103.000000,1946897016.000000,,,,,,,,,,,22956900142.000000,1123512243261.000000,1247774724044.000000,,1000000000000.000000,,,,1440540263422.000000,1359090727397.000000,81449536025.000000,1440540263422.000000,47224277814.000000,23569432782.000000,2511333974018.000000,3759108698062.000000,2000000000.000000
12M 2013,,,1681299216493.000000,212621298.000000,,,212621298.000000,,17985065146.000000,1597488743.000000,16387576403.000000,17985065146.000000,,6190014281.000000,1705686917218.000000,,164009059834.000000,2465242928967.000000,325067921494.000000,,40362652041.000000,,82833514664.000000,3077516077000.000000,4783202994218.000000,,,446178192477.000000,32780561158.000000,,,32780561158.000000,,,,,,,14862425973.000000,,,,,,,359147454544.000000,22445583420.000000,,4116928734.000000,,385709966698.000000,12825238648.000000,446178192477.000000,1083454749049.000000,,464635262800.000000,,,601061761790.000000,,1065697024590.000000,1933393232.000000,,,,,,,,,,,15824331227.000000,1083454749049.000000,1529632941526.000000,,1100000000000.000000,180100000000.000000,,180100000000.000000,1870958796894.000000,1789509260869.000000,81449536025.000000,1870958796894.000000,102511255798.000000,,3253570052692.000000,4783202994218.000000,2200000000.000000
12M 2014,,,2024168577497.000000,22698381164.000000,19341750132.000000,3356631032.000000,22698381164.000000,1000000000.000000,4163897840.000000,2804924975.000000,1358972865.000000,4163897840.000000,,93682562522.000000,2145713419023.000000,,113610882110.000000,2677608944041.000000,183249896794.000000,,39344831219.000000,924625181.000000,137655971445.000000,3152395150790.000000,5298108569813.000000,,,541846135052.000000,159943191911.000000,,,159943191911.000000,45206170904.000000,,25815505042.000000,,25815505042.000000,507076265.000000,20773225222.000000,,,,,,,185696813374.000000,,,7790927932.000000,,193487741306.000000,96113224402.000000,541846135052.000000,1032274441811.000000,,384965154146.000000,,,587269150865.000000,,972234305011.000000,42119225485.000000,,,,,,,,,,,17920911315.000000,1032274441811.000000,1574120576863.000000,,1100000000000.000000,180100000000.000000,,180100000000.000000,2300862737495.000000,219999536025.000000,2080863201470.000000,2300862737495.000000,143025255455.000000,,3723987992950.000000,5298108569813.000000,2200000000.000000
12M 2015,,,1787564868888.000000,82833680633.000000,75472565107.000000,7361115526.000000,82833680633.000000,,5187980983.000000,3029008118.000000,2158972865.000000,5187980983.000000,,102376835365.000000,1977963365869.000000,,115654096320.000000,3054713087632.000000,206518883473.000000,,664801248078.000000,2952409336.000000,164480631626.000000,4209120356465.000000,6187083722334.000000,,,687085252460.000000,399069000177.000000,,,399069000177.000000,,,29006455416.000000,,29006455416.000000,,21272034388.000000,,,,,,,10655447137.000000,,,1273197780.000000,,11928644917.000000,225809117562.000000,687085252460.000000,1328115582266.000000,,688309771706.000000,,,594119171977.000000,,1282428943683.000000,35821282975.000000,,,,,,,,,,,9865355608.000000,1328115582266.000000,2015200834726.000000,,1375000000000.000000,1398570338785.000000,,1398570338785.000000,1246586412482.000000,219999536025.000000,1026586876457.000000,1246586412482.000000,151726136341.000000,,4171882887608.000000,6187083722334.000000,2750000000.000000
12M 2016,,,1689777458730.000000,68737531038.000000,68737531038.000000,,68737531038.000000,,674328323964.000000,673169351099.000000,1158972865.000000,674328323964.000000,,186344197471.000000,2619187511203.000000,,113694777893.000000,4074622707120.000000,158323080379.000000,,692525606030.000000,3045167212.000000,276520768543.000000,5318732107177.000000,7937919618380.000000,,,909380414118.000000,396126816583.000000,,,396126816583.000000,,,44008994902.000000,,44008994902.000000,,60538009592.000000,,,,,,,18340637619.000000,,,2832376040.000000,,21173013659.000000,387533579382.000000,909380414118.000000,2345141947767.000000,,1346630956619.000000,,,593284966099.000000,,1939915922718.000000,23835521717.000000,,,,,,,,,,,381390503332.000000,2345141947767.000000,3254522361885.000000,,1375000000000.000000,1398570338785.000000,,1398570338785.000000,1739704645769.000000,219999536025.000000,1519705109744.000000,1739704645769.000000,170122271941.000000,,4683397256495.000000,7937919618380.000000,2750000000.000000
12M 2017,,,2829143844280.000000,81804969200.000000,81804969200.000000,,81804969200.000000,,918307594460.000000,917148621595.000000,1158972865.000000,918307594460.000000,,100016243563.000000,3929272651503.000000,,117895214497.000000,5610544291133.000000,174102027220.000000,,580670509449.000000,15593037916.000000,308830326066.000000,6807635406281.000000,10736908057784.000000,,,1448576774143.000000,733646543327.000000,,,733646543327.000000,168162412899.000000,,227549374899.000000,,227549374899.000000,,60446387332.000000,,,,,,,37669381040.000000,,,2477415231.000000,,40146796271.000000,218625259415.000000,1448576774143.000000,3699694420092.000000,,2909885182140.000000,,,592895786703.000000,,3502780968843.000000,24854019559.000000,,,,,,,,,,,172059431690.000000,3699694420092.000000,5148271194235.000000,,1672915972000.000000,2047749313383.000000,,2047749313383.000000,1436197915857.000000,232712459712.000000,1203485456145.000000,1436197915857.000000,431773662309.000000,,5588636863549.000000,10736908057784.000000,2750000000.000000
