Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pendapatan Tol,Penerimaan Kas Dari Pendapatan Konstruksi,Penerimaan Kas Dari Pendapatan Sewa,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Kontraktor Dan Pemasok,Penerimaan Kas Dari Pendapatan Jasa Pengoperasian Tol,Adjustment,Penerimaan Bunga,Pembayaran Biaya Pendanaan,Pembayaran Utang Lain-Lain,Penerimaan (Penambahan) Piutang Lain-Lain,Penerimaan Klaim,Penerimaan Tagihan Pajak,Pembayaran Pajak Final,Pembayaran Pajak Penghasilan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Properti Investasi,Penambahan Properti Investasi,Penerimaan Investasi Jangka Pendek,Penempatan Investasi Jangka Pendek,Penambahan (Pengurangan) Aset Lain-Lain,Dana Yang Dibatasi Penggunaannya,Pencairan Rekening Bank Yang Dibatasi Penggunaannya,Pencairan (Penambahan) Deposito Berjangka Yang Dibatasi Penggunaannya,Penerimaan Dividen,Pembayaran Uang Muka Pembelian Aset Tetap,Penambahan Saham Pada Entitas Asosiasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Dana Talangan,Pembayaran Uang Muka Proyek,Pembayaran Liabilitas Atas Aset Tetap,Penerimaan Dari Pendapatan Bunga,Perolehan Proyek Dalam Penyelesaian,Penambahan Aset Tidak Lancar Lainnya,Penambahan Hak Pengusahaan Jalan Tol,Pembayaran Liabilitas Atas Hak Pengusahaan Jalan Tol,Pembayaran Uang Muka Untuk Perusahaan Jalan Tol,Penambahan Penyertaan Saham,Penjualan Saham Perusahaan Asosiasi,Penambahan Beban Ditangguhkan,Pembayaran Utang Sewa Pembiayaan,Penambahan (Penurunan) Hutang Kontraktor,Pembayaran Uang Ganti Kerugian Pengadaan Tanah,Pengembalian Uang Ganti Kerugian Pengadaan Tanah,Biaya Pinjaman Yang Dibayar Yang Dikapitalisasi Ke Dalam Hak Pengusahaan Jalan Tol,Penambahan (Penurunan) Piutang Hubungan Istimewa,Penempatan Investasi Asuransi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Lain-Lain,Penerimaan (Penambahan) Piutang Lain-Lain,Penerimaan Utang Bank,Pembayaran Utang Bank,Perolehan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Panjang,Pembayaran Utang Kepada Pemerintah,Peningkatan Utang Pihak Berelasi,Biaya Restrukturisasi Utang,Pembayaran Obligasi,Hutang Peralatan Tol,Pembayaran Dividen,Penerimaan Dividen,Penyelesaian Pembelian Aset Tetap,Liabilitas Jangka Panjang Lainnya,Peningkatan Modal Disetor,Penerimaan Atas Penambahan Modal Perusahaan,Penerimaan Dari Pelaksanaan Waran Menjadi Saham Biasa,Perolehan Utang Pemegang Saham,Pembayaran Utang Ke Pemegang Saham,Penerimaan Uang Muka Setoran Modal Anak Perusahaan Dari Kepentingan Non-Pengendali,Penerimaan Dari Tambahan Penerbitan Saham Di Entitas Anak Oleh Pihak Nonpengendali,Pembayaran Pinjaman Entitas Anak Dari Nonpengendali,Pembayaran Utang Sewa Pembiayaan,Penerimaan Kepentingan Non Pengendali,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,188001404715.000000,589123756113.000000,,,-243176047565.000000,,,,7339680751.000000,-107147630709.000000,,,,,,-58138353875.000000,,188001404715.000000,-195037864042.000000,,,,,,,,,,,,2645908336.000000,-197683772378.000000,,,,,,,,,,,,,,,,,,,,-195037864042.000000,-66283984067.000000,,,125668399159.000000,-90000000000.000000,,,,,,,,-102000000000.000000,,,47616774.000000,,,,,,,,,,,,,,-66283984067.000000,-73320443394.000000,151659034546.000000,151754954.000000,,78490346106.000000
12M 2009,276077557907.000000,628883181725.000000,,,-225785025184.000000,,,,5758949058.000000,-63318578538.000000,,,,,,-69460969154.000000,,276077557907.000000,-108144050294.000000,,,,-81975854178.000000,,-9482187558.000000,,,,,,1339635003.000000,-18025643561.000000,,,,,,,,,,,,,,,,,,,,-108144050294.000000,-149470583389.000000,12092987638.000000,,91666666666.000000,-100000000000.000000,,,,,,,-31361412851.000000,-100000000000.000000,,-18000000000.000000,50183779.000000,-3386643199.000000,,,,,,,,,,-532365422.000000,,,-149470583389.000000,18462924224.000000,78490346106.000000,-181087810.000000,,96772182520.000000
12M 2010,424538764007.000000,749935525016.000000,,,-227564311077.000000,,,,17639575108.000000,-48032072204.000000,,4786661476.000000,,,,-72226614312.000000,,424538764007.000000,70961942675.000000,,,81975854178.000000,,,-19724383219.000000,,,,,,440000000.000000,-21822587198.000000,,,,,,,,,,,30093058914.000000,,,,,,,,,70961942675.000000,-186694344489.000000,-1295083972.000000,,,-62500000000.000000,,,,,,,,-100000000000.000000,,-20000000000.000000,77467467.000000,,,,,,,,,,,-2976727984.000000,,,-186694344489.000000,308806362193.000000,96772182520.000000,-135863173.000000,,405442681540.000000
12M 2011,428563837743.000000,803017915094.000000,,,-282974359845.000000,,,,29018057473.000000,-49771587170.000000,,-1136615266.000000,,,,-69589572543.000000,,428563837743.000000,-79237490944.000000,,,33996857.000000,,-42750000000.000000,-17545154761.000000,,,,,,705000000.000000,-19681333040.000000,,,,,,,,,,,,,,,,,,,,-79237490944.000000,-32522549309.000000,-993984240.000000,,,-23220372096.000000,,,,,,,,,,-14913151539.000000,75265378.000000,,,,,,,,,,,-3220306812.000000,9750000000.000000,,-32522549309.000000,316803797490.000000,405442681540.000000,-215943612.000000,,722030535418.000000
12M 2012,530006591540.000000,892739507016.000000,,18100137763.000000,-291818238428.000000,,,,37795655105.000000,-50800342908.000000,-1269716292.000000,6828928872.000000,,,,-81569339588.000000,,530006591540.000000,-72817147685.000000,,,-20000000000.000000,,42750000000.000000,-28429016.000000,,,,,,,-56528956623.000000,,,,,-4134762046.000000,,,,,-34875000000.000000,,,,,,,,,,-72817147685.000000,-76762917205.000000,,,,-39134342023.000000,,,,,,,,,,-36000000000.000000,,,,,,,,,,,,-1628575182.000000,,,-76762917205.000000,380426526650.000000,722030535418.000000,502245608.000000,,1102959307676.000000
12M 2013,488719471708.000000,928598867752.000000,26256674340.000000,5920826791.000000,-378168309712.000000,,,,73523839844.000000,-48144174275.000000,-4994301026.000000,4408140862.000000,,,,-118682092868.000000,,488719471708.000000,-209021985770.000000,3236805400.000000,,20000000000.000000,,,-6085881029.000000,,,,,,22062925104.000000,-125265931071.000000,,,,,-3969904174.000000,,,,,-119000000000.000000,,,,,,,,,,-209021985770.000000,307101515736.000000,,,,-38159254305.000000,,,,,,,,,,,,,,280100000000.000000,,,,,,,,-2339229959.000000,67500000000.000000,,307101515736.000000,586799001674.000000,1102959307676.000000,-8459092857.000000,,1681299216493.000000
12M 2014,559360425704.000000,1035107587081.000000,90116584623.000000,2167466108.000000,-529025020551.000000,,,,107314134367.000000,-48654644373.000000,,,10975278027.000000,,,-108640959578.000000,,559360425704.000000,-202326727412.000000,3592672800.000000,,,-1000000000.000000,,,,-70000000000.000000,1206572019.000000,-13965000.000000,,8016024410.000000,-36005427765.000000,,,,,,-3532456963.000000,-88260926907.000000,,,-24750000000.000000,,,,,-495234220006.000000,503655000000.000000,,,,-202326727412.000000,-7519224751.000000,,,,-42174228186.000000,45206170904.000000,,,,,,,,,,,-44000000000.000000,-4051167469.000000,,,,,,,37500000000.000000,,,,,-7519224751.000000,349514473541.000000,1681299216493.000000,-6645112537.000000,,2024168577497.000000
12M 2015,716330916692.000000,1058213355711.000000,120335934831.000000,59568270575.000000,-392823376851.000000,,,,116161379617.000000,-50957415535.000000,,,,,,-194167231656.000000,,716330916692.000000,-883643885898.000000,,-626378241859.000000,1000000000.000000,,,,,51702732749.000000,1296741909.000000,,,22305164764.000000,-15732235084.000000,,,,,,32445438433.000000,-298501993310.000000,,,-59142860000.000000,,,,,-313991830000.000000,321353196500.000000,,,,-883643885898.000000,-69160938756.000000,,,,-33439067852.000000,-45206170904.000000,,,,,,,,,,,,,,,,,,,9484300000.000000,,,,,-69160938756.000000,-236473907962.000000,2024168577497.000000,-129800647.000000,,1787564868888.000000
12M 2016,971891688873.000000,1246504366481.000000,219988372544.000000,63436202369.000000,-441535882721.000000,,,,87122409081.000000,-61151395299.000000,,,,,,-142472383582.000000,,971891688873.000000,-2024852910911.000000,,-29000000000.000000,,,,,,-92247009098.000000,,,,236000000.000000,-17139359657.000000,,,,,,1369300940.000000,-1191944013947.000000,,,-25607140000.000000,,,,,-670520689149.000000,,,,,-2024852910911.000000,957128540301.000000,,,599630104484.000000,-17068488263.000000,,,,,,,,,,,,,-617177642.000000,,,,375184101722.000000,,,,,,,,957128540301.000000,-95832681737.000000,1787564868888.000000,-1954728421.000000,,1689777458730.000000
12M 2017,799420847730.000000,1230173430782.000000,1572403948278.000000,32901573987.000000,-1860890079306.000000,,,,78194123517.000000,-65422911274.000000,,,,,,-187939238254.000000,,799420847730.000000,-1345714449680.000000,216868357511.000000,-6804945467.000000,,,,,,16628913851.000000,,,,3245833666.000000,-47122083289.000000,,,,,,-3343816168.000000,-1301761600972.000000,,,,,,,,-223425108812.000000,,,,,-1345714449680.000000,1681632862787.000000,,,1544633387962.000000,-32719680933.000000,168162412899.000000,,,,,,,,,-39849541272.000000,,,,38610000000.000000,,,,-248413045032.000000,,251209329163.000000,,,,,1681632862787.000000,1135339260837.000000,1689777458730.000000,4027124713.000000,,2829143844280.000000
