Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Kepentingan Non-Pegendali,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Pos Luar Biasa,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,572027677627.000000,-201656839276.000000,370370838351.000000,-112887739710.000000,-112887739710.000000,-112887739710.000000,257483098641.000000,-120655013924.000000,7071249606.000000,-129101784717.000000,43525666.000000,196373701.000000,-102492420.000000,,,1238114240.000000,-120655013924.000000,136828084717.000000,-71425927087.000000,-71425927087.000000,,-71425927087.000000,65402157630.000000,7040113712.000000,,,72442271342.000000,,72442271342.000000,72442271342.000000,65402157630.000000,7040113712.000000,,72442271342.000000,,,,
12M 2009,631538861194.000000,-219660611875.000000,411878249319.000000,-118769289906.000000,-118769289906.000000,-118769289906.000000,293108959413.000000,-172152642015.000000,5979004205.000000,-132734554102.000000,161991666.000000,-183710753.000000,-3608384983.000000,,,-41766988048.000000,-172152642015.000000,120956317398.000000,-59586522511.000000,-59586522511.000000,,-59586522511.000000,61369794887.000000,7728066638.000000,,,69097861525.000000,,69097861525.000000,69097861525.000000,61369794887.000000,7728066638.000000,,69097861525.000000,,,,
12M 2010,750363100616.000000,-232433237257.000000,517929863359.000000,-122583333522.000000,-122583333522.000000,-122583333522.000000,395346529837.000000,-15019706995.000000,21957905221.000000,-65488383918.000000,-144725000.000000,-135863173.000000,,,,28791359875.000000,-15019706995.000000,380326822842.000000,-86165471060.000000,-86165471060.000000,,-86165471060.000000,294161351782.000000,4101678983.000000,,,298263030765.000000,,298263030765.000000,298263030765.000000,294161351782.000000,4101678983.000000,,298263030765.000000,,,,
12M 2011,803445490694.000000,-251817504122.000000,551627986572.000000,-130043678283.000000,-130043678283.000000,-130043678283.000000,421584308289.000000,-34987645563.000000,29192304143.000000,-62293835532.000000,1543332.000000,-215943612.000000,,,,-1671713894.000000,-34987645563.000000,386596662726.000000,-33655578152.000000,-36191631370.000000,2536053218.000000,-33655578152.000000,352941084574.000000,,,,352941084574.000000,,352941084574.000000,352941084574.000000,357040853493.000000,-4099768919.000000,,352941084574.000000,352941084574.000000,357040853493.000000,-4099768919.000000,352941084574.000000
12M 2012,903468713682.000000,-220723855893.000000,682744857789.000000,-157132229180.000000,-157132229180.000000,-157132229180.000000,525612628609.000000,-33118802305.000000,41908363884.000000,-54831595331.000000,-278711070.000000,502245608.000000,,,-11971444343.000000,-8447661053.000000,-33118802305.000000,492493826304.000000,-106971801575.000000,-103235338018.000000,-3736463557.000000,-106971801575.000000,385522024729.000000,,,,385522024729.000000,,385522024729.000000,385522024729.000000,390319051828.000000,-4797027099.000000,,385522024729.000000,385522024729.000000,390319051828.000000,-4797027099.000000,385522024729.000000
12M 2013,962564070641.000000,-297744541014.000000,664819529627.000000,-155560763046.000000,-155560763046.000000,-155560763046.000000,509258766581.000000,-6123659716.000000,76314412094.000000,-51083967643.000000,-1622723580.000000,-8459092857.000000,-8156405689.000000,-1586940166.000000,-9721800955.000000,-1807140920.000000,-6123659716.000000,503135106865.000000,-100709028191.000000,-100722531975.000000,13503784.000000,-100709028191.000000,402426078674.000000,,,,402426078674.000000,,402426078674.000000,402426078674.000000,406849100690.000000,-4423022016.000000,,402426078674.000000,402426078674.000000,406849100690.000000,-4423022016.000000,402426078674.000000
12M 2014,1300573458749.000000,-597339776844.000000,703233681905.000000,-256653098055.000000,-256653098055.000000,-256653098055.000000,446580583850.000000,73838865911.000000,145061515010.000000,-72046286832.000000,313908577.000000,-6645112537.000000,-9898177724.000000,,-720000000.000000,17773019417.000000,73838865911.000000,520419449761.000000,-109337961318.000000,-107422260615.000000,-1915700703.000000,-109337961318.000000,411081488443.000000,,,,411081488443.000000,,411081488443.000000,411081488443.000000,412053714561.000000,-972226118.000000,,411081488443.000000,411081488443.000000,412053714561.000000,-972226118.000000,411081488443.000000
12M 2015,1523590739015.000000,-746702497869.000000,776888241146.000000,-280294487958.000000,-280294487958.000000,-280294487958.000000,496593753188.000000,72683119879.000000,152496371893.000000,-82929701894.000000,1612500000.000000,-129800647.000000,-6956785790.000000,,,8590536317.000000,72683119879.000000,569276873067.000000,-115932723918.000000,-123965429358.000000,8032705440.000000,-115932723918.000000,453344149149.000000,,,,453344149149.000000,-1403893276.000000,451940255873.000000,453344149149.000000,454127568263.000000,-783419114.000000,,453344149149.000000,451940255873.000000,452723674987.000000,-783419114.000000,451940255873.000000
12M 2016,2310039110657.000000,-1344242129330.000000,965796981327.000000,-270427197778.000000,-270427197778.000000,-270427197778.000000,695369783549.000000,-22472171450.000000,86437346790.000000,-104731514574.000000,,,,,,-4178003666.000000,-22472171450.000000,672897612099.000000,-164380664613.000000,-177473197997.000000,13092533384.000000,-164380664613.000000,508516947486.000000,,,,508516947486.000000,2997421401.000000,511514368887.000000,508516947486.000000,490180052706.000000,18336894780.000000,,508516947486.000000,511514368887.000000,493118233287.000000,18396135600.000000,511514368887.000000
12M 2017,2906663239601.000000,-1928999566359.000000,977663673242.000000,-271737263619.000000,-271737263619.000000,-271737263619.000000,705926409623.000000,142518317602.000000,80081617031.000000,-99538800956.000000,,,,,-14728821434.000000,176704322961.000000,142518317602.000000,848444727225.000000,-155383468812.000000,-167108599921.000000,11725131109.000000,-155383468812.000000,693061258413.000000,,,,693061258413.000000,802375089.000000,693863633502.000000,693061258413.000000,682635382869.000000,10425875544.000000,,693061258413.000000,693863633502.000000,683421572297.000000,10442061205.000000,693863633502.000000
12M 2018,3821122529642.000000,-2625878025549.000000,1195244504093.000000,-290812045433.000000,-290812045433.000000,-290812045433.000000,904432458660.000000,-40137209727.000000,131598807864.000000,-168526347685.000000,,,,,-23540642155.000000,20330972249.000000,-40137209727.000000,864295248933.000000,-133711473099.000000,-152140211391.000000,18428738292.000000,-133711473099.000000,730583775834.000000,,,,730583775834.000000,1066328886.000000,731650104720.000000,730583775834.000000,755859306042.000000,-25275530208.000000,,730583775834.000000,731650104720.000000,756886179293.000000,-25236074573.000000,731650104720.000000
12M 2019,3527913944371.000000,-2236621738201.000000,1291292206170.000000,-175804975093.000000,-175804975093.000000,-175804975093.000000,1115487231077.000000,-260782261980.000000,142163383230.000000,-372010846074.000000,,,,,-14159699332.000000,-16775099804.000000,-260782261980.000000,854704969097.000000,-164851502069.000000,-167164495915.000000,2312993846.000000,-164851502069.000000,689853467028.000000,,,,689853467028.000000,-461941700.000000,689391525328.000000,689853467028.000000,758668997972.000000,-68815530944.000000,,689853467028.000000,689391525328.000000,758174734260.000000,-68783208932.000000,689391525328.000000
12M 2020,2588528412000.000000,-1677559649000.000000,910968763000.000000,-126258185000.000000,-126258185000.000000,-126258185000.000000,784710578000.000000,-282472449000.000000,131334294000.000000,-380287636000.000000,,,,,-7039098000.000000,-26480009000.000000,-282472449000.000000,502238129000.000000,-127138029000.000000,,,-127138029000.000000,375100100000.000000,,,,375100100000.000000,-22092344000.000000,353007756000.000000,375100100000.000000,448129359000.000000,-73029259000.000000,,375100100000.000000,353007756000.000000,425999873000.000000,-72992117000.000000,353007756000.000000
12M 2021,4437589419000.000000,-3310309186000.000000,1127280233000.000000,-140015746000.000000,-140015746000.000000,-140015746000.000000,987264487000.000000,-75315783000.000000,109801170000.000000,-200838764000.000000,,,,,-2818619000.000000,18540430000.000000,-75315783000.000000,911948704000.000000,-202611316000.000000,,,-202611316000.000000,709337388000.000000,,,,709337388000.000000,-11251745000.000000,698085643000.000000,709337388000.000000,737587843000.000000,-28250455000.000000,,709337388000.000000,698085643000.000000,726304183000.000000,-28218540000.000000,698085643000.000000
12M 2022,4463597398000.000000,-3058069773000.000000,1405527625000.000000,-159700972000.000000,-159700972000.000000,-159700972000.000000,1245826653000.000000,-112587446000.000000,34901579000.000000,-93740768000.000000,,,,,-30852646000.000000,-22895611000.000000,-112587446000.000000,1133239207000.000000,-198653096000.000000,,,-198653096000.000000,934586111000.000000,,,,934586111000.000000,-60388055000.000000,874198056000.000000,934586111000.000000,914461645000.000000,20124466000.000000,,934586111000.000000,874198056000.000000,853942198000.000000,20255858000.000000,874198056000.000000
12M 2023,7649712092000.000000,-5763623736000.000000,1886088356000.000000,-158671010000.000000,-158671010000.000000,-158671010000.000000,1727417346000.000000,-327777532000.000000,57797254000.000000,-317011459000.000000,,,,,-67175875000.000000,-1387452000.000000,-327777532000.000000,1399639814000.000000,-344137199000.000000,,,-344137199000.000000,1055502615000.000000,,,,1055502615000.000000,2611623000.000000,1058114238000.000000,1055502615000.000000,1022964510000.000000,32538105000.000000,,1055502615000.000000,1058114239000.000000,1025557967000.000000,32556272000.000000,1058114239000.000000
12M 2024,4108093965000.000000,-2230811882000.000000,1877282083000.000000,-158584562000.000000,-158584562000.000000,-158584562000.000000,1718697521000.000000,-390587583000.000000,49340298000.000000,-455886426000.000000,,,,,-14895841000.000000,30854386000.000000,-390587583000.000000,1328109938000.000000,-356476168000.000000,,,-356476168000.000000,971633770000.000000,,,,971633770000.000000,2660276000.000000,974294046000.000000,971633770000.000000,1050668300000.000000,-79034530000.000000,,971633770000.000000,974294047000.000000,1053328577000.000000,-79034530000.000000,974294047000.000000
