Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,"Pembayaran Beban Penjualan, Umum Dan Administrasi",Pembayaran Untuk Pajak Penghasilan Badan,Pembayaran Bunga,Pembayaran Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pelepasan Entitas Anak,Perolehan Aset Tetap,Penjualan Aset Tetap,Perolehan Aset Takberwujud,Penempatan Investasi Lainnya,Penurunan Modal Entitas Anak,Penerimaan Investasi Lainnya,Penempatan Pada Investasi Jangka Pendek,Penerimaan Penjualan Investasi Jangka Pendek,Setoran Modal Oleh Kepentingan Non-Pengendali,Pencairan (Penempatan) Deposito Yang Dibatasi Penggunaannya,Akuisisi Saham Pada Entitas Anak,Pembayaran Saham Beredar Yang Diperoleh Kembali,Penyertaan Saham Pada Entitas Asosiasi,Penempatan Investasi Saham,Penerimaan Dari Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank Jangka Pendek,Tambahan Modal Disetor,Penawaran Saham Perdana,Penerbitan Saham Pada Kepentingan Nonpengendali,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Berelasi,Penerimaan Utang Pihak Berelasi,Penambahan Piutang Pihak Berelasi,Penerimaan Dari Pelunasan Piutang Pihak Berelasi,Pembelian Kembali Saham Entitas Induk,Penurunan Modal Entitas Enak,Pembayaran Pokok Liabilitas Sewa,Penerimaan Deposito Yang Dibatasi Penggunaannya,Penempatan Deposito Yang Dibatasi Penggunaannya,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Setelah Pelepasan Entitas Anak,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,34454855194.000000,577766944201.000000,659863565.000000,-515750571577.000000,-11248347088.000000,-6304061004.000000,-2034460506.000000,-6734732867.000000,-1899779530.000000,34454855194.000000,-6078653048.000000,,-674653048.000000,,-804000000.000000,,,,,,,-4600000000.000000,,,,,,-6078653048.000000,-30144518583.000000,412254350000.000000,9363823376.000000,,,-405648840334.000000,-93476117005.000000,47412265380.000000,-50000000.000000,,,,,,,,-30144518583.000000,-1768316437.000000,,3770032459.000000,2001716022.000000
12M 2019,-68906358348.000000,660793048415.000000,694201679.000000,-711800773743.000000,-14633035436.000000,-9427068830.000000,-7005379946.000000,-5391692679.000000,17864342192.000000,-68906358348.000000,-37368490266.000000,,-991653986.000000,,-4913300000.000000,-26099536280.000000,,,,,,-5000000000.000000,-700000000.000000,,,,336000000.000000,-37368490266.000000,129530223258.000000,540151881000.000000,63605757686.000000,8333330000.000000,,-499203061000.000000,-229500000.000000,,,16871815572.000000,,,,,,,129530223258.000000,23255374644.000000,,2001716022.000000,25257090666.000000
12M 2020,6608608912.000000,574556821308.000000,763381042.000000,-527844821039.000000,-18213865215.000000,,-6296867101.000000,-6219609175.000000,-10136430908.000000,6608608912.000000,24193536663.000000,,-152953018.000000,,-2954835319.000000,,,26032825000.000000,,,,1600000000.000000,-331500000.000000,,,,,24193536663.000000,-33019530815.000000,578924943000.000000,,,721500000.000000,-597527263000.000000,,12003333.000000,,-12490000000.000000,-1659660900.000000,,-1001053248.000000,,,,-33019530815.000000,-2217385240.000000,,25257090666.000000,23039705426.000000
12M 2021,5945309340.000000,644712850508.000000,366687563.000000,-602892433745.000000,-22081307546.000000,,-2796049256.000000,-5791700657.000000,-5572737527.000000,5945309340.000000,-15236499727.000000,,-6142799727.000000,,-603600000.000000,,,-2250000000.000000,,,,1400000000.000000,,,-7640100000.000000,,,-15236499727.000000,13546100670.000000,652841433760.000000,,,2997777828.000000,-645048933760.000000,-11200070000.000000,17203000000.000000,91000000000.000000,-93021929696.000000,,,-1225177462.000000,,,,13546100670.000000,4254910283.000000,-1815700100.000000,23039705426.000000,25478915609.000000
12M 2022,5886664825.000000,759172812177.000000,1459703081.000000,-718716627514.000000,-22851714332.000000,,-6492551421.000000,-6018528280.000000,-666428886.000000,5886664825.000000,3559230838.000000,4000000000.000000,-437769162.000000,,-3000000.000000,,,,,,,,,,,,,3559230838.000000,-355898929.000000,794082432724.000000,,,,-793775707900.000000,-1104471195.000000,,1916829696.000000,,,,-1474982254.000000,,,,-355898929.000000,9089996734.000000,-4225185424.000000,25478915609.000000,30343726919.000000
12M 2023,-17212749452.000000,634184559333.000000,2367767077.000000,-618707007714.000000,-19770258755.000000,,-974884065.000000,-8864808588.000000,-5448116740.000000,-17212749452.000000,-57304500.000000,,-82304500.000000,25000000.000000,,,,,,,,,,,,,,-57304500.000000,-9430853343.000000,668030062848.000000,,,,-670184922671.000000,-5500000000.000000,,-576757603.000000,,,,-1199235917.000000,,,,-9430853343.000000,-26700907295.000000,,30343726919.000000,3642819624.000000
12M 2024,-10787909444.000000,402288712840.000000,1540777889.000000,-392585609398.000000,-11894257843.000000,,-1424276638.000000,-7349658902.000000,-1363597392.000000,-10787909444.000000,-4404700.000000,,-137800700.000000,133396000.000000,,,,,,,,,,,,,,-4404700.000000,10611518023.000000,442451583750.000000,,,,-454081640083.000000,-106961559912.000000,129004578907.000000,-22253259855.000000,28771694378.000000,,-5841000000.000000,-478879162.000000,,,,10611518023.000000,-180796121.000000,,3642819624.000000,3462023503.000000
