Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,621868167237.000000,-569856793307.000000,52011373930.000000,-19480492156.000000,-2904478011.000000,-16576014145.000000,-19480492156.000000,32530881774.000000,-6718909287.000000,659951892.000000,-6734732867.000000,,,-644128312.000000,-6718909287.000000,25811972487.000000,-6873224666.000000,-33313300.000000,18905434521.000000,114689428.000000,19020123949.000000,18905434521.000000,19695609819.000000,-790175298.000000,18905434521.000000,19020123949.000000,19810299247.000000,-790175298.000000,19020123949.000000
12M 2019,665609561999.000000,-610573723460.000000,55035838539.000000,-25717281688.000000,-5624415464.000000,-20092866224.000000,-25717281688.000000,29318556851.000000,-4616448621.000000,694201679.000000,-5391692679.000000,,-4050000.000000,85092379.000000,-4616448621.000000,24702108230.000000,-6389532804.000000,18499181.000000,18331074607.000000,-219164212.000000,18111910395.000000,18331074607.000000,18881388322.000000,-550313715.000000,18331074607.000000,18111910395.000000,18666087392.000000,-554176997.000000,18111910395.000000
12M 2020,568485276455.000000,-523980652549.000000,44504623906.000000,-29960555022.000000,-3310840682.000000,-26649714340.000000,-29960555022.000000,14544068884.000000,-4695572981.000000,763381042.000000,-6219609175.000000,,-1800000.000000,762455152.000000,-4695572981.000000,9848495903.000000,-3386070629.000000,,6462425274.000000,-461862023.000000,6000563251.000000,6462425274.000000,6485257601.000000,-22832327.000000,6462425274.000000,6000563251.000000,6022845949.000000,-22282698.000000,6000563251.000000
12M 2021,644576393167.000000,-601645493131.000000,42930900036.000000,-33204378531.000000,-2800612214.000000,-30403766317.000000,-33204378531.000000,9726521505.000000,18494327531.000000,387988019.000000,-5791700657.000000,,22884429635.000000,1013610534.000000,18494327531.000000,28220849036.000000,-1584484739.000000,,26636364297.000000,74354786.000000,26710719083.000000,26636364297.000000,26627233138.000000,9131159.000000,26636364297.000000,26710719083.000000,26701367607.000000,9351476.000000,26710719083.000000
12M 2022,765515933170.000000,-724233578758.000000,41282354412.000000,-35235707292.000000,-3768523018.000000,-31467184274.000000,-35235707292.000000,6046647120.000000,-3292069587.000000,1459703081.000000,-6018528280.000000,,-268373713.000000,1535129325.000000,-3292069587.000000,2754577533.000000,-1661833554.000000,,1345508054.000000,444077003.000000,1789585057.000000,1345508054.000000,1198435980.000000,147072074.000000,1345508054.000000,1789585057.000000,1640998969.000000,148586088.000000,1789585057.000000
12M 2023,633417100629.000000,-595928936651.000000,37488163978.000000,-29597136919.000000,-1305768068.000000,-28291368851.000000,-29597136919.000000,7891027059.000000,-6549013927.000000,2367767077.000000,-8864808588.000000,,-1672788795.000000,1620816379.000000,-6549013927.000000,1342013132.000000,-451232363.000000,,890780769.000000,780281430.000000,1671062199.000000,890780769.000000,889220553.000000,1560216.000000,890780769.000000,1671062199.000000,1668741200.000000,2320999.000000,1671062199.000000
12M 2024,401945207449.000000,-388373396925.000000,13571810524.000000,-18542635663.000000,-54786155.000000,-18487849508.000000,-18542635663.000000,-4970825139.000000,-7186162388.000000,1540777890.000000,-7349658902.000000,,-1661625933.000000,284344557.000000,-7186162388.000000,-12156987527.000000,2374300698.000000,,-9782686829.000000,632794549.000000,-9149892280.000000,-9782686829.000000,-9538240636.000000,-244446193.000000,-9782686829.000000,-9149892280.000000,-8904081728.000000,-245810552.000000,-9149892280.000000
