Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penghasilan Bunga,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok. Karyawan Dan Lain-Lain,Pembayaran Bunga Dan Beban Bank,Pembayaran Kepada Negara,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen,Penempatan Bersih Kas Di Bank Yang Dibatasi Penggunaanya,Penerimaan Dari Penebusan (Penempatan) Wesel Tagih,Penerimaan Dari Penjualan Aset Tetap,Penambahan Aset Eksplorasi Dan Evaluasi,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Uang Muka Investasi,Perolehan Aset Tetap,Uang Muka Pembangunan Pabrik Baru,Penambahan Properti Pertambangan,Pembayaran Uang Muka Proyek,Pengembalian Deposit Atas Jaminan Reklamasi,Penerimaan Piutang Lain-Lain,Pembayaran Uang Muka Kepada Pemasok,Penerimaan Dari Piutang Berelasi,Kenaikan Piutang Pihak Berelasi,Penurunan Piutang Pihak Berelasi,Pinjaman Neto Yang Diberikan Ke Pihak Ketiga,Pembayaran Proyek Pengembangan Usaha,Pengembalian Uang Muka Proyek Pengembangan Usaha,Penerimaan Dari Penjualan Investasi Jangka Pendek,Pembelian Saham Entitas Asosiasi,Penempatan Investasi Jangka Pendek,Pembayaran Bersih Atas Perolehan Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Jangka Panjang Lainnya,Penerimaan Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Panjang Lainnya,Pembayaran Pinjaman Jangka Panjang,Penarikan (Penempatan) Neto Kas Di Bank Yang Dibatasi Penggunaannya,Penurunan (Kenaikan) Piutang Pihak Berelasi,Kenaikan (Penurunan) Utang Pihak Berelasi,Penerimaan Dari Penawaran Umum Terbatas,Penerimaan Neto Pinjaman,Kenaikan Utang Lain-Lain,Pembayaran Pinjaman,Hasil Penerbitan Saham,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,-150359558000.000000,24303861000.000000,,,-174663419000.000000,,,,-150359558000.000000,-14696207289000.000000,,,,,,-7728003040000.000000,,-935869276000.000000,,,,,,,,,,,,,,-6032334973000.000000,,,-14696207289000.000000,14894892363000.000000,,,,,,,,14821447205000.000000,-1564332000.000000,,75009490000.000000,,,,14894892363000.000000,-1081950000.000000,47243566000.000000,535985000.000000,47779551000.000000
12M 2010,-406962272000.000000,149234739000.000000,,,-90630270000.000000,-239947519000.000000,,-225619222000.000000,-406962272000.000000,-2371757001000.000000,1582543808000.000000,,-998551699000.000000,116883000.000000,,-325160350000.000000,,-62412022000.000000,,,,,,,,,,,,,1060121312000.000000,-2105036490000.000000,-1026379000000.000000,-496999443000.000000,-2371757001000.000000,3645356056000.000000,,,,,,,-159519806000.000000,-36235201000.000000,-9530399873000.000000,,2104353247000.000000,,,11267157689000.000000,3645356056000.000000,-665704000.000000,865971079000.000000,47779551000.000000,913750630000.000000
12M 2011,-379541976000.000000,182962894000.000000,29153649000.000000,,-164251321000.000000,-185278699000.000000,,-242128499000.000000,-379541976000.000000,-214408166000.000000,428400000000.000000,,43190150000.000000,102000000.000000,,-337101101000.000000,,-274121215000.000000,,,,,,,,,,-74878000000.000000,,,,,,,-214408166000.000000,-190719434000.000000,,,,,,,-72137732000.000000,-257890000000.000000,-12088683000.000000,,151396252000.000000,,,729000.000000,-190719434000.000000,114721000.000000,-784554855000.000000,913750630000.000000,129195775000.000000
12M 2012,-57290607.000000,22215891.000000,2976674.000000,,-52841604.000000,-29881949.000000,,240381.000000,-57290607.000000,-126516018.000000,,,-464443.000000,,-41626786.000000,,,-30703167.000000,,,,,,,,,-62177278.000000,,,,8455656.000000,,,,-126516018.000000,176232517.000000,,,,,,,9967054.000000,,63998488.000000,,115345727.000000,,-13078796.000000,44.000000,176232517.000000,177060.000000,-7397048.000000,14247438.000000,6850390.000000
12M 2013,-23161717.000000,19626135.000000,3155011.000000,,-5528184.000000,-30417236.000000,,-9997443.000000,-23161717.000000,9265158.000000,,,,11560.000000,-10371060.000000,,,-5219555.000000,,,,,,,,,24844213.000000,,,,,,,,9265158.000000,12255548.000000,,,,,,,15563029.000000,,8350124.000000,,,,-11657605.000000,,12255548.000000,1029249.000000,-611762.000000,6850390.000000,6238628.000000
12M 2014,-184773.000000,16149978.000000,5467.000000,,-3531809.000000,-185970.000000,,-12622439.000000,-184773.000000,4856051.000000,,,,,-5138241.000000,-1321467.000000,,-3987.000000,,,,,,,,,11319746.000000,,,,,,,,4856051.000000,-3850699.000000,,,,,,,16624.000000,,,,,,-3867323.000000,,-3850699.000000,-782806.000000,37773.000000,6238628.000000,6276401.000000
12M 2015,-1326452.000000,11582639.000000,1264.000000,,-1513267.000000,-81726.000000,,-11315362.000000,-1326452.000000,2395232.000000,,,,85911.000000,-2120322.000000,-1448525.000000,,-717116.000000,,,,,,,,,6595284.000000,,,,,,,,2395232.000000,-330025.000000,,,,,,,,,,,,,-330025.000000,,-330025.000000,225417.000000,964172.000000,6276401.000000,7240573.000000
12M 2016,-12940484.000000,3096328.000000,7392.000000,,-6946368.000000,-96357.000000,,-9001479.000000,-12940484.000000,8497431.000000,,,,9939.000000,-9441680.000000,-2498756.000000,,-21534.000000,,,,,,,,,20449462.000000,,,,,,,,8497431.000000,-80708.000000,,,,,,,,,,,,,-80708.000000,,-80708.000000,-36897.000000,-4560658.000000,7240573.000000,2679915.000000
12M 2017,-36422905.000000,5000000.000000,33125.000000,,-37366684.000000,-70589.000000,,-4018757.000000,-36422905.000000,39091046.000000,,,,,-1732106.000000,-3179149.000000,,-40271.000000,,,,,,,,,44042572.000000,,,,,,,,39091046.000000,-94650.000000,,,,,,,,,,,,,-94650.000000,,-94650.000000,-6026.000000,2567465.000000,2679915.000000,5247380.000000
12M 2018,-19857269.000000,1182000.000000,25923.000000,,-10381319.000000,-44545.000000,,-10639328.000000,-19857269.000000,129965197.000000,,,,,-2018945.000000,,,-6045.000000,,-3229294.000000,,,,,,,-762.000000,,,,135220243.000000,,,,129965197.000000,-107098929.000000,,,,,,,,,,,,,-107098929.000000,,-107098929.000000,-50496.000000,2958503.000000,5247380.000000,8205883.000000
