Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan (Rugi) Atas Transaksi Derivatif,Laba Dari Ventura Bersama,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,148509144000.000000,,148509144000.000000,-40309810000.000000,,,-40309810000.000000,-40309810000.000000,108199334000.000000,1313554967000.000000,-1081781554000.000000,2132402109000.000000,7447507000.000000,170917733000.000000,-31170089000.000000,,,115739261000.000000,1313554967000.000000,1421754301000.000000,-298644227000.000000,1123110074000.000000,-322376259000.000000,-36129923000.000000,764603892000.000000,,,764603892000.000000,1123110074000.000000,-322376259000.000000,-36129923000.000000,764603892000.000000,,,,,
12M 2011,182962894000.000000,,182962894000.000000,-156441637000.000000,,-156441637000.000000,,-156441637000.000000,26521257000.000000,573350342000.000000,-390333670000.000000,1006794845000.000000,61490479000.000000,-27648564000.000000,18234118000.000000,,,-95186866000.000000,573350342000.000000,599871599000.000000,-42443612000.000000,557427987000.000000,,,557427987000.000000,12865561000.000000,570293548000.000000,557427987000.000000,664702698000.000000,-107274711000.000000,,557427987000.000000,570293548000.000000,679855072000.000000,-109561524000.000000,,570293548000.000000
12M 2012,22215891.000000,,22215891.000000,-13708775.000000,,-13708775.000000,,-13708775.000000,8507116.000000,-75672721.000000,-64713402.000000,-15118942.000000,3361183.000000,2115552.000000,66618.000000,,,-1383730.000000,-75672721.000000,-67165605.000000,7845394.000000,-59320211.000000,,,-59320211.000000,-1309943.000000,-60630154.000000,-59320211.000000,-29717799.000000,-29602412.000000,,-59320211.000000,-60630154.000000,-30169221.000000,-30460933.000000,,-60630154.000000
12M 2013,19626135.000000,,19626135.000000,-11963487.000000,-11963487.000000,,,-11963487.000000,7662648.000000,-165751417.000000,-86130274.000000,-20010382.000000,3840864.000000,-1029249.000000,,,-39503949.000000,-22918427.000000,-165751417.000000,-158088769.000000,11842349.000000,-146246420.000000,,,-146246420.000000,-3189416.000000,-149435836.000000,-146246420.000000,-121153528.000000,-25092892.000000,,-146246420.000000,-149435836.000000,-124752975.000000,-24682861.000000,,-149435836.000000
12M 2014,16149978.000000,,16149978.000000,-7131555.000000,-7131555.000000,,,-7131555.000000,9018423.000000,-166559025.000000,-122959484.000000,-44038359.000000,5467.000000,782806.000000,,,,-349455.000000,-166559025.000000,-157540602.000000,11462701.000000,-146077901.000000,,,-146077901.000000,-2179238.000000,-148257139.000000,-146077901.000000,-89299266.000000,-56778635.000000,,-146077901.000000,-148257139.000000,-91478287.000000,-56778852.000000,,-148257139.000000
12M 2015,12506538.000000,,12506538.000000,-13890099.000000,-13890099.000000,,,-13890099.000000,-1383561.000000,-77125496.000000,-141078038.000000,67506098.000000,1264.000000,118295.000000,,,,-3673115.000000,-77125496.000000,-78509057.000000,17216679.000000,-61292378.000000,,,-61292378.000000,-2092301.000000,-63384679.000000,-61292378.000000,-43050228.000000,-18242150.000000,,-61292378.000000,-63384679.000000,-45160275.000000,-18224404.000000,,-63384679.000000
12M 2016,2172429.000000,,2172429.000000,-5181005.000000,-5181005.000000,,,-5181005.000000,-3008576.000000,-512872230.000000,-107655218.000000,26833849.000000,7392.000000,-2971829.000000,,,,-429086424.000000,-512872230.000000,-515880806.000000,56881920.000000,-458998886.000000,,,-458998886.000000,3533.000000,-458995353.000000,-458998886.000000,-315449718.000000,-143549168.000000,,-458998886.000000,-458995353.000000,-315536178.000000,-143459175.000000,,-458995353.000000
12M 2017,5000000.000000,,5000000.000000,-9941495.000000,-9941495.000000,,,-9941495.000000,-4941495.000000,-167441551.000000,-63586450.000000,,33125.000000,-280901.000000,,,,-103607325.000000,-167441551.000000,-172383046.000000,-75175895.000000,-247558941.000000,,,-247558941.000000,-742644.000000,-248301585.000000,-247558941.000000,-232991987.000000,-14566954.000000,,-247558941.000000,-248301585.000000,-233681218.000000,-14620367.000000,,-248301585.000000
12M 2018,1182000.000000,,1182000.000000,-6029666.000000,-6029666.000000,,,-6029666.000000,-4847666.000000,-98567045.000000,-44798.000000,,25923.000000,306724.000000,,,,-98854894.000000,-98567045.000000,-103414711.000000,-26082.000000,-103440793.000000,,,-103440793.000000,837081.000000,-102603712.000000,-103440793.000000,-103503862.000000,63069.000000,,-103440793.000000,-102603712.000000,-102779150.000000,175438.000000,,-102603712.000000
12M 2019,4460530.000000,,4460530.000000,-5183093.000000,-5183093.000000,,,-5183093.000000,-722563.000000,1952196.000000,-20098.000000,,74542.000000,104440.000000,,,,1793312.000000,1952196.000000,1229633.000000,35092.000000,1264725.000000,,,1264725.000000,109469.000000,1374194.000000,1264725.000000,1284731.000000,-20006.000000,,1264725.000000,1374194.000000,1391551.000000,-17357.000000,,1374194.000000
12M 2020,8343695.000000,-2343234.000000,6000461.000000,-6127789.000000,-6127789.000000,,,-6127789.000000,-127328.000000,13968469.000000,-4691.000000,,36754.000000,-273764.000000,,,,14210170.000000,13968469.000000,13841141.000000,-9802932.000000,4038209.000000,,,4038209.000000,-211608.000000,3826601.000000,4038209.000000,3953683.000000,84526.000000,,4038209.000000,3826601.000000,3791312.000000,35289.000000,,3826601.000000
12M 2021,10578248.000000,-4373988.000000,6204260.000000,-5341284.000000,-5341284.000000,,,-5341284.000000,862976.000000,120429298.000000,-29067.000000,,239569.000000,1492869.000000,,,,118725927.000000,120429298.000000,121292274.000000,-51509829.000000,69782445.000000,,,69782445.000000,314561.000000,70097006.000000,69782445.000000,69121803.000000,660642.000000,,69782445.000000,70097006.000000,69095749.000000,1001257.000000,,70097006.000000
12M 2022,11644445.000000,-5077708.000000,6566737.000000,-5503434.000000,-5503434.000000,,,-5503434.000000,1063303.000000,31479617.000000,-49753.000000,,356032.000000,1475087.000000,,11796590.000000,,17901661.000000,31479617.000000,32542920.000000,-18859134.000000,13683786.000000,,,13683786.000000,590497.000000,14274283.000000,13683786.000000,13655828.000000,27958.000000,,13683786.000000,14274283.000000,14219931.000000,54352.000000,,14274283.000000
12M 2023,46637766.000000,-20380893.000000,26256873.000000,-9157617.000000,-9157617.000000,,,-9157617.000000,17099256.000000,359957.000000,-31750.000000,,73526.000000,-38217.000000,,-21032.000000,,377430.000000,359957.000000,17459213.000000,-3271162.000000,14188051.000000,,,14188051.000000,45671.000000,14233722.000000,14188051.000000,13919463.000000,268588.000000,,14188051.000000,14233722.000000,13965592.000000,268130.000000,,14233722.000000
12M 2024,162344778.000000,-82678907.000000,79665871.000000,-36864656.000000,-36864656.000000,,,-36864656.000000,42801215.000000,-8808309.000000,-9171797.000000,,379018.000000,1164905.000000,,-267077.000000,,-913358.000000,-8808309.000000,33992906.000000,-8866261.000000,25126645.000000,,,25126645.000000,-11290.000000,25115355.000000,25126645.000000,24407414.000000,719231.000000,,25126645.000000,25115355.000000,24396622.000000,718733.000000,,25115355.000000
