Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.00,0.00,0.00,0.00,,,,,0 B
12M 2009,0.00,0.00,0.00,0.00,,,,,(0 B)
12M 2010,0.00,0.00,0.00,0.00,,,,,0 B
12M 2011,0.00,0.00,0.00,0.00,,,,,(1 B)
12M 2012,0.00,0.00,0.00,0.00,,,,,
12M 2013,1.89,1280.12,1.93,1257.71,,,,"(1,327 B)","1,411 B"
12M 2014,1.83,1303.61,1.86,1281.25,342 B,,342 B,145 B,495 B
12M 2015,0.92,1246.38,0.94,1217.60,101 B,,101 B,(46 B),549 B
12M 2016,0.97,1304.56,4.75,265.45,,,,(183 B),846 B
12M 2017,0.74,1242.64,4.40,210.35,,,,(226 B),543 B
12M 2018,0.84,942.12,2.88,274.60,,,,(499 B),795 B
12M 2019,0.96,929.83,4.09,217.75,,,,(168 B),379 B
12M 2020,1.87,443.32,-3.22,-257.80,540 B,,540 B,463 B,(738 B)
12M 2021,8.81,208.87,-3.07,-599.99,"1,640 B",,"1,640 B","1,471 B",(739 B)
12M 2022,6.69,224.24,6.69,224.24,"2,296 B",,"2,296 B","2,195 B",(926 B)
12M 2023,2.61,339.45,2.61,339.45,"2,024 B",,"2,024 B","1,904 B","(1,766 B)"
12M 2024,1.58,356.92,1.58,356.92,"1,559 B",,"1,559 B","1,417 B","(1,450 B)"
