Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Goodwill,Aset Pajak Tangguhan,Properti Investasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Dari Pihak Berelasi,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Liabilitas Derivatif,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Beban Akrual,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,,16000000.000000,,16000000.000000,16000000.000000,156000000.000000,,156000000.000000,156000000.000000,,,172000000.000000,,,,,,,,,,,,172000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329420000.000000
12M 2009,,,,25000000.000000,,25000000.000000,25000000.000000,,,,,,,25000000.000000,,,,,,,,,,,,25000000.000000,,,371000000.000000,,,,,,,,,371000000.000000,371000000.000000,,,,,,,371000000.000000,,,,,,,,,371000000.000000,,,,,,,,,,371000000.000000,329420000.000000
12M 2010,,,,23000000.000000,,23000000.000000,23000000.000000,,,,,,,23000000.000000,,,,,,,,,,,,23000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329420000.000000
12M 2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506000000.000000,,,,,261000000.000000,261000000.000000,,,245000000.000000,245000000.000000,,,,,,,506000000.000000,195560000000.000000,,,,,,195560000000.000000,195560000000.000000,196066000000.000000,,,,,,,,,,196066000000.000000,329420000.000000
12M 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3294200000.000000
12M 2013,,,1327191000000.000000,253269000000.000000,253269000000.000000,,253269000000.000000,39418000000.000000,39418000000.000000,,39418000000.000000,1829050000000.000000,206076000000.000000,3655004000000.000000,,5795000000.000000,5795000000.000000,5795000000.000000,3726429000000.000000,83903000000.000000,9869000000.000000,21608000000.000000,6445000000.000000,249250000000.000000,4103299000000.000000,7758303000000.000000,,,2243937000000.000000,,,,1397780000000.000000,4338000000.000000,1402118000000.000000,,524625000000.000000,1001000000.000000,525626000000.000000,,16691000000.000000,16691000000.000000,229192000000.000000,,70310000000.000000,2243937000000.000000,158797000000.000000,,,,,,158797000000.000000,158797000000.000000,2402734000000.000000,,209182000000.000000,2988060000000.000000,2158327000000.000000,35000000000.000000,2123327000000.000000,2158327000000.000000,,5355569000000.000000,7758303000000.000000,4183634000.000000
12M 2014,,,196533000000.000000,352396000000.000000,352396000000.000000,,352396000000.000000,46922000000.000000,46922000000.000000,,46922000000.000000,2271071000000.000000,416326000000.000000,3283248000000.000000,,3011000000.000000,3011000000.000000,3011000000.000000,4610388000000.000000,83680000000.000000,9869000000.000000,31070000000.000000,,274376000000.000000,5012394000000.000000,8295642000000.000000,,,2788133000000.000000,339688000000.000000,,,1584516000000.000000,5410000000.000000,1589926000000.000000,,453101000000.000000,2616000000.000000,455717000000.000000,,16809000000.000000,16809000000.000000,295186000000.000000,1840000000.000000,88967000000.000000,2788133000000.000000,53689000000.000000,,,,,,53689000000.000000,53689000000.000000,2841822000000.000000,,209182000000.000000,2988060000000.000000,2257958000000.000000,42000000000.000000,2215958000000.000000,2257958000000.000000,-1380000000.000000,5453820000000.000000,8295642000000.000000,4183634000.000000
12M 2015,,,147310000000.000000,390900000000.000000,390900000000.000000,,390900000000.000000,61468000000.000000,61468000000.000000,,61468000000.000000,2052544000000.000000,504721000000.000000,3156943000000.000000,,95000000.000000,95000000.000000,95000000.000000,4501612000000.000000,110517000000.000000,9869000000.000000,96688000000.000000,,167073000000.000000,4885854000000.000000,8042797000000.000000,,,2608222000000.000000,100000000000.000000,,,1598957000000.000000,4308000000.000000,1603265000000.000000,,391393000000.000000,4958000000.000000,396351000000.000000,,23695000000.000000,23695000000.000000,329735000000.000000,1076000000.000000,154100000000.000000,2608222000000.000000,220197000000.000000,,,,,,220197000000.000000,220197000000.000000,2828419000000.000000,,209182000000.000000,2988060000000.000000,2017943000000.000000,42000000000.000000,1975943000000.000000,2017943000000.000000,-807000000.000000,5214378000000.000000,8042797000000.000000,4183634000.000000
12M 2016,,,183189000000.000000,214262000000.000000,214262000000.000000,,214262000000.000000,41072000000.000000,40532000000.000000,540000000.000000,41072000000.000000,1961664000000.000000,417053000000.000000,2817240000000.000000,,,,,30136000000.000000,4337359000000.000000,9869000000.000000,44793000000.000000,,247636000000.000000,4669793000000.000000,7487033000000.000000,,,1970941000000.000000,,,,1207527000000.000000,3075000000.000000,1210602000000.000000,,267983000000.000000,13523000000.000000,281506000000.000000,,15048000000.000000,15048000000.000000,320750000000.000000,,143035000000.000000,1970941000000.000000,58309000000.000000,,,,,,58309000000.000000,58309000000.000000,2029250000000.000000,,209182000000.000000,2988060000000.000000,2260541000000.000000,42000000000.000000,2218541000000.000000,2260541000000.000000,,5457783000000.000000,7487033000000.000000,4183634000.000000
12M 2017,,,226399000000.000000,278072000000.000000,273970000000.000000,4102000000.000000,278072000000.000000,80889000000.000000,78123000000.000000,2766000000.000000,80889000000.000000,1616534000000.000000,342831000000.000000,2544725000000.000000,,,,,,4308829000000.000000,9869000000.000000,136676000000.000000,,363045000000.000000,4818419000000.000000,7363144000000.000000,,,2001461000000.000000,,,,1127504000000.000000,2834000000.000000,1130338000000.000000,,277161000000.000000,14163000000.000000,291324000000.000000,,19646000000.000000,19646000000.000000,339265000000.000000,,220888000000.000000,2001461000000.000000,162940000000.000000,,,,,,162940000000.000000,162940000000.000000,2164401000000.000000,,209182000000.000000,2988060000000.000000,2001501000000.000000,42000000000.000000,1959501000000.000000,2001501000000.000000,,5198743000000.000000,7363144000000.000000,4183634000.000000
