Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan Dan Lain-Lain,Pembayaran Untuk Aktivitas Operasi Lainnya,Penerimaan Dari Aktivitas Operasi Lainnya,Penerimaan Bunga,Pembayaran Bunga,Pengembalian Pajak,Pembayaran Hasil Ketetapan Pajak Badan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Hasil Dari Penjualan Segmen Bisnis,Hasil Penjualan Aset Tidak Lancar Yang Diklasifikasikan Sebagai Dimiliki Untuk Dijual,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank,Penerimaan Dari Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Bank,Pembayaran Liabilitas Sewa,Penerimaan Dari Penawaran Umum Terbatas,Pembayaran Biaya Penawaran Umum Terbatas,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,332386000000.000000,5877081000000.000000,-4679900000000.000000,-826554000000.000000,,,2423000000.000000,-1221000000.000000,,,-39443000000.000000,332386000000.000000,-332376000000.000000,3861000000.000000,,,-336237000000.000000,,-332376000000.000000,,,,,,,,,,10000000.000000,148823000000.000000,-197000000.000000,148636000000.000000
12M 2009,177049000000.000000,6638643000000.000000,-5076494000000.000000,-1265237000000.000000,,,1042000000.000000,-26028000000.000000,,,-94877000000.000000,177049000000.000000,-669626000000.000000,882000000.000000,,,-670508000000.000000,,-669626000000.000000,375000000000.000000,710000000000.000000,,,-335000000000.000000,,,,375000000000.000000,-117577000000.000000,148636000000.000000,-368000000.000000,30691000000.000000
12M 2010,559803000000.000000,7677306000000.000000,-5768918000000.000000,-1279756000000.000000,,,2032000000.000000,-38577000000.000000,,,-32284000000.000000,559803000000.000000,-411192000000.000000,2174000000.000000,,,-413366000000.000000,,-411192000000.000000,,705000000000.000000,,,-705000000000.000000,,,,,148611000000.000000,30691000000.000000,-212000000.000000,179090000000.000000
12M 2011,434497000000.000000,8936522000000.000000,-6907213000000.000000,-1527196000000.000000,,,4049000000.000000,-27057000000.000000,,,-44608000000.000000,434497000000.000000,-518206000000.000000,1706000000.000000,,,-450317000000.000000,-69595000000.000000,-518206000000.000000,-75000000000.000000,900000000000.000000,,,-975000000000.000000,,,,-75000000000.000000,-158709000000.000000,179090000000.000000,-576000000.000000,19805000000.000000
12M 2012,559711000000.000000,10474525000000.000000,-8058320000000.000000,-1751744000000.000000,,,5796000000.000000,-30259000000.000000,,,-80287000000.000000,559711000000.000000,-1135522000000.000000,3419000000.000000,,,-1123528000000.000000,-15413000000.000000,-1135522000000.000000,803550000000.000000,4460000000000.000000,573550000000.000000,,-4230000000000.000000,,,,803550000000.000000,227739000000.000000,19805000000.000000,333000000.000000,247877000000.000000
12M 2013,100581000000.000000,11882223000000.000000,-9467317000000.000000,-2186111000000.000000,,,53313000000.000000,-58404000000.000000,,,-123123000000.000000,100581000000.000000,-882974000000.000000,438577000000.000000,,,-1317327000000.000000,-4224000000.000000,-882974000000.000000,1857757000000.000000,2295000000000.000000,,-573550000000.000000,-2825000000000.000000,,2979603000000.000000,-18296000000.000000,1857757000000.000000,1075364000000.000000,247877000000.000000,3950000000.000000,1327191000000.000000
12M 2014,-117685000000.000000,13509982000000.000000,-10804076000000.000000,-2797921000000.000000,,,47670000000.000000,-10181000000.000000,,,-63159000000.000000,-117685000000.000000,-1353442000000.000000,4822000000.000000,,27875000000.000000,-1367551000000.000000,-18588000000.000000,-1353442000000.000000,300000000000.000000,300000000000.000000,,,,,,,300000000000.000000,-1171127000000.000000,1327191000000.000000,781000000.000000,156845000000.000000
12M 2015,662579000000.000000,14597333000000.000000,-10960067000000.000000,-2879485000000.000000,,,6700000000.000000,-27870000000.000000,,,-74032000000.000000,662579000000.000000,-473512000000.000000,2899000000.000000,,,-426682000000.000000,-49729000000.000000,-473512000000.000000,-200000000000.000000,300000000000.000000,,,-500000000000.000000,,,,-200000000000.000000,-10933000000.000000,156845000000.000000,1582000000.000000,147494000000.000000
12M 2016,415853000000.000000,14050726000000.000000,-10282769000000.000000,-3280698000000.000000,,,2943000000.000000,-27712000000.000000,9761000000.000000,,-56398000000.000000,415853000000.000000,-280371000000.000000,102297000000.000000,,26018000000.000000,-393058000000.000000,-15628000000.000000,-280371000000.000000,-100000000000.000000,150000000000.000000,,,-250000000000.000000,,,,-100000000000.000000,35482000000.000000,147310000000.000000,397000000.000000,183189000000.000000
12M 2017,542268000000.000000,12983920000000.000000,-9335208000000.000000,-3017027000000.000000,,,2313000000.000000,-4494000000.000000,,,-87236000000.000000,542268000000.000000,-499080000000.000000,2984000000.000000,,,-495730000000.000000,-6334000000.000000,-499080000000.000000,,,,,,,,,,43188000000.000000,183189000000.000000,22000000.000000,226399000000.000000
12M 2018,506890000000.000000,12981370000000.000000,-9205240000000.000000,-3181230000000.000000,,,7668000000.000000,-2436000000.000000,,,-93242000000.000000,506890000000.000000,-234103000000.000000,3331000000.000000,,,-226235000000.000000,-11199000000.000000,-234103000000.000000,,,,,,,,,,272787000000.000000,226399000000.000000,-86000000.000000,499100000000.000000
12M 2019,10768000000.000000,12273775000000.000000,-8731319000000.000000,-3485634000000.000000,,,9956000000.000000,-4934000000.000000,,,-51076000000.000000,10768000000.000000,-341883000000.000000,27759000000.000000,,,-357408000000.000000,-12234000000.000000,-341883000000.000000,,,,,,,,,,-331115000000.000000,499100000000.000000,-72000000.000000,167913000000.000000
12M 2020,-270313000000.000000,8955955000000.000000,-6675292000000.000000,-2540113000000.000000,,,1018000000.000000,-28540000000.000000,74688000000.000000,,-58029000000.000000,-270313000000.000000,-161619000000.000000,22115000000.000000,,,-156481000000.000000,-27253000000.000000,-161619000000.000000,250646000000.000000,450000000000.000000,,,,-199354000000.000000,,,250646000000.000000,-181286000000.000000,167913000000.000000,118000000.000000,-13255000000.000000
