Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Operasi Yang Dihentikan,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,5863988000000.000000,-4497313000000.000000,1366675000000.000000,-1195823000000.000000,,-84343000000.000000,-1101655000000.000000,-9825000000.000000,-1195823000000.000000,170852000000.000000,-19925000000.000000,-593000000.000000,-1311000000.000000,4479000000.000000,-22500000000.000000,-19925000000.000000,150927000000.000000,-54222000000.000000,,,96705000000.000000,,96705000000.000000,96705000000.000000,96705000000.000000,,96705000000.000000,96705000000.000000,96705000000.000000,,96705000000.000000
12M 2009,6653396000000.000000,-5041558000000.000000,1611838000000.000000,-1353516000000.000000,,-68528000000.000000,-1288354000000.000000,3366000000.000000,-1353516000000.000000,258322000000.000000,-24869000000.000000,543000000.000000,-28191000000.000000,2779000000.000000,,-24869000000.000000,233453000000.000000,-61645000000.000000,,,171808000000.000000,,171808000000.000000,171808000000.000000,171808000000.000000,,171808000000.000000,171808000000.000000,171808000000.000000,,171808000000.000000
12M 2010,7667325000000.000000,-5879919000000.000000,1787406000000.000000,-1460252000000.000000,,-70993000000.000000,-1398446000000.000000,9187000000.000000,-1460252000000.000000,327154000000.000000,-34046000000.000000,234000000.000000,-38368000000.000000,4088000000.000000,,-34046000000.000000,293108000000.000000,-71199000000.000000,,,221909000000.000000,,221909000000.000000,221909000000.000000,221909000000.000000,,221909000000.000000,221909000000.000000,221909000000.000000,,221909000000.000000
12M 2011,8952052000000.000000,-6809589000000.000000,2142463000000.000000,-1758391000000.000000,,-186382000000.000000,-1570187000000.000000,-1822000000.000000,-1758391000000.000000,384072000000.000000,-21922000000.000000,-257000000.000000,-26197000000.000000,4532000000.000000,,-21922000000.000000,362150000000.000000,-88564000000.000000,,,273586000000.000000,,273586000000.000000,273586000000.000000,273586000000.000000,,273586000000.000000,273586000000.000000,273586000000.000000,,273586000000.000000
12M 2012,10510422000000.000000,-8073259000000.000000,2437163000000.000000,-1995931000000.000000,,-225413000000.000000,-1770976000000.000000,458000000.000000,-1995931000000.000000,441232000000.000000,-39665000000.000000,,-42054000000.000000,2389000000.000000,,-39665000000.000000,401567000000.000000,-98839000000.000000,,,302728000000.000000,-36717000000.000000,266011000000.000000,302728000000.000000,302728000000.000000,,302728000000.000000,266011000000.000000,266011000000.000000,,266011000000.000000
12M 2013,11900354000000.000000,-9053464000000.000000,2846890000000.000000,-2064419000000.000000,,-308607000000.000000,-2114667000000.000000,358855000000.000000,-2064419000000.000000,782471000000.000000,7722000000.000000,,-46083000000.000000,53805000000.000000,,7722000000.000000,790193000000.000000,-119055000000.000000,,,671138000000.000000,65395000000.000000,736533000000.000000,671138000000.000000,671138000000.000000,,671138000000.000000,736533000000.000000,736533000000.000000,,736533000000.000000
12M 2014,13564029000000.000000,-10447839000000.000000,3116190000000.000000,-3104161000000.000000,,-3311823000000.000000,,207662000000.000000,-3104161000000.000000,12029000000.000000,29932000000.000000,,-12319000000.000000,42251000000.000000,,29932000000.000000,41961000000.000000,1794000000.000000,,,43755000000.000000,54496000000.000000,98251000000.000000,43755000000.000000,43755000000.000000,,43755000000.000000,98251000000.000000,98251000000.000000,,98251000000.000000
12M 2015,14352700000000.000000,-11026182000000.000000,3326518000000.000000,-3394014000000.000000,,-3572879000000.000000,,178865000000.000000,-3394014000000.000000,-67496000000.000000,-23688000000.000000,,-27472000000.000000,3784000000.000000,,-23688000000.000000,-91184000000.000000,8962000000.000000,-61856000000.000000,,-144078000000.000000,-95364000000.000000,-239442000000.000000,-144078000000.000000,-144078000000.000000,,-144078000000.000000,-239442000000.000000,-239442000000.000000,,-239442000000.000000
12M 2016,13677931000000.000000,-10107503000000.000000,3570428000000.000000,-3364327000000.000000,,-3604301000000.000000,,239974000000.000000,-3364327000000.000000,206101000000.000000,-21652000000.000000,,-24500000000.000000,2848000000.000000,,-21652000000.000000,184449000000.000000,-32168000000.000000,-31693000000.000000,,120588000000.000000,122817000000.000000,243405000000.000000,120588000000.000000,120588000000.000000,,120588000000.000000,243405000000.000000,243405000000.000000,,243405000000.000000
12M 2017,13033638000000.000000,-9591191000000.000000,3442447000000.000000,-3691772000000.000000,,-3766137000000.000000,,74365000000.000000,-3691772000000.000000,-249325000000.000000,-2322000000.000000,,-4635000000.000000,2313000000.000000,,-2322000000.000000,-251647000000.000000,60241000000.000000,,,-191406000000.000000,-67634000000.000000,-259040000000.000000,-191406000000.000000,-191406000000.000000,,-191406000000.000000,-259040000000.000000,-259040000000.000000,,-259040000000.000000
12M 2018,12970389000000.000000,-9275890000000.000000,3694499000000.000000,-4949086000000.000000,,-3844363000000.000000,,-1104723000000.000000,-4949086000000.000000,-1254587000000.000000,1592000000.000000,,-6076000000.000000,7668000000.000000,,1592000000.000000,-1252995000000.000000,2806000000.000000,,,-1250189000000.000000,-7066000000.000000,-1257255000000.000000,-1250189000000.000000,-1250189000000.000000,,-1250189000000.000000,-1257255000000.000000,-1257255000000.000000,,-1257255000000.000000
12M 2019,12267782000000.000000,-8721282000000.000000,3546500000000.000000,-3497056000000.000000,,-3488590000000.000000,,-8466000000.000000,-3497056000000.000000,49444000000.000000,6284000000.000000,,-4934000000.000000,11218000000.000000,,6284000000.000000,55728000000.000000,14908000000.000000,,,70636000000.000000,-4963000000.000000,65673000000.000000,70636000000.000000,70636000000.000000,,70636000000.000000,65673000000.000000,65673000000.000000,,65673000000.000000
12M 2020,8893785000000.000000,-6493920000000.000000,2399865000000.000000,-3315421000000.000000,,-3554440000000.000000,,239019000000.000000,-3315421000000.000000,-915556000000.000000,-111577000000.000000,,-112693000000.000000,1116000000.000000,,-111577000000.000000,-1027133000000.000000,-187469000000.000000,,,-1214602000000.000000,-3203000000.000000,-1217805000000.000000,-1214602000000.000000,-1214602000000.000000,,-1214602000000.000000,-1217805000000.000000,-1217805000000.000000,,-1217805000000.000000
12M 2021,3481227000000.000000,-1963344000000.000000,1517883000000.000000,-2028510000000.000000,,-2066839000000.000000,,38329000000.000000,-2028510000000.000000,-510627000000.000000,-235858000000.000000,,-237318000000.000000,1460000000.000000,,-235858000000.000000,-746485000000.000000,-185594000000.000000,-31447000000.000000,,-963526000000.000000,-17342000000.000000,-980868000000.000000,-963526000000.000000,-963526000000.000000,,-963526000000.000000,-980868000000.000000,-980868000000.000000,,-980868000000.000000
12M 2022,4436667000000.000000,-2582050000000.000000,1854617000000.000000,-1858859000000.000000,,-1874389000000.000000,,15530000000.000000,-1858859000000.000000,-4242000000.000000,-384533000000.000000,,-386444000000.000000,1911000000.000000,,-384533000000.000000,-388775000000.000000,81031000000.000000,366855000000.000000,,59111000000.000000,5207000000.000000,64318000000.000000,59111000000.000000,59111000000.000000,,59111000000.000000,64318000000.000000,64318000000.000000,,64318000000.000000
12M 2023,4387448000000.000000,-2575392000000.000000,1812056000000.000000,-1899739000000.000000,-1917286000000.000000,,,17547000000.000000,-1899739000000.000000,-87683000000.000000,-402890000000.000000,,-406180000000.000000,3290000000.000000,,-402890000000.000000,-490573000000.000000,59664000000.000000,298744000000.000000,,-132165000000.000000,614149000000.000000,481984000000.000000,-132165000000.000000,-132165000000.000000,,-132165000000.000000,481984000000.000000,481984000000.000000,,481984000000.000000
