Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Goodwill,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,326275976755.000000,,2065000000.000000,2065000000.000000,2065000000.000000,273343271.000000,,273343271.000000,273343271.000000,31453851390.000000,14314606639.000000,374382778055.000000,,,244000000.000000,,761967833770.000000,,,761967833770.000000,259009284259.000000,109469839.000000,,32896968939.000000,1054227556807.000000,1428610334862.000000,,,71730078523.000000,,,4654420611.000000,15732230939.000000,20386651550.000000,414724567.000000,,,414724567.000000,7544043228.000000,1709967042.000000,,39984839545.000000,1051454741.000000,638397850.000000,,41674692136.000000,,71730078523.000000,445455176614.000000,2257690469.000000,82840003070.000000,,355988107256.000000,2247014757.000000,58745376.000000,,358293867389.000000,,,2063615686.000000,445455176614.000000,517185255137.000000,,500000000000.000000,170704318913.000000,79646528027.000000,,,79646528027.000000,29653538750.000000,131420694035.000000,911425079725.000000,1428610334862.000000,5000000000.000000
12M 2009,,,305000546074.000000,,,,,784254174.000000,122234279.000000,662019895.000000,784254174.000000,33114815691.000000,24943672758.000000,363843288697.000000,,,244000000.000000,222585115031.000000,851474035367.000000,,,851474035367.000000,304449890086.000000,114984424242.000000,,135465174211.000000,1629202638937.000000,1993045927634.000000,,,127362627247.000000,,,971009704.000000,38511123403.000000,39482133107.000000,4443010500.000000,,,4443010500.000000,35300831865.000000,4483894872.000000,,41980000000.000000,1399470072.000000,273286831.000000,,43652756903.000000,,127362627247.000000,736148618465.000000,2024289424.000000,76374960768.000000,,653361551829.000000,1709326125.000000,309280821.000000,,655380158775.000000,,,2369209498.000000,736148618465.000000,863511245712.000000,,500000000000.000000,170704318913.000000,267782021481.000000,,,267782021481.000000,59552794158.000000,131495547370.000000,1129534681922.000000,1993045927634.000000,5000000000.000000
12M 2010,,,174562486580.000000,,,,,6216105398.000000,,6216105398.000000,6216105398.000000,19038210261.000000,46530915685.000000,246347717924.000000,,,416549665.000000,309909722579.000000,935463197920.000000,,,935463197920.000000,332831232109.000000,131851708265.000000,,138975741292.000000,1849448151830.000000,2095795869754.000000,,,149769953228.000000,,,,49217540760.000000,49217540760.000000,1170536541.000000,,,1170536541.000000,19427428317.000000,7028017372.000000,,55140000000.000000,16682879723.000000,1103550515.000000,,72926430238.000000,,149769953228.000000,715859137946.000000,2199200334.000000,67730816300.000000,,589819316148.000000,51155263957.000000,2231103975.000000,,643205684080.000000,,,2723437232.000000,715859137946.000000,865629091174.000000,,500000000000.000000,170704318913.000000,368579224765.000000,,,368579224765.000000,59387687532.000000,131495547370.000000,1230166778580.000000,2095795869754.000000,5000000000.000000
12M 2011,,,178475342096.000000,,,,,1246452780.000000,,1246452780.000000,1246452780.000000,19915547268.000000,31679982346.000000,231317324490.000000,,,598236000.000000,638695373191.000000,1073039594827.000000,,,1073039594827.000000,461047523008.000000,263101930221.000000,,166798220657.000000,2603280877904.000000,2834598202394.000000,,,293848910505.000000,50000000000.000000,,,98583962892.000000,98583962892.000000,1018367910.000000,,,1018367910.000000,22835592294.000000,10874646692.000000,,92350000000.000000,16509644000.000000,1676696717.000000,,110536340717.000000,,293848910505.000000,1033627084458.000000,250000000.000000,59406491137.000000,,813808933892.000000,155222491626.000000,1850446229.000000,,970881871747.000000,,,3088721574.000000,1033627084458.000000,1327475994963.000000,,500000000000.000000,170704318913.000000,690076316004.000000,,,690076316004.000000,14846025144.000000,131495547370.000000,1507122207431.000000,2834598202394.000000,5000000000.000000
12M 2012,,,231269709949.000000,,,,,3621848204.000000,1245000000.000000,2376848204.000000,3621848204.000000,36927899611.000000,103061714628.000000,374881172392.000000,,,130736000.000000,733052201514.000000,1199061902605.000000,595582904054.000000,603478998551.000000,1199061902605.000000,494393307667.000000,263101930221.000000,,122900132896.000000,2812640210903.000000,3187521383295.000000,,,247860982163.000000,50000000000.000000,,,56038948569.000000,56038948569.000000,1859383455.000000,,,1859383455.000000,21279452567.000000,10073294510.000000,,85030000000.000000,16980746645.000000,3283581007.000000,,105294327652.000000,3315575410.000000,247860982163.000000,1339511575276.000000,,47038479001.000000,,995949402021.000000,289674447509.000000,3500835813.000000,,1289124685343.000000,,,3348410932.000000,1339511575276.000000,1587372557439.000000,,600000000000.000000,83454318913.000000,769358866389.000000,20000000000.000000,749358866389.000000,769358866389.000000,15840093184.000000,131495547370.000000,1600148825856.000000,3187521383295.000000,6000000000.000000
12M 2013,,,175533000000.000000,,2615000000.000000,2615000000.000000,2615000000.000000,3109000000.000000,438000000.000000,2671000000.000000,3109000000.000000,16700000000.000000,85397000000.000000,283354000000.000000,,,131000000.000000,827774000000.000000,1233851000000.000000,739622000000.000000,494229000000.000000,1233851000000.000000,513206000000.000000,263102000000.000000,,79687000000.000000,2917751000000.000000,3201105000000.000000,,,379305000000.000000,50000000000.000000,,,93732000000.000000,93732000000.000000,2124000000.000000,,,2124000000.000000,41703000000.000000,12861000000.000000,,106444000000.000000,23914000000.000000,4671000000.000000,,135029000000.000000,43856000000.000000,379305000000.000000,1318504000000.000000,,36022000000.000000,,999804000000.000000,272497000000.000000,5756000000.000000,,1278057000000.000000,,,4425000000.000000,1318504000000.000000,1697809000000.000000,,600000000000.000000,38939000000.000000,677309000000.000000,25000000000.000000,652309000000.000000,677309000000.000000,11037000000.000000,176011000000.000000,1503296000000.000000,3201105000000.000000,6000000000.000000
12M 2014,,,102125000000.000000,,1274000000.000000,1274000000.000000,1274000000.000000,2951000000.000000,755000000.000000,2196000000.000000,2951000000.000000,15866000000.000000,83956000000.000000,206172000000.000000,,,131000000.000000,954099000000.000000,1209535000000.000000,924727000000.000000,284808000000.000000,1209535000000.000000,502043000000.000000,263102000000.000000,,97562000000.000000,3026472000000.000000,3232644000000.000000,,,233819000000.000000,,,,81167000000.000000,81167000000.000000,2150000000.000000,,,2150000000.000000,54533000000.000000,16311000000.000000,,50347000000.000000,24459000000.000000,3908000000.000000,,78714000000.000000,944000000.000000,233819000000.000000,1444522000000.000000,,8520000000.000000,,1177830000000.000000,249738000000.000000,1866000000.000000,,1429434000000.000000,,,6568000000.000000,1444522000000.000000,1678341000000.000000,,600000000000.000000,38939000000.000000,730029000000.000000,25000000000.000000,705029000000.000000,730029000000.000000,9324000000.000000,176011000000.000000,1554303000000.000000,3232644000000.000000,6000000000.000000
12M 2015,,,113062000000.000000,,966000000.000000,966000000.000000,966000000.000000,6165000000.000000,1055000000.000000,5110000000.000000,6165000000.000000,50089000000.000000,87102000000.000000,257384000000.000000,,,131000000.000000,1049914000000.000000,2383425000000.000000,2108650000000.000000,274775000000.000000,2383425000000.000000,864794000000.000000,263102000000.000000,,145326000000.000000,4706692000000.000000,4964076000000.000000,,,204503000000.000000,,,,35738000000.000000,35738000000.000000,3111000000.000000,,,3111000000.000000,32728000000.000000,22481000000.000000,,75563000000.000000,30619000000.000000,4263000000.000000,,110445000000.000000,,204503000000.000000,2089557000000.000000,,360172000000.000000,,1479706000000.000000,220625000000.000000,5493000000.000000,,1705824000000.000000,,,23561000000.000000,2089557000000.000000,2294060000000.000000,,600000000000.000000,38939000000.000000,698350000000.000000,30000000000.000000,668350000000.000000,698350000000.000000,44515000000.000000,1288212000000.000000,2670016000000.000000,4964076000000.000000,6000000000.000000
12M 2016,,,46954000000.000000,,3365000000.000000,3365000000.000000,3365000000.000000,2609000000.000000,,2609000000.000000,2609000000.000000,13726000000.000000,81733000000.000000,148387000000.000000,,,131000000.000000,,2158404000000.000000,1963563000000.000000,194841000000.000000,2158404000000.000000,879980000000.000000,131250000000.000000,,228871000000.000000,3398636000000.000000,3547023000000.000000,,,288173000000.000000,45000000000.000000,,,56488000000.000000,56488000000.000000,,456000000.000000,7360000000.000000,7816000000.000000,11524000000.000000,32043000000.000000,,61921000000.000000,40977000000.000000,2404000000.000000,,105302000000.000000,30000000000.000000,288173000000.000000,2114343000000.000000,,309766000000.000000,,1594354000000.000000,180007000000.000000,1775000000.000000,,1776136000000.000000,,,28441000000.000000,2114343000000.000000,2402516000000.000000,,600000000000.000000,43994000000.000000,-837609000000.000000,30000000000.000000,-867609000000.000000,-837609000000.000000,50884000000.000000,1287238000000.000000,1144507000000.000000,3547023000000.000000,6000000000.000000
12M 2017,,,75047000000.000000,,1906000000.000000,1906000000.000000,1906000000.000000,7202000000.000000,,7202000000.000000,7202000000.000000,36042000000.000000,89623000000.000000,209820000000.000000,,,,,2051577000000.000000,2013489000000.000000,38088000000.000000,2051577000000.000000,852342000000.000000,131250000000.000000,,272597000000.000000,3307766000000.000000,3517586000000.000000,,,260500000000.000000,,,,66813000000.000000,66813000000.000000,,1356000000.000000,1733000000.000000,3089000000.000000,6143000000.000000,18749000000.000000,,79819000000.000000,81333000000.000000,1777000000.000000,,162929000000.000000,2777000000.000000,260500000000.000000,1719106000000.000000,,394150000000.000000,,1185453000000.000000,99727000000.000000,934000000.000000,,1286114000000.000000,,,38842000000.000000,1719106000000.000000,1979606000000.000000,,600000000000.000000,91297000000.000000,-754739000000.000000,30000000000.000000,-784739000000.000000,-754739000000.000000,49324000000.000000,1552098000000.000000,1537980000000.000000,3517586000000.000000,6000000000.000000
