Period,Arus Kas Dari Aktivitas Operasi,Kas Diterima Dari Pelanggan,Kas Dibayar Kepada Pemasok Dan Karyawan,Kas Dibayar Kepada Pemasok,Kas Dibayar Kepada Karyawan,Total Kas Dibayar Kepada Pemasok Dan Karyawan,Penerimaan Penghasilan Bunga,Pembayaran Beban Keuangan,Pembayaran Pajak,Penerimaan Lain-Lain,Penerimaan Dari Restitusi Pajak,Penerimaan Pajak Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Kas Dan Setara Kas Yang Dibatasi Penggunaannya,Penjualan Aset Tetap,Perolehan Aset Tetap,Pembayaran Uang Muka Aset Tetap,Penambahan Tanaman Perkebunan,Penambahan Perkebunan Plasma,Pengurangan Tanaman Perkebunan Plasma,Pengambialihan Kepentingan Non Pengendali,Penerimaan Penjualan Saham,Pelepasan Penyertaan Saham,Penempatan Investasi Jangka Pendek,Pembayaran Uang Muka Investasi,Pengembalian Uang Muka Investasi,Penambahan Penyertaan Saham,Penambahan Aset Lain-Lain,Penambahan Kas Bersih Dari Akuisisi Entitas Anak,Penerimaan Uang Muka Penjualan Saham,Penambahan Uang Muka,Uang Muka Penjualan Entitas Anak,Penambahan Piutang Pihak Berelasi,Pelunasan Piutang Pihak Berelasi,Selisih Nilai Transaksi Restrukturisasi Entitas Sepengdali,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Hutang Bank,Penambahan Hutang Bank Jangka Panjang,Penambahan Hutang Lembaga Keuangan,Setoran Modal,Penambahan Modal Ditempatkan Dan Disetor Penuh,Pembayaran Pinjaman Bank,Penambahan Hutang Pihak Berelasi,Pembayaran Hutang Pihak Berelasi,Pembayaran Utang Pada Pihak Ketiga,Penambahan Piutang Pihak Berelasi,Pembayaran Piutang Pihak Berelasi,Pembayaran Hutang Bank Jangka Panjang,Pembayaran Hutang Lembaga Keuangan,Pembayaran Hutang Sewa,Pembayaran Hutang Sewa Pembiayaan,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Anak Perusahaan Yang Diakuisisi,Kas Dan Setara Kas Akhir Periode
12M 2008,93043564253.000000,344041676038.000000,-252429467977.000000,,,-252429467977.000000,15069181433.000000,-13713940424.000000,-236866293.000000,312981476.000000,,,93043564253.000000,-139570357282.000000,,60000000.000000,-33854262664.000000,,-77576129067.000000,-27986455551.000000,,,,,,,,,-213510000.000000,,,,,,,,-139570357282.000000,354583833294.000000,,73628296865.000000,,,320704318913.000000,,,1958108093.000000,,,15718302914.000000,-56021177683.000000,-869952975.000000,,-534062833.000000,,354583833294.000000,,308057040265.000000,18218936490.000000,,326275976755.000000
12M 2009,175049313313.000000,445221833636.000000,-246228308512.000000,,,-246228308512.000000,13110201592.000000,-22429828343.000000,-15944642826.000000,1320057766.000000,,,175049313313.000000,-550602157758.000000,,,-33858542279.000000,,-99315933178.000000,-32174907433.000000,,,,,,,,-306796150000.000000,-78456624868.000000,,,,,,,,-550602157758.000000,350516067809.000000,,645711488316.000000,,,33000000000.000000,,,-56070149903.000000,,,,-253514021734.000000,-1571673295.000000,,-789575575.000000,-16250000000.000000,350516067809.000000,,-25036776636.000000,326275976755.000000,3761336955.000000,305000537074.000000
12M 2010,124188176849.000000,473022126363.000000,-226246001037.000000,,,-226246001037.000000,16787423990.000000,-69651355966.000000,-71860235886.000000,2136219385.000000,,,124188176849.000000,-208492776802.000000,,136363636.000000,-58824829871.000000,,-118127008348.000000,-14014556700.000000,,,,,,,,,-2671770908.000000,,,-14990974611.000000,,,,,-208492776802.000000,-46133459541.000000,,120384208678.000000,74671000000.000000,,,,174910909.000000,,,-172549666.000000,,-168080760507.000000,-11844098293.000000,,-1266170662.000000,-60000000000.000000,-46133459541.000000,,-130438059494.000000,305000546074.000000,,174562486580.000000
12M 2011,161677255157.000000,515317769988.000000,-264004228646.000000,,,-264004228646.000000,19335056403.000000,-64156155397.000000,-47354682563.000000,2539495372.000000,,,161677255157.000000,-517986002249.000000,,689751515.000000,-147800014599.000000,,-175010986458.000000,-13518089152.000000,,,,,,,,-176400000000.000000,-3335116191.000000,,,-2611547364.000000,,,,,-517986002249.000000,360221602608.000000,50000000000.000000,314540000000.000000,119661755000.000000,,,,,-1949200334.000000,,-181686335.000000,,-55140000000.000000,-16962374180.000000,,-1746891543.000000,-48000000000.000000,360221602608.000000,,3912855516.000000,174562486580.000000,,178475342096.000000
12M 2012,12136087745.000000,433677022459.000000,-313799878057.000000,,,-313799878057.000000,6813241671.000000,-77873937332.000000,-42676722937.000000,5996361941.000000,,,12136087745.000000,-254920155734.000000,,368181814.000000,-49308633520.000000,,-163404206208.000000,17639756158.000000,,,,,,,,,,,,-60215253978.000000,,,,,-254920155734.000000,295578435842.000000,,266375000000.000000,149256044100.000000,,,,,-250000000.000000,,-777500000.000000,,-92350000000.000000,-17700563778.000000,,-3580044480.000000,-5394500000.000000,295578435842.000000,,52794367853.000000,178475342096.000000,,231269709949.000000
12M 2013,128083000000.000000,511632000000.000000,,-221179000000.000000,-71484000000.000000,-292663000000.000000,6528000000.000000,-122481000000.000000,-27196000000.000000,41009000000.000000,11254000000.000000,,128083000000.000000,-184781000000.000000,,301000000.000000,-45635000000.000000,,-81867000000.000000,-37562000000.000000,,,,,,,,,24000000.000000,,,-20042000000.000000,,,,,-184781000000.000000,961000000.000000,,542001000000.000000,1685000000.000000,,,,,,,807000000.000000,,-516930000000.000000,-18137000000.000000,,-7457000000.000000,-1008000000.000000,961000000.000000,,-55737000000.000000,231270000000.000000,,175533000000.000000
12M 2014,-28765000000.000000,463777000000.000000,,-184228000000.000000,-148166000000.000000,-332394000000.000000,5947000000.000000,-147370000000.000000,-29584000000.000000,10311000000.000000,548000000.000000,,-28765000000.000000,-82714000000.000000,,189000000.000000,-23928000000.000000,,-40079000000.000000,-18824000000.000000,,,,,,,,,,,,-72000000.000000,,,,,-82714000000.000000,38071000000.000000,-50000000000.000000,688676000000.000000,,,,,,,,-317000000.000000,,-569575000000.000000,-25280000000.000000,,-5433000000.000000,,38071000000.000000,,-73408000000.000000,175533000000.000000,,102125000000.000000
12M 2015,-143238000000.000000,539995000000.000000,,-339864000000.000000,-150086000000.000000,-489950000000.000000,5310000000.000000,-169506000000.000000,-32287000000.000000,2711000000.000000,489000000.000000,,-143238000000.000000,-126286000000.000000,,55000000.000000,-42414000000.000000,,-44757000000.000000,-39170000000.000000,,,,,,,,,,,,,,,,,-126286000000.000000,280461000000.000000,,362026000000.000000,,,,,,,,-300000000.000000,,-50347000000.000000,-24003000000.000000,,-6904000000.000000,-11000000.000000,280461000000.000000,,10937000000.000000,102125000000.000000,,113062000000.000000
12M 2016,-58243000000.000000,596899000000.000000,,-298625000000.000000,-178227000000.000000,-476852000000.000000,3100000000.000000,-168037000000.000000,-19145000000.000000,5792000000.000000,,,-58243000000.000000,-102395000000.000000,,978000000.000000,-48830000000.000000,,-39257000000.000000,-45286000000.000000,,,,,,,,,,,,30000000000.000000,,,,,-102395000000.000000,94530000000.000000,45000000000.000000,108222000000.000000,,20000000000.000000,890000000.000000,,456000000.000000,,,1055000000.000000,,-42345000000.000000,-30738000000.000000,,-6044000000.000000,-1966000000.000000,94530000000.000000,,-66108000000.000000,113062000000.000000,,46954000000.000000
12M 2017,23705000000.000000,715742000000.000000,,-387929000000.000000,-149953000000.000000,-537882000000.000000,4004000000.000000,-154987000000.000000,-12530000000.000000,9358000000.000000,,,23705000000.000000,29328000000.000000,,92000000.000000,-124638000000.000000,,-9867000000.000000,-43834000000.000000,,-18000000000.000000,,225575000000.000000,,,,,,,,,,,,,29328000000.000000,-24940000000.000000,42852000000.000000,,,,47395000000.000000,,,,,,,-70794000000.000000,-41783000000.000000,,-2610000000.000000,,-24940000000.000000,,28093000000.000000,46954000000.000000,,75047000000.000000
12M 2018,138641000000.000000,628943000000.000000,-350517000000.000000,,,-350517000000.000000,-147708000000.000000,,,5445000000.000000,,2478000000.000000,138641000000.000000,-116039000000.000000,,,-12589000000.000000,,-30500000000.000000,,,,,,,,,,,,,-72950000000.000000,,,,,-116039000000.000000,-90830000000.000000,50000000000.000000,,,,22950000000.000000,,,,,,,-79820000000.000000,-81298000000.000000,,-2662000000.000000,,-90830000000.000000,,-68228000000.000000,75047000000.000000,,6819000000.000000
12M 2019,-85712000000.000000,407008000000.000000,,-188956000000.000000,-184378000000.000000,-373334000000.000000,364000000.000000,-115427000000.000000,-4737000000.000000,-2154000000.000000,2568000000.000000,,-85712000000.000000,282268000000.000000,,10000000.000000,-8916000000.000000,,-6408000000.000000,,1245000000.000000,,,200448000000.000000,,,,,,,,,95889000000.000000,,,,282268000000.000000,-65830000000.000000,18700000000.000000,,,,1163000000.000000,,,-2264000000.000000,,,,-59011000000.000000,-22343000000.000000,,-2075000000.000000,,-65830000000.000000,,130726000000.000000,6819000000.000000,,137545000000.000000
12M 2020,12193000000.000000,457394000000.000000,,-217848000000.000000,-105372000000.000000,-323220000000.000000,4799000000.000000,-71733000000.000000,-55467000000.000000,286000000.000000,134000000.000000,,12193000000.000000,90960000000.000000,,93000000.000000,-14291000000.000000,,-3108000000.000000,,-355000000.000000,,,103242000000.000000,,,,-1800000000.000000,,,,-321000000.000000,7500000000.000000,,,,90960000000.000000,-93762000000.000000,,,,,,,,,,,,-63480000000.000000,-28067000000.000000,-2215000000.000000,,,-93762000000.000000,,9391000000.000000,137545000000.000000,,146936000000.000000
12M 2021,239245000000.000000,784048000000.000000,,-379547000000.000000,-110253000000.000000,-489800000000.000000,3080000000.000000,-60332000000.000000,-3468000000.000000,593000000.000000,5124000000.000000,,239245000000.000000,-125391000000.000000,,970000000.000000,-9053000000.000000,,-2088000000.000000,,4576000000.000000,,,8701000000.000000,-128000000000.000000,,,,,,,-497000000.000000,,,,,-125391000000.000000,-148170000000.000000,,,,,,,131000000.000000,-1356000000.000000,,,,-108800000000.000000,-31643000000.000000,-4715000000.000000,,-1787000000.000000,-148170000000.000000,,-34316000000.000000,146936000000.000000,,112620000000.000000
12M 2022,178681000000.000000,712470000000.000000,,-361348000000.000000,-116365000000.000000,-477713000000.000000,2682000000.000000,-43086000000.000000,-15915000000.000000,-765000000.000000,1008000000.000000,,178681000000.000000,35670000000.000000,,205000000.000000,-28107000000.000000,,-3763000000.000000,,4335000000.000000,,,5000000000.000000,58000000000.000000,,,,,,,,,,,,35670000000.000000,-161761000000.000000,,,,,,,,,,,,-132450000000.000000,-20956000000.000000,-8289000000.000000,,-66000000.000000,-161761000000.000000,,52590000000.000000,112620000000.000000,,165210000000.000000
12M 2023,260191000000.000000,743809000000.000000,,-362524000000.000000,-130965000000.000000,-493489000000.000000,1565000000.000000,-29324000000.000000,-14260000000.000000,829000000.000000,51061000000.000000,,260191000000.000000,-166219000000.000000,-10000000000.000000,313000000.000000,-22426000000.000000,-60000000.000000,-16175000000.000000,,5129000000.000000,,,,-63000000000.000000,-190000000000.000000,130000000000.000000,,,,,,,,,,-166219000000.000000,96173000000.000000,,450000000000.000000,,,,,,,,,,-344570000000.000000,-427000000.000000,-8830000000.000000,,,96173000000.000000,,190145000000.000000,165210000000.000000,,355355000000.000000
12M 2024,169940000000.000000,888864000000.000000,,-448606000000.000000,-159954000000.000000,-608560000000.000000,3322000000.000000,-35057000000.000000,-79318000000.000000,119000000.000000,570000000.000000,,169940000000.000000,118786000000.000000,-108000000.000000,266000000.000000,-11323000000.000000,,-25049000000.000000,,14218000000.000000,,,,113000000000.000000,,,,,-4218000000.000000,32000000000.000000,,,,,,118786000000.000000,-489256000000.000000,,,,,,,,,-292382000000.000000,,,-181690000000.000000,-952000000.000000,-14232000000.000000,,,-489256000000.000000,,-200530000000.000000,355355000000.000000,,154825000000.000000
