Period,Total Pendapatan,Total Beban Pokok Penjualan,Adjustment,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Karyawan,Beban Penyusutan,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,1880275200000.000000,-891088320000.000000,,989186880000.000000,-113249238000.000000,-25203551000.000000,-104412754000.000000,,,,16367067000.000000,-113249238000.000000,875937642000.000000,-110764478000.000000,31529756000.000000,-142294234000.000000,,-110764478000.000000,765173164000.000000,-203478040000.000000,561695124000.000000,-216850744000.000000,344844380000.000000,,,,344844380000.000000,344844380000.000000,337534783000.000000,7309597000.000000,344844380000.000000,344844380000.000000,337534783000.000000,7309597000.000000,344844380000.000000
12M 2013,1962435194000.000000,-949458299000.000000,,1012976895000.000000,-74648064000.000000,-30113725000.000000,-93652296000.000000,,,,49117957000.000000,-74648064000.000000,938328831000.000000,-84909682000.000000,39181602000.000000,-124091284000.000000,,-84909682000.000000,853419149000.000000,-221750123000.000000,631669026000.000000,,631669026000.000000,,,,631669026000.000000,631669026000.000000,576823943000.000000,54845083000.000000,631669026000.000000,631669026000.000000,576823943000.000000,54845083000.000000,631669026000.000000
12M 2014,2180672958000.000000,-1027884588000.000000,,1152788370000.000000,-219723578000.000000,-34136502000.000000,-242394125000.000000,,,,56807049000.000000,-219723578000.000000,933064792000.000000,53824490000.000000,137660130000.000000,-83835640000.000000,,53824490000.000000,986889282000.000000,-249059346000.000000,737829936000.000000,,737829936000.000000,,,,737829936000.000000,737829936000.000000,719096964000.000000,18732972000.000000,737829936000.000000,737829936000.000000,719096964000.000000,18732972000.000000,737829936000.000000
12M 2015,2371878115000.000000,-1123966317000.000000,,1247911798000.000000,-362402999000.000000,-79948942000.000000,-287940562000.000000,,,,5486505000.000000,-362402999000.000000,885508799000.000000,-110060023000.000000,96031135000.000000,-206091158000.000000,,-110060023000.000000,775448776000.000000,-188305167000.000000,587143609000.000000,-28174316000.000000,558969293000.000000,12478667000.000000,12478667000.000000,12478667000.000000,571075154000.000000,558969293000.000000,560912349000.000000,-1943056000.000000,558969293000.000000,571075154000.000000,574986977000.000000,-3911823000.000000,571075154000.000000
12M 2016,2722677818000.000000,-1256619296000.000000,,1466058522000.000000,-477537851000.000000,-166483507000.000000,-315218333000.000000,,,,4163989000.000000,-477537851000.000000,988520671000.000000,-141132955000.000000,135001406000.000000,-182425152000.000000,-93709209000.000000,-141132955000.000000,847387716000.000000,-255728944000.000000,591658772000.000000,,591658772000.000000,9796605000.000000,9796605000.000000,9796605000.000000,601455377000.000000,591658772000.000000,591658772000.000000,,591658772000.000000,601455377000.000000,601455377000.000000,,601455377000.000000
12M 2017,3240831859000.000000,-1515306946000.000000,,1725524913000.000000,-538476087000.000000,-252766422000.000000,-373521066000.000000,,,,87811401000.000000,-538476087000.000000,1187048826000.000000,-93350898000.000000,248444240000.000000,-341795138000.000000,,-93350898000.000000,1093697928000.000000,-302775156000.000000,790922772000.000000,,790922772000.000000,-19044079000.000000,-19044079000.000000,-19044079000.000000,771878693000.000000,790922772000.000000,787087246000.000000,3835526000.000000,790922772000.000000,771878693000.000000,768133702000.000000,3744991000.000000,771878693000.000000
12M 2018,3710780545000.000000,-2110179972000.000000,,1600600573000.000000,-982683537000.000000,-219484689000.000000,-491284515000.000000,,,,-271914333000.000000,-982683537000.000000,617917036000.000000,-277048224000.000000,210180046000.000000,-487228270000.000000,,-277048224000.000000,340868812000.000000,-254097843000.000000,86770969000.000000,,86770969000.000000,36986880000.000000,36986880000.000000,36986880000.000000,123757849000.000000,86770969000.000000,86203451000.000000,567518000.000000,86770969000.000000,123757849000.000000,122993385000.000000,764464000.000000,123757849000.000000
12M 2019,3277806795000.000000,-2268335019000.000000,,1009471776000.000000,-563104695000.000000,-82650007000.000000,-522937561000.000000,,,,42482873000.000000,-563104695000.000000,446367081000.000000,-291774460000.000000,239147251000.000000,-513846823000.000000,-17074888000.000000,-291774460000.000000,154592621000.000000,-142510662000.000000,12081959000.000000,,12081959000.000000,13669249000.000000,13669249000.000000,13669249000.000000,25751208000.000000,12081959000.000000,11680187000.000000,401772000.000000,12081959000.000000,25751208000.000000,25295440000.000000,455768000.000000,25751208000.000000
12M 2020,4011130559000.000000,-2213911519000.000000,,1797219040000.000000,-590807960000.000000,-81699438000.000000,-606207082000.000000,,,,97098560000.000000,-590807960000.000000,1206411080000.000000,-306865146000.000000,324854893000.000000,-566828280000.000000,-64891759000.000000,-306865146000.000000,899545934000.000000,-318690994000.000000,580854940000.000000,,580854940000.000000,162647377000.000000,162647377000.000000,162647377000.000000,743502317000.000000,580854940000.000000,576634024000.000000,4220916000.000000,580854940000.000000,743502317000.000000,739270756000.000000,4231561000.000000,743502317000.000000
12M 2021,5203100578000.000000,-2997853995000.000000,,2205246583000.000000,-436989434000.000000,-81291076000.000000,-572435117000.000000,,,,216736759000.000000,-436989434000.000000,1768257149000.000000,105695035000.000000,576156277000.000000,-540760882000.000000,70299640000.000000,105695035000.000000,1873952184000.000000,-347081310000.000000,1526870874000.000000,,1526870874000.000000,3853570000.000000,3853570000.000000,3853570000.000000,1530724444000.000000,1526870874000.000000,1515514388000.000000,11356486000.000000,1526870874000.000000,1530724444000.000000,1519321646000.000000,11402798000.000000,1530724444000.000000
12M 2022,11240219016000.000000,-6935789797000.000000,,4304429219000.000000,-1678573959000.000000,-1054835672000.000000,-767982550000.000000,,,,144244263000.000000,-1678573959000.000000,2625855260000.000000,-661169093000.000000,17534407000.000000,,-678703500000.000000,-661169093000.000000,1964686167000.000000,-489764327000.000000,1474921840000.000000,373197138000.000000,1848118978000.000000,17870249000.000000,17870249000.000000,17870249000.000000,1822751893000.000000,1848118978000.000000,1837375968000.000000,10743010000.000000,1848118978000.000000,1822751893000.000000,1814036666000.000000,8715227000.000000,1822751893000.000000
12M 2023,10703411845000.000000,-7904355885000.000000,,2799055960000.000000,-1602772460000.000000,-855378199000.000000,-836073334000.000000,,,,88679073000.000000,-1602772460000.000000,1196283500000.000000,-644148353000.000000,87923497000.000000,,-732071850000.000000,-644148353000.000000,552135147000.000000,-208119522000.000000,344015625000.000000,174298439000.000000,518314064000.000000,-2681345000.000000,-2681345000.000000,-2681345000.000000,526650286000.000000,518314064000.000000,512255637000.000000,6058427000.000000,518314064000.000000,526650286000.000000,521065768000.000000,5584518000.000000,526650286000.000000
12M 2024,10521650695000.000000,-7242040109000.000000,,3279610586000.000000,-1509466094000.000000,-898914514000.000000,-946326561000.000000,,,,335774981000.000000,-1509466094000.000000,1770144492000.000000,-544041188000.000000,108610664000.000000,,-652651852000.000000,-544041188000.000000,1226103304000.000000,-381411919000.000000,844691385000.000000,,844691385000.000000,58862856000.000000,58862856000.000000,58862856000.000000,903554241000.000000,844691385000.000000,819533675000.000000,25157710000.000000,844691385000.000000,903554241000.000000,872645284000.000000,30908957000.000000,903554241000.000000
