Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,-0.83,-123.57,-0.83,-123.57,43 B,82 B,125 B,123 B,(90 B)
12M 2009,-0.62,-185.61,-0.62,-185.61,53 B,66 B,119 B,118 B,(115 B)
12M 2010,-0.65,-177.27,-0.65,-177.27,42 B,45 B,86 B,86 B,(104 B)
12M 2011,-0.44,-199.90,-0.44,-199.90,21 B,47 B,68 B,68 B,(83 B)
12M 2012,-0.40,-212.96,-0.40,-212.96,9 B,49 B,59 B,58 B,(74 B)
12M 2013,-0.49,-201.01,-0.49,-201.01,12 B,42 B,53 B,53 B,(51 B)
12M 2014,-0.52,-189.53,-0.52,-189.53,13 B,33 B,45 B,45 B,(52 B)
12M 2015,-0.47,-191.85,-0.47,-191.85,15 B,23 B,37 B,37 B,(59 B)
12M 2016,-1.69,-51.94,-1.69,-51.94,18 B,0 B,19 B,17 B,(39 B)
12M 2017,-4.76,-64.34,-4.76,-64.34,39 B,15 B,54 B,54 B,(34 B)
12M 2018,-2.04,-97.78,-2.04,-97.78,,32 B,32 B,4 B,(170 B)
12M 2019,-2.48,-82.96,-2.48,-82.96,1 B,1 B,2 B,(4 B),(166 B)
12M 2020,-1.69,-111.27,-1.69,-111.27,1 B,8 B,8 B,4 B,(166 B)
12M 2021,-2.00,-110.16,-2.00,-110.16,0 B,7 B,8 B,(3 B),(297 B)
12M 2022,-2.38,-93.18,-2.38,-93.18,,1 B,1 B,(8 B),(178 B)
12M 2023,-5.70,-61.40,-5.70,-61.40,,1 B,1 B,(6 B),(215 B)
12M 2024,-11.60,-17.07,-11.60,-17.07,,1 B,1 B,(8 B),(133 B)
