Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Atas Perubahan Nilai Aset Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,49384470112.000000,-37133792006.000000,12250678106.000000,-9913179024.000000,-9913179024.000000,-9913179024.000000,2337499082.000000,8386765081.000000,-16305811839.000000,1052731.000000,34789615697.000000,,,-10098091508.000000,8386765081.000000,10724264163.000000,-2124895843.000000,8599368320.000000,306071911.000000,8905440231.000000,,,8905440231.000000,8599368320.000000,306071911.000000,8905440231.000000,,,,,
12M 2009,52225050288.000000,-29918203592.000000,22306846696.000000,-11025372920.000000,-11025372920.000000,-11025372920.000000,11281473776.000000,-39011886907.000000,-22489899172.000000,,,,,-16521987735.000000,-39011886907.000000,-27730413131.000000,3612732631.000000,-24117680500.000000,-187560480.000000,-24305240980.000000,,,-24305240980.000000,-24117680500.000000,-187560480.000000,-24305240980.000000,,,,,
12M 2010,43911126648.000000,-26439543662.000000,17471582986.000000,-10788222329.000000,-10788222329.000000,-10788222329.000000,6683360657.000000,2641290471.000000,-13411421455.000000,,18452529436.000000,,,-2399817510.000000,2641290471.000000,9324651128.000000,-6889038290.000000,2435612838.000000,830521105.000000,3266133943.000000,,,3266133943.000000,2435612838.000000,830521105.000000,3266133943.000000,,,,,
12M 2011,38383121805.000000,-21425467891.000000,16957653914.000000,-7830559914.000000,-7830559914.000000,-7830559914.000000,9127094000.000000,-15925842959.000000,-10671692569.000000,,-5081806072.000000,,,-172344318.000000,-15925842959.000000,-6798748959.000000,-1593006123.000000,-8391755082.000000,,-8391755082.000000,,-8391755082.000000,-8391755084.000000,-8232440291.000000,-159314793.000000,-8391755084.000000,-8391755084.000000,-8232440291.000000,-159314793.000000,,-8391755084.000000
12M 2012,26876595039.000000,-10168310636.000000,16708284403.000000,-7094751227.000000,-7094751227.000000,-7094751227.000000,9613533176.000000,-21783041112.000000,-6971772608.000000,,-13148527686.000000,,,-1662740818.000000,-21783041112.000000,-12169507936.000000,5870347571.000000,-6299160365.000000,,-6299160365.000000,,-6299160365.000000,-6299160365.000000,-5116015698.000000,-1183144667.000000,-6299160365.000000,-6299160365.000000,-5116015698.000000,-1183144667.000000,,-6299160365.000000
12M 2013,20609987999.000000,-3449001162.000000,17160986837.000000,-5439543950.000000,-5439543950.000000,-5439543950.000000,11721442887.000000,-3995087479.000000,-7385262725.000000,,-20631526192.000000,,,24021701438.000000,-3995087479.000000,7726355408.000000,-3051019914.000000,4675335494.000000,,4675335494.000000,,4675335494.000000,4675335494.000000,4675335494.000000,,4675335494.000000,4675335495.000000,4680822556.000000,-5487061.000000,,4675335495.000000
12M 2014,16075335248.000000,-1107923069.000000,14967412179.000000,-2485757851.000000,-2485757851.000000,-2485757851.000000,12481654328.000000,-6230571516.000000,-6024392155.000000,,,,,-206179361.000000,-6230571516.000000,6251082812.000000,-1762484064.000000,4488598748.000000,,4488598748.000000,,4488598748.000000,4488598748.000000,4488598748.000000,,4488598748.000000,4488598748.000000,4500836394.000000,-12237646.000000,,4488598748.000000
12M 2015,11717775000.000000,-1663999998.000000,10053775002.000000,-2218262620.000000,-2218262620.000000,-2218262620.000000,7835512382.000000,-5786851276.000000,-4591617972.000000,,,,,-1195233304.000000,-5786851276.000000,2048661106.000000,-828486538.000000,1220174568.000000,,1220174568.000000,133820425.000000,1353994993.000000,1220249568.000000,1277362100.000000,-57112532.000000,1220249568.000000,1354069993.000000,1411182525.000000,-57112532.000000,,1354069993.000000
12M 2016,1064300000.000000,-610143780.000000,454156220.000000,-5266345033.000000,-5266345033.000000,-5266345033.000000,-4812188813.000000,24585979680.000000,-2563490049.000000,,,,,27149469729.000000,24585979680.000000,19773790867.000000,938886993.000000,20712677860.000000,,20712677860.000000,170613222.000000,20883291082.000000,20712677859.000000,20713111222.000000,-433363.000000,20712677859.000000,20883291081.000000,20883724444.000000,-433363.000000,,20883291081.000000
12M 2017,,,,-3669160353.000000,-3669160353.000000,-3669160353.000000,-3669160353.000000,-6012839620.000000,-3609986907.000000,,,,,-2402852713.000000,-6012839620.000000,-9681999973.000000,1675190939.000000,-8006809034.000000,,-8006809034.000000,376484529.000000,-7630324505.000000,-8006809034.000000,-8006809741.000000,707.000000,-8006809034.000000,-7630324505.000000,-7630325212.000000,707.000000,,-7630324505.000000
