Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Wesel Bayar,Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Pembiayaan,Utang Pihak Berelasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Yang Direstrukturisasi,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Utang Yang Direstrukturisasi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1139065417.000000,10000000.000000,7413600.000000,10850002.000000,208050000.000000,417402771.000000,4150111620.000000,5942893410.000000,,6422202076.000000,118174462860.000000,804835000.000000,125401499936.000000,131344393346.000000,,,95669490363.000000,,,748782814.000000,944112124.000000,,,944112124.000000,870662520.000000,47495037950.000000,,982182724.000000,,27766270199.000000,,,14888479667.000000,,42654749866.000000,1973962365.000000,95669490363.000000,83476836061.000000,,,,,59573983082.000000,22334560493.000000,,81908543575.000000,,1568292486.000000,83476836061.000000,179146326424.000000,,195899703500.000000,484760276590.000000,-750625940560.000000,1000000000.000000,-751625940560.000000,-750625940560.000000,613203658.000000,21550823734.000000,-47801933078.000000,131344393346.000000,391799407.000000
12M 2009,,,276212505.000000,10000000.000000,7323600.000000,82608660.000000,208050000.000000,464230307.000000,4415572980.000000,5463998052.000000,,10034934707.000000,99909585281.000000,804835000.000000,110749354988.000000,116213353040.000000,,,120367010487.000000,,,1452549367.000000,286958673.000000,,,286958673.000000,215735890.000000,63882809113.000000,,209848741.000000,,36000000000.000000,,,16673176864.000000,,52673176864.000000,1645931839.000000,120367010487.000000,67438897418.000000,,,,,43525074018.000000,22334560493.000000,,65859634511.000000,,1579262907.000000,67438897418.000000,187805907905.000000,,195899703500.000000,484760276590.000000,-774931181540.000000,1000000000.000000,-775931181540.000000,-774931181540.000000,1127822851.000000,21550823734.000000,-71592554865.000000,116213353040.000000,391799407.000000
12M 2010,,,513660277.000000,10000000.000000,,198773124.000000,208050000.000000,328919370.000000,3855046065.000000,5114448836.000000,,3145896417.000000,77566375317.000000,804835000.000000,81517106734.000000,86631555570.000000,,,109406729686.000000,,,1072159607.000000,418364980.000000,,,418364980.000000,593413111.000000,63177748349.000000,17000000000.000000,424398734.000000,,,,,24753169214.000000,,24753169214.000000,1967475691.000000,109406729686.000000,46360843153.000000,,,,,22210512085.000000,22334560493.000000,,44545072578.000000,,1815770575.000000,46360843153.000000,155767572839.000000,,195899703500.000000,484760276590.000000,-771665047596.000000,1000000000.000000,-772665047596.000000,-771665047596.000000,318226503.000000,21550823734.000000,-69136017269.000000,86631555570.000000,391799407.000000
12M 2011,,,317616437.000000,10000000.000000,208050000.000000,912248690.000000,,412535777.000000,3286653261.000000,5147104165.000000,,1565338500.000000,52989604388.000000,804835000.000000,55359777888.000000,60506882053.000000,,,88547996795.000000,,,540905750.000000,,424398734.000000,1625045955.000000,2049444689.000000,1433734400.000000,63217070920.000000,,,,3480000000.000000,,,17693045497.000000,,21173045497.000000,133795539.000000,88547996795.000000,49495134163.000000,,,13440000000.000000,,11420503712.000000,22334560493.000000,,47195064205.000000,,2300069958.000000,49495134163.000000,138043130958.000000,,195899703500.000000,484760276590.000000,-780532847954.000000,1000000000.000000,-781532847954.000000,-780532847954.000000,785795225.000000,21550823734.000000,-77536248905.000000,60506882053.000000,391799407.000000
12M 2012,,,624280081.000000,,208050000.000000,,,,634872142.000000,1467202223.000000,,7435686072.000000,9669002170.000000,22970421192.000000,40075109434.000000,41542311657.000000,,,75627704061.000000,,,43675946.000000,,424398734.000000,1195994166.000000,1620392900.000000,1155481097.000000,63314358579.000000,,,,9360000000.000000,,,,,9360000000.000000,133795539.000000,75627704061.000000,49750016866.000000,,,27035845552.000000,,,22334560493.000000,,49370406045.000000,,379610821.000000,49750016866.000000,125377720927.000000,,195899703500.000000,484760276590.000000,-785648863652.000000,1000000000.000000,-786648863652.000000,-785648863652.000000,-397349442.000000,21550823734.000000,-83835409270.000000,41542311657.000000,391799407.000000
12M 2013,,,253635069.000000,,208050000.000000,,,,,461685069.000000,,4384666158.000000,8744193969.000000,804835000.000000,13933695127.000000,14395380196.000000,,,51396693624.000000,,,,,424398734.000000,682281350.000000,1106680084.000000,1715135546.000000,36544019941.000000,,,,11897062514.000000,,,,,11897062514.000000,133795539.000000,51396693624.000000,42158760348.000000,,,19261111116.000000,,,22334560493.000000,,41595671609.000000,,563088739.000000,42158760348.000000,93555453972.000000,,195899703500.000000,484760276590.000000,-780968041096.000000,1000000000.000000,-781968041096.000000,-780968041096.000000,-402836503.000000,21550823734.000000,-79160073775.000000,14395380197.000000,391799407.000000
12M 2014,,,25016064.000000,,208050000.000000,,,,,233066064.000000,,2622182094.000000,7494637458.000000,804835000.000000,10921654552.000000,11154720616.000000,,,52463894030.000000,12535029101.000000,,,,424398734.000000,861592350.000000,1285991084.000000,1965058365.000000,36544019941.000000,,,,,,,,,,133795539.000000,52463894030.000000,33362301613.000000,,,10365845552.000000,,,22334560493.000000,,32700406045.000000,,661895568.000000,33362301613.000000,85826195643.000000,,195899703500.000000,484760276590.000000,-776467204702.000000,1000000000.000000,-777467204702.000000,-776467204702.000000,-415074149.000000,21550823734.000000,-74671475027.000000,11154720616.000000,391799407.000000
12M 2015,,,313873639.000000,,3218300000.000000,,,,,3532173639.000000,,,6112051702.000000,706250000.000000,6818301702.000000,10350475341.000000,,,62548494749.000000,,,,,724398734.000000,861592350.000000,1585991084.000000,1180353440.000000,36575511391.000000,,,,14800845552.000000,,,,,14800845552.000000,8405793282.000000,62548494749.000000,23440406575.000000,8720924.000000,,245000000.000000,,,22334560493.000000,,22579560493.000000,,852125158.000000,23440406575.000000,85988901324.000000,,195899703500.000000,484760276590.000000,-777304901895.000000,1000000000.000000,-778304901895.000000,-777304901895.000000,-472216475.000000,21478712297.000000,-75638425983.000000,10350475341.000000,391799407.000000
12M 2016,,,1830592781.000000,,,58490102.000000,,,10955719.000000,1900038602.000000,,873294995.000000,6116899202.000000,558850000.000000,7549044197.000000,9449082799.000000,,,40985115285.000000,,,,,3341477698.000000,861592350.000000,4203070048.000000,1286606220.000000,8670293887.000000,,,,18366565653.000000,,52786195.000000,,,18419351848.000000,8405793282.000000,40985115285.000000,884541916.000000,776253922.000000,,,108287994.000000,,,,108287994.000000,,,884541916.000000,41869657201.000000,,218234264000.000000,506311100324.000000,-756591790673.000000,1000000000.000000,-757591790673.000000,-756591790673.000000,-472649838.000000,98501785.000000,-32420574402.000000,9449082799.000000,615145012.000000
12M 2017,,,679393079.000000,,,599970102.000000,,,37695000000.000000,38974363181.000000,,2422991091.000000,6293528701.000000,558850000.000000,9275369792.000000,48249732973.000000,,,72544718357.000000,,,,,9669545690.000000,861592350.000000,10531138040.000000,1356313519.000000,8692831700.000000,36000000000.000000,,,3000000000.000000,,58641816.000000,,,3058641816.000000,12905793282.000000,72544718357.000000,15755913522.000000,401633451.000000,,15300000000.000000,54280071.000000,,,,15354280071.000000,,,15755913522.000000,88300631879.000000,,218234264000.000000,506311100324.000000,-764598600414.000000,1000000000.000000,-765598600414.000000,-764598600414.000000,-472649130.000000,474986314.000000,-40050898906.000000,48249732973.000000,615145012.000000
