Period,Total Pendapatan,Keuntungan Atas Perdagangan Efek,Jasa Penjaminan Emisi Dan Penjualan Efek,Komisi Dari Transaksi Perantara Pedagang Efek,Keuntungan Penjualan Reksadana,Others,Total Pendapatan,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Beban Penyusutan,Pembentukan Cadangan Kerugian Penurunan Nilai,Beban Pemasaran,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,38640868679.000000,27226741857.000000,2467295471.000000,8649178000.000000,,297653351.000000,38640868679.000000,-10740905522.000000,-2108006586.000000,-8632898936.000000,,,,,,-10740905522.000000,27899963157.000000,4455577320.000000,2636282035.000000,-38488158.000000,-241545588.000000,,-844625064.000000,-844625064.000000,-208061996.000000,3152016091.000000,4455577320.000000,32355540477.000000,-780730768.000000,-836329048.000000,55598280.000000,-780730768.000000,31574809709.000000,-5424382148.000000,26150427561.000000,31574809709.000000,31574809709.000000,,31574809709.000000,26150427561.000000,26150427561.000000,,26150427561.000000
12M 2011,22547618832.000000,20689484714.000000,110125479.000000,3948330727.000000,,-2200322088.000000,22547618832.000000,-12759956891.000000,-1484034376.000000,-11275922515.000000,,,,,,-12759956891.000000,9787661941.000000,3447938591.000000,1196899111.000000,10868550.000000,,,-426686757.000000,-426686757.000000,,2666857687.000000,3447938591.000000,13235600532.000000,-771761488.000000,-843312911.000000,71551423.000000,-771761488.000000,12463839044.000000,2212799673.000000,14676638717.000000,12463839044.000000,12463839044.000000,,12463839044.000000,14676638717.000000,14676638717.000000,,14676638717.000000
12M 2012,34928136662.000000,25601608578.000000,6335517687.000000,6213259141.000000,-107897200.000000,-3114351544.000000,34928136662.000000,-16283013028.000000,-1225931466.000000,-15057081562.000000,,,,,,-16283013028.000000,18645123634.000000,4252835493.000000,1237787874.000000,76960466.000000,2200000.000000,,-58169441.000000,-58169441.000000,,2994056594.000000,4252835493.000000,22897959127.000000,-563134657.000000,-807395055.000000,244260398.000000,-563134657.000000,22334824470.000000,-12191060026.000000,10143764444.000000,22334824470.000000,22334824470.000000,,22334824470.000000,10143764444.000000,10143764444.000000,,10143764444.000000
12M 2013,27884732559.000000,,31053816.000000,22267426564.000000,,5586252179.000000,27884732559.000000,-20556115009.000000,-196345000.000000,-3241794785.000000,-9458530645.000000,-3542590042.000000,,,-4116854537.000000,-20556115009.000000,7328617550.000000,2310843531.000000,,310658052.000000,,,-54696180.000000,-54696180.000000,,2054881659.000000,2310843531.000000,9639461081.000000,-2165214322.000000,-2311379569.000000,146165247.000000,-2165214322.000000,7474246759.000000,6734429695.000000,14208676454.000000,7474246759.000000,7474246759.000000,,7474246759.000000,14208676454.000000,14208676454.000000,,14208676454.000000
12M 2014,16751955098.000000,,262674201.000000,10067072135.000000,,6422208762.000000,16751955098.000000,-20461739334.000000,-876744000.000000,-2203446414.000000,-9268797468.000000,-3714374737.000000,,,-4398376715.000000,-20461739334.000000,-3709784236.000000,7585858625.000000,,22596175.000000,2000000.000000,,-220314576.000000,-220314576.000000,,7781577026.000000,7585858625.000000,3876074389.000000,-1213292069.000000,-1458066635.000000,244774566.000000,-1213292069.000000,2662782320.000000,8741909069.000000,11404691389.000000,2662782320.000000,2662782320.000000,,2662782320.000000,11404691389.000000,11404691389.000000,,11404691389.000000
12M 2015,19182364437.000000,,4739621047.000000,9403759748.000000,,5038983642.000000,19182364437.000000,-22106135598.000000,-162730800.000000,-2289915024.000000,-10085044805.000000,-5732407244.000000,,,-3836037725.000000,-22106135598.000000,-2923771161.000000,5781045670.000000,,146508722.000000,,,-54801854.000000,-54801854.000000,,5689338802.000000,5781045670.000000,2857274509.000000,226551242.000000,,226551242.000000,226551242.000000,3083825751.000000,-1739291584.000000,1344534167.000000,3083825751.000000,3083825751.000000,,3083825751.000000,1344534167.000000,1344534167.000000,,1344534167.000000
12M 2016,7942941956.000000,,1785250.000000,3825382668.000000,,4115774038.000000,7942941956.000000,-21295588255.000000,-46926000.000000,-2024397097.000000,-8454335675.000000,-5619171035.000000,,,-5150758448.000000,-21295588255.000000,-13352646299.000000,3480577636.000000,,-36470449.000000,387640587.000000,,-42763107.000000,-42763107.000000,,3172170605.000000,3480577636.000000,-9872068663.000000,238080670.000000,,238080670.000000,238080670.000000,-9633987993.000000,6032862687.000000,-3601125306.000000,-9633987993.000000,-9633987993.000000,,-9633987993.000000,-3601125306.000000,-3601125306.000000,,-3601125306.000000
12M 2017,72428138539.000000,,2966775.000000,67881706728.000000,,4543465036.000000,72428138539.000000,-27046510965.000000,-65342000.000000,-1989489867.000000,-9682245326.000000,-5554766301.000000,,,-9754667471.000000,-27046510965.000000,45381627574.000000,5029712273.000000,,11141872.000000,240000000.000000,,-34240821.000000,-34240821.000000,,4812811222.000000,5029712273.000000,50411339847.000000,306649897.000000,,306649897.000000,306649897.000000,50717989744.000000,-11140452288.000000,39577537456.000000,50717989744.000000,50717989744.000000,,50717989744.000000,39577537456.000000,39577537456.000000,,39577537456.000000
12M 2018,21821973059.000000,,504046718.000000,19429696486.000000,,1888229855.000000,21821973059.000000,-49737264904.000000,-157290000.000000,-2599398362.000000,-11311544308.000000,-4160525124.000000,-25757697903.000000,,-5750809207.000000,-49737264904.000000,-27915291845.000000,42299411896.000000,,92280249.000000,140000000.000000,,-22663649.000000,-22663649.000000,,42089795296.000000,42299411896.000000,14384120051.000000,6827807962.000000,,6827807962.000000,6827807962.000000,21211928013.000000,17696061092.000000,38907989105.000000,21211928013.000000,21211928013.000000,,21211928013.000000,38907989105.000000,38907989105.000000,,38907989105.000000
12M 2019,-88952931905.000000,,1001051070.000000,-91675337318.000000,,1721354343.000000,-88952931905.000000,-22755564339.000000,-77500000.000000,-2205298593.000000,-12654245604.000000,-3147417490.000000,,,-4671102652.000000,-22755564339.000000,-111708496244.000000,4199808682.000000,,-69876357.000000,,,-539800520.000000,-539800520.000000,,4809485559.000000,4199808682.000000,-107508687562.000000,-6030183941.000000,,-6030183941.000000,-6030183941.000000,-113538871503.000000,-27838777189.000000,-141377648692.000000,-113538871503.000000,-113538871503.000000,,-113538871503.000000,-141377648692.000000,-141377648692.000000,,-141377648692.000000
